Id	Content
99960001	<size=50>Three Variables <color=#FF3300>{0}{1}{2}</color> Row: 1</size>
99960002	<size=45>Three Variables <color=#FF0033>{0}{1}{2}</color> Row: 2</size>
99960003	<size=40>Three Variables <color=#33FF00>{0}{1}{2}</color> Row: 3</size>
99960004	<size=35>Three Variables <color=#3300FF>{0}{1}{2}</color> Row: 4</size>
99960005	<size=30>Three Variables <color=#0033FF>{0}{1}{2}</color> Row: 5</size>
99960006	<size=25>Three Variables <color=#00FF33>{0}{1}{2}</color> Row: 6</size>
99960007	<size=20>Three Variables {0}{1}{2} Row: 7</size>
99960008	<size=15>Three Variables {0}{1}{2} Row: 8</size>
99960009	<size=10>Three Variables {0}{1}{2} Row: 9</size>
99960010	<size=5>Three Variables {0}{1}{2} Row: 10</size>
90005200	
90005201	<color=#E6E6E6><size=30><color=#86a4ff>Move</color> close to the Radiant Dragon</size></color>.
90005202	<color=#E6E6E6><size=30><color=#86a4ff>Perfect Dodge</color> {0} time(s)</size></color>
90005203	<color=#E6E6E6><size=30>{0}/{1}</size></color>
90005204	<color=#E6E6E6><size=28>Use <color=#86a4ff>Flash Block</color> {0} time(s) against attacks with yellow warning lights</size></color>.
90005205	<color=#E6E6E6><size=30>Break the Radiant Dragon's <color=#86a4ff>Balance</color></size> (<color=#86a4ff>Balance</color> is shown when the target is locked)</color>.
90005206	<color=#E6E6E6><size=30>Defeat the Radiant Dragon</size></color>.
90005207	<color=#E6E6E6><size=30>Attack the Radiant Dragon to fully charge <color=#86a4ff>Fury</color></size></color>.
90005208	<color=#E6E6E6><size=30>Fight alongside Nanami and Liv to defeat the Radiant Dragon</size></color>.
9012001	<size=26>Total DMG: {0}</size>
9012002	<size=20>Resets after {0}s without dealing damage</size>.
90005209	<color=#E6E6E6><size=30>The Radiant Dragon is about to launch a wide-range flame attack. Prepare to defend and heal.</size></color>
90005210	<color=#E6E6E6><size=30>The Radiant Dragon is charging up. Attack with full force to stop it from unleashing a stronger move.</size></color>
90005211	<color=#E6E6E6><size=24>The enemy has gone berserk. Defeat it quickly</size></color>.
90005212	<color=#E6E6E6><size=24>{0}/{1}</size></color>
90005213	<color=#E6E6E6><size=31>The Nocturne Stalker is about to fire missiles and charge at high speed. Spread out to avoid both attacks.</size></color>
90005214	<color=#E6E6E6><size=31>The Nocturne Stalker is about to unleash an unavoidable slash. Move out of its range.</size></color>
