Id	Type	Round	ItemId	NeedValue	ResetCostId	ResetCostCount	Desc
11001051	3	1		5	61302	1	破解封装
21001051	2	1		10	61302	1	分析封装
31021051	2	1		1	61302	1	演算路径
11021052	4		61501	1			检索【数据断片】
11022051	1	2		18	61302	1	开始作战
11022052	3	2		22	61302	1	算力压制
11022053	4		61501	1			检索【数据断片】
11022054	4		61512	1			检索【二进制笑话软件】
11022055	4		61513	1			检索【未知的记录备份】
11023051	1	2		18	61302	1	开始作战
11023052	3	2		22	61302	1	算力压制
11031050	3	1		6	61302	1	暴力筛选
11031051	2	1		1	61302	1	神经反推
11032051	4		61502	1			检索【安全编码】
11032052	4		61503	1			检索【原始信号源】
11032053	3	1		6	61302	1	修复程序
11032054	2	1		1	61302	1	规律反推
11032055	1	1		4	61302	1	移除紊乱
11032056	2	1		15	61302	1	感知躲避
11032057	3	1		15	61302	1	运算躲避
11033051	2	2		11	61302	1	感知路径
11033052	3	2		23	61302	1	算力压制
11041051	1	1		5	61302	1	正面突破
21041051	3	1		6	61302	1	骇入控制
11041052	1	1		4	61302	1	突破重围
11041053	1	1		4	61302	1	打破大门
21041053	2	1		2	61302	1	寻找漏洞
11041055	1	1		5	61302	1	打破大门
21041055	2	1		6	61302	1	寻找漏洞
11042051	4		61504	1			检索【遗落的任务记录】
11042052	1	1		10	61302	1	正面突破
21042052	3	1		6	61302	1	骇入控制
11042053	3	1		6	61302	1	破解安全锁
11042055	1	1		4	61302	1	暴力破拆
11042057	1	1		4	61302	1	暴力破拆
21042057	3	1		6	61302	1	破解安全锁
11043051	1	2		17	61302	1	开始作战
11043052	2	2		12	61302	1	感知路径
11043053	4		61510	1			检索【作废的路点】
11043054	4		61504	1			检索【遗落的任务记录】
11043055	4		61508	1			检索【圣甲虫小队通讯记录】
11044051	1	2		19	61302	1	开始作战
11044052	2	2		12	61302	1	感知路径
11044053	3	2		25	61302	1	算力压制
11044054	1	2		22	61302	1	开始作战
11044055	4		61511	1			检索【诱饵处理器】
11051051	4		61505	1			检索【电子回路】
11051052	1	1		20	61302	1	作战躲避
11051053	2	1		20	61302	1	感知躲避
11051054	4		61506	1			检索【通行密钥】
11051055	1	1		4	61302	1	破解修复
21051055	2	1		8	61302	1	直觉修复
11051056	2	1		1	61302	1	直觉修复
21051056	3	1		12	61302	1	运算修复
11051057	1	1		4	61302	1	修复节点
11051058	3	1		7	61302	1	修复节点
11051059	2	1		1	61302	1	修复节点
11052051	1	2		19	61302	1	开始作战
11052052	2	2		12	61302	1	感知路径
11052053	3	2		25	61302	1	算力压制
11052054	4		61509	1			检索【遗落的防御数据体】
11052055	4		61507	1			检索【格式塔的监控记录】
11053051	1	3		30	61302	1	开始作战
12021051	1	1		15	61302	1	作战突破
22021051	2	1		5	61302	1	感知突破
32021051	3	1		20	61302	1	运算突破
12021052	4		61521	1			检索【残缺的电子脑】
12021053	4		61522	1			检索【小型储存终端】
12021054	4		61523	1			检索【数据收集终端】
12021055	4		61502	1			道具推演
12021056	3	1		15	61302	1	INT verification
12021057	3	1		15	61302	1	INT verification
12021058	3	1		15	61302	1	INT verification
12022051	1	1		15	61302	1	作战突破
22022051	2	1		6	61302	1	感知突破
32022051	3	1		20	61302	1	运算突破
