Id	MapPinGroup	MapPinId	MapPinTemplateId	PinName	PinDesc	PosX	PosY	UniqueClickCB	CBText	CBFunc
1	1	1	1	覆盖原有名（01）	这行覆盖原有的图钉详细描述	252.4063	227.5			
2	1	2	2			266.6563	186.25			
3	1	3	3			269.6563	218.4531			
4	1	7	7	36字号的文字图钉		257	191.3125			
5	1	8	8			272.0781	201.1563			
6	1	9	9			253.3594	215.2813			
7	2	1	5	预设没名	预设没描述，但静态图钉填了描述	268.9063	203.6875			
8	2	2	4			273.25	212.2813			
9	10	1	8	<i><size=48>人 类 车 队 遇 袭 区</size></i>		261.5781	179.7344			
10	10	2	10	<i><size=26>翻倒的运输车A</size></i>		253.9688	202.4688			
11	10	3	10	<i><size=26>翻倒的运输车B</size></i>		273.5938	193.0781			
12	10	4	10	<i><size=26>翻倒的运输车C</size></i>		233.7344	234.7969			
13	10	5	11	已记录	已拾取：挂有空子弹头的项链	261.1875	165.8594			
14	10	6	6	调查点		270.6875	186.9531			
15	10	60	11	已记录	获得信息：车队物资运输单	270.6875	186.9531			
16	10	7	12	调查点		261.1563	208.3438			
17	10	70	11	已记录	士兵临死前握紧了已模糊的与家人的合影	261.1563	208.3438			
18	10	100	8	<i><size=48>森 林 中 央 水 池</size></i>		263	227.7656			
