Id	FunctionType	SubConfigId	Sort
1	2	1	1
2	2	2	3
3	3	2	4
4	4	1	5
5	2	5	2
6	2	6	2
7	2	7	2
8	2	8	2
9	2	9	2
10	2	10	2
11	2	11	2
12	2	12	2
13	2	13	2
14	2	14	2
15	2	15	2
16	2	16	2
17	2	17	2
18	2	18	2
19	2	19	2
20	2	20	2
21	2	21	2
22	2	22	2
23	2	23	2
24	2	24	2
25	2	25	2
26	2	26	2
27	2	27	2
28	2	28	2
29	2	29	2
30	2	30	2
31	2	31	2
32	2	32	2
33	2	33	2
34	7	34	2
35	2	35	2
36	2	36	2
37	2	37	2
38	2	38	2
39	2	39	2
40	2	40	2
41	2	41	2
42	2	42	2
43	2	43	2
44	2	44	2
45	2	45	2
46	2	46	2
47	9		3
48	2	47	2
49	2	48	2
50	2	49	2
51	2	50	2
52	2	51	2
53	2	52	2
54	11	53	2
55	2	54	2
56	2	55	2
57	2	56	2
58	2	57	2
59	2	58	2
60	2	59	2
61	2	60	2
62	2	61	2
63	2	62	2
64	2	63	2
65	2	64	2
66	2	65	2
67	2	66	2
68	2	67	2
69	2	68	2
70	2	69	2
71	2	70	2
72	2	71	2
73	2	72	2
74	2	73	2
75	2	74	2
76	12	76	2
77	2	77	2
78	2	78	2
79	2	79	2
80	2	80	2
81	2	81	2
82	2	82	2
83	2	83	2
84	2	84	2
85	2	85	2
86	2	86	2
87	12	87	2
88	2	88	2
89	2	89	2
90	2	90	2
91	2	91	2
92	2	92	2
93	12	93	2
94	2	94	2
95	2	95	2
96	2	96	2
97	2	97	2
98	13	98	2
99	2	99	2
100	2	100	2
101	2	101	2
102	2	102	2
103	2	103	2
104	2	104	2
105	2	105	2
106	12	106	2
107	2	107	2
108	2	108	2
109	2	109	2
110	2	110	2
