Id	SubRoundDays	SubRoundName	SubRoundIcon	SubRoundDesc
101	[7, 7, 7, 7]	['第一轮', '第二轮', '第三轮', '第四轮']	['Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC3Sp.png', 'Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC2Sp.png', 'Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC3Sp.png', 'Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC2Sp.png']	每日上线即可领取签到奖励。\n累计签到28日后，刷新奖池。
201	[7]	['第一轮']	['Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png']	·规则说明：连续7天上线，可获共计2500黑卡(含购买立得)。\n\n·领取方式：购买当日的奖励立刻获得，次日及之后的奖励在主界面登录自动领取。此外，也可进入【主界面--活动】系统内找到该礼包的页签，手动领取。\n\n·查看状态：领取完毕后，可在【主界面--活动】系统内找到该礼包的页签，查看领取状态。
301	[3]	['第一轮']	['Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png']	·规则说明：连续3天登录，可共计获得1250活动角色研发券。\n\n·领取方式：购买立刻获得首日奖励，后续奖励每日5:00后登录可自动领取。此外，也可通过进入【主界面--活动】系统内点击该礼包的页签，手动领取。若当日奖励未领取，后续无法补发。\n\n·查看状态：领取完毕后，可在【主界面--活动】系统内找到该礼包的页签，点击查看领取状态。
1001	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到7日可领取A级角色比安卡 零度。\n累计签到14日可领取比安卡专属时装。
1002	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到7日可领取A级角色比安卡 零度。\n累计签到14日可领取比安卡专属时装。
1003	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到3日、7日可获取圣诞意识。\n祝各位圣诞快乐！！！
1004	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到3日、7日可获取元宵意识。\n唷，指挥官，元宵快乐~艺术协会在办艺术史主题的灯谜会，要陪我一起去吗？——艾拉
1005	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到1日、4日、7日可获取活动角色研发券。\n指挥官，春节快乐！
1006	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得磁卡车票、基准角色研发券等奖励。
1007	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得全息戏票、基准角色研发券等奖励。
1008	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得觉醒材料、基准角色研发券等奖励。
1009	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得觉醒材料、基准角色研发券、薇拉涂装等奖励。
1010	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得觉醒材料、基准角色研发券、薇拉涂装等奖励。
1011	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得超频晶币、基准角色研发券等奖励。
1012	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得超频晶币、活动角色研发券等奖励。
1013	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得研发券、各类材料等奖励。
1014	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得研发券、各类材料等奖励。
1015	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得抽卡券、主界面外观以及一周年收藏品。
1016	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到7日可领取S级联动角色 9S。\n累计签到14日可领取9S专属涂装。
1017	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到7日可领取S级联动角色 9S。\n累计签到14日可领取9S专属涂装。
1018	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得新年头像、意识自选共鸣材料以及黑卡。
1019	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得黑卡、免疫血清等奖励。
1020	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得黑卡、免疫血清等奖励。
1021	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n累计签到7日可领取S级构造体任选礼包。
1022	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得元宵意识、元宵收藏品等奖励。
1023	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得研发券、各类材料等奖励。
