Id	TxtGroup	ChapterId	Txt	StartIndex	EndIndex	HShakeType	HStrength	HSpeed	HoriDensity	VShakeType	VStrength	VSpeed	VDensity
1	1	1	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
2	1	2	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
3	1	3	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
4	1	4	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
5	1	5	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
6	1	6	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
7	1	7	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
8	1	8	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
9	1	9	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
10	1	10	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
11	1	11	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
12	1	12	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
13	1	13	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
14	1	14	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
15	1	15	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
16	1	16	世界开始回应你的求知		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
17	2	1	此地<color=#d84740>意志的灯塔</color>指引着迷途者的方向		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
18	2	1	接近它，似乎会获得<color=#d84740>些许力量</color>		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
19	2	1	敌人似乎变的<color=#d84740>更加狰狞</color>		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
20	2	1	战后获取<color=#dbb536><color=#dbb536>额外奖赏</color></color>的几率<color=#dbb536>略微提升</color>		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
21	2	1	你对<color=#dbb536>灵智相关</color>的事物<color=#dbb536>更加敏感</color>		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
22	2	2	此地<color=#d84740>意志的灯塔</color>指引着迷途者的方向		20	1	0.5	0.5	1.0	1	0.5	0.5	1.0
