Id	NodeTypeName	NodeTypeIcon	NodeTypeDesc	SmallIcon	NodeTypeEffectUrl
101	废弃庭院	Assets/Product/Texture/Image/BgStory/Bgstory388.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
102	柯蕾多尔的馈赠	Assets/Product/Texture/Image/BgStory/Bgstory373.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
103	悠久之歌	Assets/Product/Texture/Image/BgStory/Bgstory359.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
104	欢乐时光	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
105	布道者	Assets/Product/Texture/Image/BgStory/Bgstory364.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
106	许愿之井	Assets/Product/Texture/Image/BgStory/Bgstory374.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
107	返乡者	Assets/Product/Texture/Image/BgStory/Bgstory377.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
108	集市	Assets/Product/Texture/Image/BgStory/BgStory554.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
109	旅行剧团	Assets/Product/Texture/Image/BgStory/Bgstory368.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
110	最后的剑士	Assets/Product/Texture/Image/BgStory/Bgstory360.png	危险的气息正在蔓延，请谨慎行事	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
111	死亡福音	Assets/Product/Texture/Image/BgStory/Bgstory358.png	危险的气息正在蔓延，请谨慎行事	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
112	迷途之子	Assets/Product/Texture/Image/BgStory/Bgstory373.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
113	名为“知识”的诅咒	Assets/Product/Texture/Image/BgStory/Bgstory381.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
114	充满“潜力”！	Assets/Product/Texture/Image/BgStory/Bgstory383.png	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
115	拾荒者派对	Assets/Product/Texture/Image/BgStory/Bgstory419.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
116	被完成的谜题	Assets/Product/Texture/Image/BgStory/Bgstory416.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
117	失败者	Assets/Product/Texture/Image/BgStory/Bgstory408.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
118	军备库	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
119	谨听忠告	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg	保持理智，冷静抉择	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
