Key	Values
NodeTypeName	['意外遭遇', '鲨鲨特卖', '危机冲突', '战斗冲突', '危机冲突']
NodeTypeIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon05.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon06.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon03.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon02.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon04.png']
NodeTypeDesc	['权衡', '鲨鲨似乎非常喜欢姜饼', '突发危机，准备作战', '冲突一触即发，战胜敌人赢得战利品', '未来的交汇点']
NodeTypeSmallIcon	['Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent01.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent02.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent05.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png']
DifficultyTitleIcon	['Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreIconDifficulty01.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreIconDifficulty02.png', 'Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaTheatreIconDifficulty03.png']
DifficultyButtonIcon	['Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty01.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty02.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty03.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty04.png']
SpecialRewardName	['%s', '辞本', '灵感', '华彩段']
SpecialRewardIcon	['%s', 'Assets/Product/Texture/Image/IconTools/IconTheatre07.png', 'Assets/Product/Texture/Image/IconTools/IconTheatre04.png', 'Assets/Product/Texture/Image/IconTools/IconTheatre03.png']
HelpKey	['BiancaTheatre']
RoleDetailLevelIcon	['Assets/Product/Texture/Image/IconTools/IconTheatre07.png']
RoleDetailLevelDesc	['辞本', '全队角色等级']
RoleDetailEquipIcon	['Assets/Product/Texture/Image/IconTools/IconTheatre07.png']
RoleDetailEquiupDesc	['辞本', '武器意识等级']
RoleDetailSkillIcon	['Assets/Product/Texture/Image/IconTools/IconTheatre06.png']
RoleDetailSkillDesc	['和弦', '技能等级']
DifficultyButtonTextIcon	['Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty1.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty2.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty3.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty4.png']
FirstStoryId	['RG00601BA']
BtnSelectName	['选 择']
BtnRewardName	['领 取']
PercentTitle	['完成度：%d%%']
BtnFettersAsset	['Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/BtnFetters.prefab']
GridItemAsset	['Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/GridBiancaPopUp.prefab']
GridFettersAsset	['Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/GridFettersNode.prefab']
StrengthenCoinId	['96118']
SettleDataName	['通过节点', '战斗节点', '角色总星级', '秘藏品总数量', '完成章节数']
LevelItemId	['96117']
PropUnlockPercent	['\\n%d<color=#C4C4C4>/%d</color>']
NotSelectTeam	['请选择上方的调查团']
NotSelectRecruitTicket	['请选择任意离群邀约']
NotSelectExReward	['请选择上方的秘藏品']
StrengthenBtnActiveName	['未解锁', '已激活', '激 活']
TextColor	['BBBBBBFF', 'FF0000FF']
RewardTips	['当前无可领取奖励', '有旅途正在进行时不允许领取奖励', '达到等级上限']
UnitIcon	['Assets/Product/Texture/Atlas/UiBiancaTheatre/UiTheatreIconBtnFenDui.png', 'Assets/Product/Texture/Atlas/UiBiancaTheatre/UiTheatreIconBtnDaoJu.png']
BtnRecruitName	['招募', '升星', '变格']
BiancaTheatreComboTips	['升阶条件:']
BannerProgress	['当前等级: %s/%s']
StartViewTitle	['难 度 选 择', '调查团组建', '邀 约 选 择', '领 取 战 斗 奖 励']
QualityTextColor	['797979', '797979', '588ad6', 'cc68c1', 'C68B23', 'C4695B']
RecruitTipsTitle	['解锁该角色自有/试用角色', '该角色所有基础能力提高']
NotRoles	['未招募任何角色']
StrengthenTips	['有旅途正在进行时不允许激活节点']
FightRewardEndRecvTipsDesc	['是否结束领取，未领取的奖励将会丢失']
RebootTitle	['重启警告']
