Id	IsFree	SceneId	Width	Height	CharCapacity	BigFurnitureCapacity	SmallFurnitureCapacity	DecorateCapacity	PetCapacity	ShieldCapacity	ConsumeItemId	ConsumeItemCount	InitNumber	InitName	InitFurniture	InitFurniturePos
21001	1	1	38	38	3				1				1	1号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21002		1	38	38	3				1		36	5	2	2号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21003		1	38	38	3				1		36	5	3	3号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21004		1	38	38	3				1		36	5	4	4号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21005		1	38	38	3				1		36	5	5	5号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21006		1	38	38	3				1		36	5	6	6号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21007		2	38	38	3				1		36	5	7	7号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21008		2	38	38	3				1		36	5	8	8号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21009		2	38	38	3				1		36	5	9	9号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21010		2	38	38	3				1		36	5	10	10号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21011		2	38	38	3				1		36	5	11	11号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21012		2	38	38	3				1		36	5	12	12号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21013		3	38	38	3				1		36	5	13	13号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21014		3	38	38	3				1		36	5	14	14号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21015		3	38	38	3				1		36	5	15	15号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21016		3	38	38	3				1		36	5	16	16号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21017		3	38	38	3				1		36	5	17	17号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21018		3	38	38	3				1		36	5	18	18号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21019		4	38	38	3				1		36	5	19	19号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21020		4	38	38	3				1		36	5	20	20号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21021		4	38	38	3				1		36	5	21	21号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21022		4	38	38	3				1		36	5	22	22号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21023		4	38	38	3				1		36	5	23	23号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
21024		4	38	38	3				1		36	5	24	24号宿舍	[8101004, 8301004, 8201004, 8404002, 8405002, 8406005]	['0|0|0', '0|0|0', '0|0|0', '0|30|3', '20|20|7', '20|0|6']
