Id	Des	Bg	DifficultyLevel	DifficultyName	BossDetailId	BossDetailOnPause	RecommendAbility	EnName
101	['击毁黯角数据体通过关卡', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		1	表象	1	5	2000	Presentation
102	['击毁黯角数据体通过关卡', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		1	表象	1	5	2000	Presentation
103	['击毁黯角数据体通过关卡', '推荐战斗参数3000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		2	浅层	1	5	3000	Shallow
104	['击毁黯角数据体通过关卡', '推荐战斗参数4000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		3	衍生	1	5	4000	Deriving
105	['击毁黯角数据体通过关卡', '推荐战斗参数5000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		4	底层	1	5	5000	Underlying
106	['注意：超高难度挑战，极度危险', '击毁黯角数据体通过关卡', '推荐战斗参数6000以上挑战', '关卡内非救援最多可重启1次']		5	根源	1	5	6000	Root
107	['击毁辉光数据体通过关卡', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		1	表象	2	6	2000	Presentation
108	['击毁辉光数据体通过关卡', '推荐战斗参数3000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		2	浅层	2	6	3000	Shallow
109	['击毁辉光数据体通过关卡', '推荐战斗参数4000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		3	衍生	2	6	4000	Deriving
110	['击毁辉光数据体通过关卡', '推荐战斗参数5000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		4	底层	2	6	5000	Underlying
111	['注意：超高难度挑战，极度危险', '击毁辉光数据体通过关卡', '推荐战斗参数6000以上挑战', '关卡内非救援最多可重启1次']		5	根源	2	6	6000	Root
112	['击毁黯角与辉光数据体通过关卡', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		1	表象	7	8	2000	Presentation
113	['击毁黯角与辉光数据体通过关卡', '推荐战斗参数3000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		2	浅层	7	8	3000	Shallow
114	['击毁黯角与辉光数据体通过关卡', '推荐战斗参数4000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		3	衍生	7	8	4000	Deriving
115	['击毁黯角与辉光数据体通过关卡', '推荐战斗参数5000以上挑战', '关卡内非救援最多可重启3次', '合作击破部位可帮助攻略数据体']		4	底层	7	8	5000	Underlying
116	['注意：超高难度挑战，极度危险', '击毁黯角与辉光数据体通过关卡', '推荐战斗参数6000以上挑战', '关卡内非救援最多可重启1次']		5	根源	7	8	6000	Root
