Id	Key	Text
	Success	成功
1	Fail	失败
2	ServerInternalError	游戏服务器间出错，暂时无法使用
3	ServiceUnavailable	当前服务未开放，暂无法使用
4	InvalidRequest	非法请求
5	ParamsError	参数错误
1001	GateServerNotOpen	服务器暂未开放\n开服时间
1002	GateServerUpperLimit	服务器人数已达上限
1003	LoginApplicationVersionError	包体版本与服务器版本不匹配
1004	LoginDocumentVersionError	游戏资源已更新，请重新启动
1005	LoginTableError	配置表客户端和服务端不一致
1006	LoginInvalidStatus	登录请求错误，当前未握手
1007	LoginInvalidLoginToken	账号已过期，请重新登录
1008	LoginInvalidUserId	账号不存在
1009	LoginAccessDenied	账号没有权限
1010	LoginLoadMemberFailed	加载数据失败
1011	LoginServiceInvalidLoginType	
1012	LoginServiceInvalidToken	Token无效
1013	LoginServiceRetry	重试登录
1014	LoginServiceAlreadyLogin	玩家已登录
1015	LoginServiceInternalError	分配游戏服务器出错
1016	LoginServiceEnterGameServerFailed	登录游戏失败
1017	LoginServiceLoadPlayerDataFailed	加载玩家数据失败
1018	GateServerForceLogoutByAnotherLogin	账号在其他地方登录
1019	GateServerKcpInvalidRequest	
1020	GateServerKcpSessionAlreadyCreated	
1021	GameServerFullLoad	服务器已满员，请稍后再试
1022	GameServerNotOpen	游戏服未开放
1023	GameServerHasNoUsableVersion	没有可适配版本的游戏服
1024	GameServerIsMaintenance	游戏服更新中，请稍后重试
1025	GameServerIsCordoned	1025游戏服已禁用
1026	KickOutByBanned	违规强制下线
1027	KickOutByGm	账号已被冻结
1028	LoginDeviceIdLimit	设备Id不一致
1029	KickOutByForce	你已被强制下线
1030	ReconnectInvalidToken	重连失败1
1031	ReconnectPlayerLogout	重连失败2
1032	ReconnectInvalidSeqNo	重连失败3
1033	ReconnectUnable	无法重连
1034	GameServerLoginQueueFull	当前登陆人数过多
1035	GameServerAlreadyInLoginQueue	正在登陆中
20000001	PlayerFunctionNotOpen	功能未开启
20000002	PlayerFunctionShield	系统已关闭
20000003	PlayerChangeDisplayCharIdCharIsNotOwned	尚未拥有此角色
20000004	PlayerMedalIsNotOwned	尚未拥有此勋章
20000005	PlayerDisplayCharIdListFull	20000005助理队列已满
20000006	PlayerDisplayCharIdExit	20000006助理已存在队列
20000007	PlayerDisplayCharIdNotExit	20000007助理不存在
20000008	PlayerDisplayRemoveCountLimited	20000008助理不可少于一个
20000009	PlayerDisplayCharIdNoExit	20000009找不到首席助理
20000010	PlayerFunctionNotOpenTime	20000010
20000011	PlayerFunctionNotOpenShield	20000011
20000012	PlayerFunctionIdNotFound	20000012找不到功能ID
20001001	RpcRequestQpsLimited	20001001请求频率过高
20001002	RpcRequestQpsLimitConfigIsDisable	20001002请求QPS限制配置为不可请求
20002001	PlayerDataManagerGetPlayerMaxExpFail	获取玩家最大经验失败
20002002	PlayerDataManagerChangeNameTimeLimit	改名冷却中，还剩{0}时{1}分
20002003	PlayerDataManagerChangeNameInvalid	名字不符合规定，请重新检查
20002004	PlayerDataManagerChangeSignInvalid	签名不符合规定，请重新检查
20002005	PlayerDataManagerChangeMarkInvalid	玩家修改记录非法
20002006	PlayerDataManagerAssistRoleIdIsSet	不能设置重复角色
20002007	PlayerDataManagerBirthdayInValid	请填写正确的日期
20002008	PlayerDataManagerBirthdayAlreadySet	您已经设置过出身日期
20002009	PlayerDataManagerChangeCommunicationInvalid	信息变更无效
20002010	PlayerDataManagerReportTimeLimit	举报冷却中
20002011	PlayerDataManagerReportTagInvalid	举报类型错误
20002012	PlayerDataManagerNameIsTooLong	名字不能超过8个字
