Id	EventId	NeedDecoration	StepId	NextStepId	Type	StageId	StepRewardItemId	StepRewardItemCount	StoryId	OptionDesc	OptionDownDesc	OptionIcon	OptionType	OptionItemId	OptionItemCount	OptionNextStepId	OptionNeedDecoration	Title	TitleContent	RoleIcon	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset
1	101		10101		2					['寻找休憩之地']			[3]			[10102]		安眠之处	似乎会有神秘事件将要发生				夜幕渐沉，潮气从地面升起，寒冷自空气渗出，整片森林的光线仿佛被吸收殆尽，古怪的暗影扭曲着身姿变换着形状，悄悄地融入夜色当中。远处似乎传来豺狼怒熊的长嗥之声。而前路迢迢，看来你必须在此寻找一处暂时的休憩之地以度过今夜，等待朝阳初升，照亮前路。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
2	101		10102		2					['在结着蛛网的巨型乔木', '在更易攀爬的低矮的乔木上']			[3, 3]			[10103, 10104]		安眠之处	似乎会有神秘事件将要发生				经过短暂的思考，你决定就在此处过夜	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
3	101		10103		1													安眠之处	似乎会有神秘事件将要发生				你沉入深深的睡眠当中，蛛网之上三只蜘蛛纺织着你的梦境，你梦见了火光和哭喊声，无边际的花海，盘旋的飞龙，高高的露台上少女的身姿……而现在你醒了，晨光熹微，前路如梦境般重叠扑朔。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
4	101		10104		5	30061911												安眠之处	似乎会有神秘事件将要发生				你刚擎住乔木的最低矮的枝干，正打算往上攀爬，树身突然开始剧烈摇晃起来——	准备战斗	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
5	102		10201		2					['往前去']			[3]			[10202]		火堆					有灰白色的烟雾袅袅出现在森林上空，你追寻着烟雾的方向，打算去一探究竟。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
6	102		10202		2					['决定翻查灰烬', '留在原地等待', '往前走走']			[3, 3, 3]			[10203, 10204, 10205]		火堆					空地上只剩下下火堆焚烧的残余和灰烬，四周无人，也没有任何活物的气息。看着眼前已然熄灭的火堆，你——	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
7	102		10203		4		96110	1										火堆					你捡了一根大小合适的树枝，翻动查看起已熄灭的火堆，你发现有残存的辨识不出本体的骨头的痕迹，移开半截骨头，你在灰烬之下发现了一枚流光溢彩的宝石。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
8	102		10204		5	30061910												火堆					你在已熄灭的火堆旁坐下，期待着有人会回到这里。时间掠过森林的枝桠，向你的眼皮施下缓缓闭合的术法。再次睁开双眼时，簇簇磷火立刻自火堆处高高低低地飞出——	准备战斗	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
9	102		10205		1													火堆					你沿着来时的道路的反方向谨慎向前，远离了火堆，但你并未发现任何人经过的痕迹。但幸运的是，你发现了一丛结满果实的乌泡刺。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
10	103		10301		2					['根据羽毛的指引', '跟随日出的方向']			[3, 3]			[10302, 10303]		花与羽毛					你在森林里游荡，你学会倾听风的声音，你在日升时行走，在日落时分歇息，用甘甜的溪水漱口，以林间树果裹腹。你逐渐掌握了在森林中生存的技巧，却也逐渐迷失了方向。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
11	103		10302		1													花与羽毛					你拾捡起某种灰色鸟类落下的羽毛，用以卜算前进的方向，你跟随羽毛的指引，来到了水源处，沿着溪流的方向，你一路前行。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
12	103		10303		1													花与羽毛					一些粗浅的知识浮现在你的脑海之中，你决定先选定一个方向前进，跟随着日出的方位，你慢慢向前。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
13	104		10401		2					['将宝石交付出去', '表示可以在船上充当帮工', '坦诚相告，希望得到帮助']	['需要道具%s']		[2, 3, 3]	[96110]	[1]	[10402, 10406, 10407]		登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	这可不是什么玩具船开往快乐岛。	经过一番交谈之后，你表示希望一同搭乘船只前往遥远的王国，记忆里的那不勒斯与水手描述中的城都相对应了起来，但摸遍浑身上下，你发现自己身无分文。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
14	104		10402	10403	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	你……	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
15	104		10403	10404	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	这是哪里来的？	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
16	104		10404	10405	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	你认识一个紫色眼睛的旅行者吗？	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
17	104		10405		1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	不……没什么。	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
18	104		10406		1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		水手看了你一眼，似乎笑了一下，却最终什么也没说。他应允了你上船的请求，却一句未提帮工的内容。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
19	104		10407	10408	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
20	104		10408	10409	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	你见过龙吗？	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
21	104		10409	10410	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	我们已经很久没见过龙了。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
22	104		10410	10411	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	‘龙随着笛声而来’。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
23	104		10411	10412	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	但在最开始的时候，恶龙的出现是毫无征兆的。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
24	104		10412	10413	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	惟一可循的规律是，恶龙往往会搜寻人群。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
25	104		10413		1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	会像海上飓风一样掘起陆地上的人群，将他们从空中摔落。它袭击村庄和人群，毁坏目之所及任何可以毁坏的事物。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
26	105		10501		2					['前往舱室的方向', '在甲板上随意走动', '表示想自己随意走动一下']			[3, 3, 3]			[10502, 10503, 10504]		船舶之上		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		登上了船，引路的水手询问你要往哪里去。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
27	105		10502		6				ZX02404BA									船舶之上							
28	105		10503		6				ZX02405BA									船舶之上							
29	105		10504		1													船舶之上					表示想自己随意走动一下	离开	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
30	107		10701		2					['点头示意', '返回舱室休息']			[3, 3]			[10702, 10707]		水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		太阳没入了海平面，船上的夜色朦胧，今晚值夜之一的水手身形高大，脸色蜡黄，走路有点不明显的跛足，你认出正是登船遇到的其中一位。他在白天总是沉默，在夜晚则会敞开心扉。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
31	107		10702		2					['聊聊恶龙', '聊聊水手的故事']			[3, 3]			[10703, 10704]		水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		他站在远离船室的甲板上，目光却一直望着船室的方向，他向你招了招手，直到你走近，方才低声开了口。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
32	107		10703	10705	6				ZX02407BA									水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手				
33	107		10704	10705	6				ZX02408BA									水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手				
34	107		10705	10706	1													水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	大概是年岁大了，开始兜着绕着，絮絮叨叨讲一些无关紧要的琐事。你想听的并不是这些吧？	水手笑了下，面容因这个笑容显得更加平和了起来。	交谈	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
35	107		10706		1													水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	夜也深了，今晚的故事就讲到这里吧。	水手笑了下，面容因这个笑容显得更加平和了起来。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
36	107		10707		1													水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		你向水手打了个招呼，微醺的海风让你有了一丝睡意，你返回了舱室，和衣而眠，你做了一个长长的梦	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
37	108		10801		2					['这是哪里？']			[3]			[10802]		流落孤岛					睁开眼是一片澄澈的天空，空气中夹杂着海腥味，你恍惚记得你被高高的浪潮带起，你极力呼喊着，视野里最后是龙高昂的头颅和巨大的双爪，你避让开了，并牢牢掌控着身下窄小的浮舟，这使你不至于在漂流中下沉。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
38	108		10802		2					['四处走走']			[3]			[10803]		流落孤岛					身下是细软的沙粒，你缓慢直起了上半身，入目是海平面，浪潮不再凶猛，潮水一触即离地搔挠你的双脚。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
39	108		10803		2					['躺在沙滩上晒太阳', '寻找活物的踪迹']			[3, 3]			[10804, 10805]		流落孤岛					你往四周查探了一圈，虽然没有完全摸清状况，但你确定自己身处在一个岛屿之上。这会是一个无人岛吗？	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
40	108		10804		1													流落孤岛					阳光正好，在半梦半醒之中，你身上的衣物干透了。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
