Id	PowerId	Type	Pos	Quality	Lv	FightAbility	Name	Desc	Icon	NeedPowerFavor	FightEventId	SkillWeight
1	1	1	1	1	5	200	瞬间创作Ⅰ·迅击	<color=#fa5826>触发普攻</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>1400%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>8秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240001]	115
2	1	1	1	2	10	250	瞬间创作Ⅱ·迅击	<color=#fa5826>触发普攻</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>1700%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>7秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240002]	115
3	1	1	1	3	15	300	瞬间创作Ⅲ·迅击	<color=#fa5826>触发普攻</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>1900%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>6秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240003]	115
4	1	1	1	4	18	350	瞬间创作Ⅳ·迅击	<color=#fa5826>触发普攻</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>2000%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>5秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240004]	115
5	1	1	2	1	5	200	瞬间创作Ⅰ·消除	<color=#fa5826>触发三消</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>1750%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>10秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240005]	115
6	1	1	2	2	10	250	瞬间创作Ⅱ·消除	<color=#fa5826>触发三消</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>2100%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>9秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240006]	115
7	1	1	2	3	15	300	瞬间创作Ⅲ·消除	<color=#fa5826>触发三消</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>2350%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>8秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240007]	115
8	1	1	2	4	18	350	瞬间创作Ⅳ·消除	<color=#fa5826>触发三消</color>会召唤<color=#fa5826>火焰爆发</color>，造成<color=#fa5826>2500%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>7秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240008]	115
9	1	1	3	1	5	200	瞬间创作Ⅰ·迸发	<color=#fa5826>触发必杀技</color>会连续召唤3次<color=#fa5826>火焰爆发</color>，每次造成<color=#fa5826>880%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>15秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240009]	115
10	1	1	3	2	10	250	瞬间创作Ⅱ·迸发	<color=#fa5826>触发必杀技</color>会连续召唤3次<color=#fa5826>火焰爆发</color>，每次造成<color=#fa5826>1050%攻击力</color>的火属性范围伤害，冷却<color=#fa5826>14秒</color>	Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png		[2240010]	115
