Id	DecorationId	Lv	ConditionId	UpgradeCostItemId	UpgradeCostCount	Type	Param	GroupIndex	GridIndex	Name	Icon	Desc	ConditionDesc	IsWindow
1	10001			96102	120			2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	（未激活）宣叙妄响中，角色基础攻击提升<color=#6495ED>10%</color>		
2	10001	1		96102	200	[15]	['2240198']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>10%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>20%</color>		
3	10001	2		96102	300	[15]	['2240199']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>20%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>30%</color>		
4	10001	3		96102	500	[15]	['2240200']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>30%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>40%</color>		
5	10001	4		96102	750	[15]	['2240201']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>40%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>50%</color>		
6	10001	5		96102	1000	[15]	['2240202']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>50%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>70%</color>		
7	10001	6		96102	1500	[15]	['2240203']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>70%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>90%</color>		
8	10001	7		96102	2000	[15]	['2240204']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>90%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>120%</color>		
9	10001	8		96102	2500	[15]	['2240205']	2	1	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>120%</color>     下级：宣叙妄响中，角色基础攻击提升<color=#6495ED>150%</color>		
10	10001	9				[15]	['2240206']	2	2	攻击提升	Assets/Product/Texture/Image/IconPetSkill/Pet3MaSkillbeidong04.png	当前：宣叙妄响中，角色基础攻击提升<color=#6495ED>150%</color>		
