Id	MaxCount	Width	Height	Name	Icon	SmallIcon	Quality	Model	Desc	TypeId	LocateType	IsObstacle	SuitId	GainType	InitAttr	CreateTime	RandomGroupId	InteractRange	InteractWeight	InteractPos	InteractName	ReturnId	PicId	PicNum	MoneyNum	IlluminationSO	PointLight	BehaviorType	AttractBehaviorType	AnimationId	AttrTagY	FunitureBehaviorType	PutOnWidgetHight	HasBehavior	PosChangeType	PutNumType	IsDefaultLocked	PetId	ShowTimeStr
8301004				浅色天花板	Assets/Product/Texture/Image/IconTools/IconDormBasisceiling001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisceiling001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisceiling/Basisceiling001.prefab	非常普通的制式天花板，看久了让人昏昏欲睡。	25003			4	1			1							1	2	Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOBased.asset	Assets/Product/Scene/SuShe/PointLightPrefab/PointLightBased.prefab			1	1.0								
8201004				金属墙	Assets/Product/Texture/Image/IconTools/IconDormBasiswall001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiswall001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiswall/Basiswall001.prefab	金属材质的墙壁，非常坚固。	25002			4	1			1							1	2					1	1.0								
8101004				金属地板	Assets/Product/Texture/Image/IconTools/IconDormBasisfloor001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisfloor001Sp.png	3	Assets/Product/Scene/SuShe/Furniture/Basisfloor/Basisfloor001.prefab	金属材质的地板，有灰鸦小队的标签。	25001			4	1			1							1	2					1	1.0								
8511003		11	3	培育装置	Assets/Product/Texture/Image/IconTools/IconDormBasistrays001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasistrays001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basistrays/Basistrays001.prefab	如果构造体累了，就去里面呆上一会儿吧。	25011	1	1	4	1			1							1	2					1	1.0								
8511004		5	2	宿舍茶几	Assets/Product/Texture/Image/IconTools/IconDormBasisteatable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisteatable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisteatable/Basisteatable001.prefab	摆着一些文件的茶几，工作狂专属。	25011	1	1	4	1			1							1	2					1	1.0								
8510005		4	2	收纳箱	Assets/Product/Texture/Image/IconTools/IconDormBasiscabinet001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiscabinet001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiscabinet/Basiscabinet001.prefab	大大的收纳箱。私人物品不要随意翻看哦。	25010	1	1	4	1			1							1	2					1	1.0								
8612005		8	2	电缆	Assets/Product/Texture/Image/IconTools/IconDormBasiscable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiscable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiscable/Basiscable001.prefab	不知道为什么会露出来的房间电缆。	25012	2		4	1			1							1	2					1	1.0								
8612006		3	5	温度调节器	Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioning001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisairconditioning001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisairconditioning/Basisairconditioning001.prefab	能自动调节室内温度的装置。	25012	2		4	1			1							1	2					1	1.0								
8612007		4	2	宿舍窗户	Assets/Product/Texture/Image/IconTools/IconDormBasiswindow001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiswindow001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiswindow/Basiswindow001.prefab	用来透光的普通窗户。	25012	2		4	1			1							1	2					1	1.0								
8508002		3	3	沙发凳	Assets/Product/Texture/Image/IconTools/IconDormBasisstool001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisstool001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisstool/Basisstool001.prefab	铺着舒适坐垫的小圆凳。	25009	1	1	4	1			1	2	20	1				1	2			['BENCH']	['GOBENCH']	1	0.4								
8404002		8	3	长沙发	Assets/Product/Texture/Image/IconTools/IconDormBasissofa001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasissofa001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basissofa/Basissofa001.prefab	铺着坐垫的长沙发，但是靠背有点硬。	25004	1	1	4	1			1	2	20	3				1	2			['SIT']	['GOSOFA']	1	1.0								
8508003		3	3	电脑椅	Assets/Product/Texture/Image/IconTools/IconDormBasischair001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasischair001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basischair/Basischair001.prefab	技术人员钟爱的椅子样式。	25008	1	1	4	1			1	2	20	1				1	2			['CHAIR']	['GOCHAIR']	1	1.0								
8407005		6	4	电脑桌	Assets/Product/Texture/Image/IconTools/IconDormBasistable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasistable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basistable/Basistable001.prefab	技术人员钟爱的电脑桌，也许三块屏都不够？	25007	1	1	4	1			1							1	2					1	1.0								
8405002		6	8	宿舍床	Assets/Product/Texture/Image/IconTools/IconDormBasisbed001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisbed001Sp.png	3	Assets/Product/Scene/SuShe/Furniture/Basisbed/Basisbed001.prefab	一张普通的金属床。	25005	1	1	4	1			1	2	20	1				1	2			['SLEEP']	['ATTRACT']	1	1.0								
8511005		8	8	数据终端	Assets/Product/Texture/Image/IconTools/IconDormBasisterminal001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisterminal001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisterminal/Basisterminal001.prefab	能够与其他舱室进行连接的终端。	25011	1	1	4	1			1							1	2					1	1.0								
8406005		6	3	更衣柜	Assets/Product/Texture/Image/IconTools/IconDormBasiswardrobe001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasiswardrobe001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basiswardrobe/Basiswardrobe001.prefab	更换衣服……啊不，其实是更换外设装备的柜子。	25006	1	1	4	1			1	2	20	1				1	2			['CABINET']	['GOCABINET']	1	1.0								
8612008		8	7	中央处理器	Assets/Product/Texture/Image/IconTools/IconDormBasisprocessor001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormBasisprocessor001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Basisprocessor/Basisprocessor001.prefab	控制着宿舍各项功能的中央处理器。	25012	2		4	1			1							1	2					1	1.0								
8407001		17	10	咖啡柜台	Assets/Product/Texture/Image/IconTools/IconDormCoffeecounter001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeecounter001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeecounter/Coffeecounter001.prefab	咖啡厅的柜台，要常来点单哦。	25007	1	1	2	2		1800	1						2017	1	2					1	1.0								
8612001		3	3	风景画框	Assets/Product/Texture/Image/IconTools/IconDormCoffeeframe001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeeframe001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeeframe/Coffeeframe001.prefab	优美的风景画框。	25012	2		2	2		1800	1						2018	1	2					1	1.0								
8404001		9	3	深色皮沙发	Assets/Product/Texture/Image/IconTools/IconDormCoffeesofa001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeesofa001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeesofa/Coffeesofa001.prefab	慵懒的皮沙发，躺上去就不想动了。	25004	1	1	2	2		1800	1	2	20	1			2019	1	2			['SIT']	['GOSOFA']	1	1.0								
8612002		3	1	挂壁灯	Assets/Product/Texture/Image/IconTools/IconDormCoffeedroplight001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeedroplight001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeedroplight/Coffeedroplight001.prefab	点亮它就能发出暗淡昏黄的光。	25012	2		2	2		1800	1						2020	1	2					1	1.0								
8612003		16	12	落地窗	Assets/Product/Texture/Image/IconTools/IconDormCoffeewindow001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeewindow001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeewindow/Coffeewindow001.prefab	咖啡桌摆在窗边，就能悠闲地眺望远景。	25012	2		2	2		1800	1						2021	1	2					1	1.0								
8612004		9	3	菜单黑板	Assets/Product/Texture/Image/IconTools/IconDormCoffeeblackboard001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeeblackboard001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeeblackboard/Coffeeblackboard001.prefab	上面用个性的字体写着咖啡厅的菜单。	25012	2		2	2		1800	1						2022	1	2					1	1.0								
8407002		5	5	浪漫圆桌	Assets/Product/Texture/Image/IconTools/IconDormCoffeecombination001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeecombination001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeecombination/Coffeecombination001.prefab	专属于两个人的浪漫圆桌。	25007	1	1	2	2		1800	1						2023	1	2					1	1.0								
8511001		2	2	盆栽植物	Assets/Product/Texture/Image/IconTools/IconDormCoffeeflowerpot001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeeflowerpot001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeeflowerpot/Coffeeflowerpot001.prefab	种着不知道是什么植物的盆栽。	25011	1	1	2	2		1800	1						2024	1	2					1	1.0								
8406001		7	2	置物柜	Assets/Product/Texture/Image/IconTools/IconDormCoffeelocker001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeelocker001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeelocker/Coffeelocker001.prefab	显得有些空荡的置物柜，如果能摆上一些收藏品，客人会更喜欢吧。	25006	1	1	2	2		1800	1	2	20	2			2025	1	2			['CABINET']	['GOCABINET']	1	1.0								
8407003		10	3	长桌	Assets/Product/Texture/Image/IconTools/IconDormCoffeetable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeetable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeetable/Coffeetable001.prefab	简易的长桌，铺着一小块洁白的桌布。	25007	1	1	2	2		1800	1						2026	1	2					1	1.0								
8508001		2	2	高脚凳	Assets/Product/Texture/Image/IconTools/IconDormCoffeestool001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeestool001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeestool/Coffeestool001.prefab	简易的高脚凳，坐上去会显得十分雅致。	25008	1	1	2	2		1800	1	2	20	1			2027	1	2			['CHAIR']	['GOCHAIR']	1	1.0								
8511002		5	2	咖啡茶几	Assets/Product/Texture/Image/IconTools/IconDormCoffeeteatable001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeeteatable001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeeteatable/Coffeeteatable001.prefab	普通样式的茶几，小小花束令人心旷神怡。	25011	1	1	2	2		1800	1						2028	1	2					1	1.0								
8407004		5	4	桌椅组合	Assets/Product/Texture/Image/IconTools/IconDormCoffeecombination003.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeecombination003Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeecombination/Coffeecombination003.prefab	一边喝咖啡，一边洽谈商务，貌似是个不错的选择……	25007	1	1	2	2		1800	1						2029	1	2					1	1.0								
8101003				咖啡厅地板	Assets/Product/Texture/Image/IconTools/IconDormCoffeefloor001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeefloor001Sp.png	3	Assets/Product/Scene/SuShe/Furniture/Coffeefloor/Coffeefloor001.prefab	咖啡厅的浅蓝色地板。	25001			2	2		1800	2						2030	1	2					1	1.0								
8301003				咖啡厅天花板	Assets/Product/Texture/Image/IconTools/IconDormCoffeeceiling001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeeceiling001Sp.png	5	Assets/Product/Scene/SuShe/Furniture/Coffeeceiling/Coffeeceiling001.prefab	挂着小灯的天花板。	25003			2	2		1800	2						2031	1	2	Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOCoffee.asset	Assets/Product/Scene/SuShe/PointLightPrefab/PointLightCoffee.prefab			1	1.0								
8201003				咖啡厅白墙	Assets/Product/Texture/Image/IconTools/IconDormCoffeewall001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeewall001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Coffeewall/Coffeewall001.prefab	咖啡厅的简易装饰墙。	25002			2	2		1800	2						2032	1	2					1	1.0								
8406006		5	4	储物柜	Assets/Product/Texture/Image/IconTools/IconDormPunklocker001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPunklocker001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Punklocker/Punklocker001.prefab	硬派金属风格的储物柜。	25006	1	1	5	2		1800	1	2	20	1			2033	1	2			['CABINET']	['GOCABINET']	1	1.0								
8612009		6	1	灯管	Assets/Product/Texture/Image/IconTools/IconDormPunktube001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPunktube001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Punktube/Punktube001.prefab	总感觉这条灯管已经用了很久很久了……	25012	2		5	2		1800	1						2034	1	2					1	1.0								
8407006		8	4	办公桌	Assets/Product/Texture/Image/IconTools/IconDormPunkdesk001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPunkdesk001Sp.png	4	Assets/Product/Scene/SuShe/Furniture/Punkdesk/Punkdesk001.prefab	混蛋！用过之后要好好收拾啊！	25007	1	1	5	2		1800	1						2035	1	2					1	1.0								
