Id	SuitName	IsIgnoreWhenCreate	IsIgnoreWhenRemodule	IgnoreRecovery	SuitIcon	SuitBigIcon	ShowTimeStr
1	全部				Assets/Product/Texture/Image/UiDormTab/UiDormTab3.png		
2	咖啡厅				Assets/Product/Texture/Image/UiDormTab/UiDormTab5.png		
3	樱花雪月	1			Assets/Product/Texture/Image/UiDormTab/UiDormTab2.png		
4	基础套装	1			Assets/Product/Texture/Image/UiDormTab/UiDormTab4.png		
5	赛博朋克				Assets/Product/Texture/Image/UiDormTab/UiDormTab1.png		
6	圣诞家园				Assets/Product/Texture/Image/UiDormTab/UiDormTab6.png		
7	得闲饮茶				Assets/Product/Texture/Image/UiDormTab/UiDormTab7.png		
8	雪境故所				Assets/Product/Texture/Image/UiDormTab/UiDormTab8.png		
9	波罗塞戏				Assets/Product/Texture/Image/UiDormTab/UiDormTab9.png		
10	海岛假日				Assets/Product/Texture/Image/UiDormTab/UiDormTab11.png		
11	霜雪木屋				Assets/Product/Texture/Image/UiDormTab/UiDormTab12.png		
12	卜星夜话				Assets/Product/Texture/Image/UiDormTab/UiDormTab13.png		
13	甜梦工坊				Assets/Product/Texture/Image/UiDormTab/UiDormTab14.png		
14	青曲戏园				Assets/Product/Texture/Image/UiDormTab/UiDormTab15.png		
15	绿野仙踪				Assets/Product/Texture/Image/UiDormTab/UiDormTab16.png		
16	星夜梦间				Assets/Product/Texture/Image/UiDormTab/UiDormTab17.png		
17	战术局域				Assets/Product/Texture/Image/UiDormTab/UiDormTab18.png		
18	私人用物	1			Assets/Product/Texture/Image/UiDormTab/UiDormTab19.png		
19	校园夏祭				Assets/Product/Texture/Image/UiDormTab/UiDormTab20.png		
20	鹊桥月圆				Assets/Product/Texture/Image/UiDormTab/UiDormTab21.png		
21	生命星光				Assets/Product/Texture/Image/UiDormTab/UiDormTab22.png		
22	库洛洛迪厅				Assets/Product/Texture/Image/UiDormTab/UiDormTab23.png		
23	西西里据点				Assets/Product/Texture/Image/UiDormTab/UiDormTab24.png		
24	饮露居				Assets/Product/Texture/Image/UiDormTab/UiDormTab25.png		
25	深巷记忆				Assets/Product/Texture/Image/UiDormTab/UiDormTab26.png		
26	骑士楼阁				Assets/Product/Texture/Image/UiDormTab/UiDormTab27.png		
27	田园微风				Assets/Product/Texture/Image/UiDormTab/UiDormTab28.png		
28	仙境茶话				Assets/Product/Texture/Image/UiDormTab/UiDormTab29.png		
29	推理殿堂				Assets/Product/Texture/Image/UiDormTab/UiDormTab30.png		
30	书言为灯				Assets/Product/Texture/Image/UiDormTab/UiDormTab31.png		
31	欢度端阳				Assets/Product/Texture/Image/UiDormTab/UiDormTab32.png		
32	蒸汽浪潮				Assets/Product/Texture/Image/UiDormTab/UiDormTab33.png		
33	飨月佳秋				Assets/Product/Texture/Image/UiDormTab/UiDormTab34.png		
34	糖果屋				Assets/Product/Texture/Image/UiDormTab/UiDormTab35.png		
35	掠影成像				Assets/Product/Texture/Image/UiDormTab/UiDormTab36.png		
36	探遗循迹				Assets/Product/Texture/Image/UiDormTab/UiDormTab37.png		
37	凤舞龙蟠				Assets/Product/Texture/Image/UiDormTab/UiDormTab38.png		
38	调谐通联				Assets/Product/Texture/Image/UiDormTab/UiDormTab39.png		
39	鬓云兰妆				Assets/Product/Texture/Image/UiDormTab/UiDormTab40.png		
40	街亭绿意				Assets/Product/Texture/Image/UiDormTab/UiDormTab41.png		
41	温馨红帽				Assets/Product/Texture/Image/UiDormTab/UiDormTab42.png		
42	街头印记				Assets/Product/Texture/Image/UiDormTab/UiDormTab43.png		
43	西部烟风				Assets/Product/Texture/Image/UiDormTab/UiDormTab44.png		
44	正义决断				Assets/Product/Texture/Image/UiDormTab/UiDormTab46.png		
45	夏漪凉风				Assets/Product/Texture/Image/UiDormTab/UiDormTab45.png		
46	凝夏青萃				Assets/Product/Texture/Image/UiDormTab/UiDormTab47.png		
47	丹枫迎秋				Assets/Product/Texture/Image/UiDormTab/UiDormTab48.png		
48	落叶知秋				Assets/Product/Texture/Image/UiDormTab/UiDormTab49.png		
49	绿洲营地				Assets/Product/Texture/Image/UiDormTab/UiDormTab50.png		
50	小狗快餐店				Assets/Product/Texture/Image/UiDormTab/UiDormTab51.png		
51	泉鸣雀吟				Assets/Product/Texture/Image/UiDormTab/UiDormTab52.png		
52	冬日暖暖				Assets/Product/Texture/Image/UiDormTab/UiDormTab53.png		
53	熊熊料理				Assets/Product/Texture/Image/UiDormTab/UiDormTab54.png		
54	曼海娱梦				Assets/Product/Texture/Image/UiDormTab/UiDormTab55.png		
55	小豆泥的世界	1	True	True	Assets/Product/Texture/Image/UiDormTab/UiDormTab57.png		
56	萌宠派对				Assets/Product/Texture/Image/UiDormTab/UiDormTab56.png		
57	泠弦巧物				Assets/Product/Texture/Image/UiDormTab/UiDormTab58.png		
58	育梦胶囊				Assets/Product/Texture/Image/UiDormTab/UiDormTab60.png		
59	胡萝卜农场				Assets/Product/Texture/Image/UiDormTab/UiDormTab59.png		
60	牌语梦庭				Assets/Product/Texture/Image/UiDormTab/UiDormTab61.png		
61	猩红怪谈				Assets/Product/Texture/Image/UiDormTab/UiDormTab63.png		
