Id	ChapterId	Point	RewardId	ClearTipsTitle	Name
1	1	30	701131	已通过C1初阶科目专项	已获取绩点累计奖励
2	1	40	701132	已通过C1初阶科目专项	已获取绩点累计奖励
3	1	50	701133	已通过C1初阶科目专项	已获取绩点累计奖励
4	2	30	701134	已通过C2初阶科目专项	已获取绩点累计奖励
5	2	40	701135	已通过C2初阶科目专项	已获取绩点累计奖励
6	2	50	701136	已通过C2初阶科目专项	已获取绩点累计奖励
7	3	3	701137	TC-B 3星奖励	TC-B 3星奖励
8	3	6	701138	TC-B 6星奖励	TC-B 6星奖励
9	3	9	701139	TC-B 9星奖励	TC-B 9星奖励
10	4	30	701140	已通过B1初阶科目专项	已获取绩点累计奖励
11	4	40	701141	已通过B1初阶科目专项	已获取绩点累计奖励
12	4	50	701142	已通过B1初阶科目专项	已获取绩点累计奖励
13	5	30	701143	已通过B2初阶科目专项	已获取绩点累计奖励
14	5	40	701144	已通过B2初阶科目专项	已获取绩点累计奖励
15	5	50	701145	已通过B2初阶科目专项	已获取绩点累计奖励
16	6	3	701146	TC-A 3星奖励	TC-A 3星奖励
17	6	6	701147	TC-A 6星奖励	TC-A 6星奖励
18	6	9	701148	TC-A 9星奖励	TC-A 9星奖励
19	7	30	701149	已通过A1初阶科目专项	已获取绩点累计奖励
20	7	40	701150	已通过A1初阶科目专项	已获取绩点累计奖励
21	7	50	701151	已通过A1初阶科目专项	已获取绩点累计奖励
22	8	30	701152	已通过A2初阶科目专项	已获取绩点累计奖励
23	8	40	701153	已通过A2初阶科目专项	已获取绩点累计奖励
24	8	50	701154	已通过A2初阶科目专项	已获取绩点累计奖励
25	9	3	701155	TC-S 3星奖励	TC-S 3星奖励
26	9	6	701156	TC-S 6星奖励	TC-S 6星奖励
27	9	9	701157	TC-S 9星奖励	TC-S 9星奖励
28	10	3	701158	TC-S 9星奖励	TC-S 9星奖励
29	10	6	701159	TC-X 6星奖励	TC-X 6星奖励
30	10	9	701160	TC-X 9星奖励	TC-X 9星奖励
