ChapterId	StageType	ClearPoint	UnlockLessonPoint	UnlockLv	PrevChapterIds	StageIds	Order	Name	LockDesc
1	1			5		[30110001, 30110002, 30110003]	1	基础操作课程	默认解锁
2	1			30		[30110004, 30110005, 30110006]	1	基础技巧课程	指挥官等级30解锁
3	2	9	80			[30110007, 30110008, 30110009]	1	TC-B 执照升阶考核	总绩点达到80
4	1			40		[30110010, 30110011, 30110012]	1	协同技巧专项	指挥官等级40解锁
5	1			52		[30110013, 30110014, 30110015]	1	独域作战专项	指挥官等级52解锁
6	2	9	180		[3]	[30110016, 30110017, 30110018]	1	TC-A 执照升阶考核	TC-B考核达到9星，且总绩点达到180
7	1			61		[30110019, 30110020, 30110021]	1	高阶协同专项	指挥官等级61解锁
8	1			70		[30110022, 30110023, 30110024]	1	高阶技巧专项	指挥官等级70解锁
9	2	9	280		[6]	[30110025, 30110026, 30110027]	1	TC-S 执照升阶考核	TC-A考核达到9星，且总绩点达到280
10	2	9	300		[9]	[30110028, 30110029, 30110030]	1	TC-X 执照升阶考核	TC-S考核达到9星，且总绩点达到300
