Id	Name	Icon	Text	ConditionIds	Names	Icons	Texts
101	赛利卡	Assets/Product/Texture/Image/Role/RoleHeadSailika3.png					
102	露西亚	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya2.png	任务中，有事请留言				
103	卡列尼娜	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3.png	挡道的碍事的犯蠢的统统炸掉。				
104	布偶熊	Assets/Product/Texture/Image/Role/RoleHeadBigWorldR3Buouxiong.png	停止营业，工作信息已自动屏蔽。				
105	蕾奥妮	Assets/Product/Texture/Image/Role/RoleHeadR3ran3.png	天才在左，疯子在右，我可能在中间，也或许在外边。				
106	思丽兹	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	糖、奶油、面粉以及最重要的——店长的绝世容颜。				
107	多诺万	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	不发脾气只发财~				
112	凡妮莎	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	话出口前先过脑子，多过几遍。				
113	薇拉	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	有事说事，别问在吗！				
114	罗斯	Assets/Product/Texture/Image/Role/RoleHeadCoffeeBoss3.png	不发脾气只发财。				
115	丽芙	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu8.png	快长快大。				
116	皮特	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	皮特老爷总有办法！				
117	指挥官	Assets/Product/Texture/Image/Role/RoleHeadCommandant3.png					
118	槐月	Assets/Product/Texture/Image/Role/RoleHeadHuaiyue.png	"""卜卦问事, 心诚则灵。"""				
119	工作人员	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png					
120	匿名	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png					
121	导航员	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png					
122	赛琳娜	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna2.png	灵魂如飞鸟自由。				
123	库洛洛排查小组	Assets/Product/Texture/Image/Role/RoleHeadBigWorldEngineer.png	我看到你了，库洛洛！				
124	▇▄▆▃▄▇	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png					
125	布偶熊	Assets/Product/Texture/Image/Role/RoleHeadBigWorldR3Buouxiong.png	停止营业，工作信息已自动屏蔽。				
126	工程队大黑	Assets/Product/Texture/Image/Role/RoleHeadBigWorldNPCMale.png	我不会下班的！我热爱工作！！！				
127	万事	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2.png	长时间未回可能是在补觉。				
128	里	Assets/Product/Texture/Image/Role/RoleHeadR4Li2.png	有事联系，无事勿扰。				
129	丽芙	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu8.png	快长快大。				
130	困惑的库洛洛	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png					
131	工作人员	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png					
132	神威	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Shenwei1.png	<Icon=1|40|40/>				
133	哈里乔	Assets/Product/Texture/Image/Role/RoleHeadHarryjoe.png	随传随到~				
134	库洛洛	Assets/Product/Texture/Image/Role/RoleHeadTongyong.png	维护员编号：Eu9927				
135	库洛姆	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3.png	细心思考，大胆行动。				
