Id	Icon	Name	Desc	FashionDesc	Type	BuffIds	DescParam	DescParamIndex
1101	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	客流宣传	{0}回合内，客流量{1}	新潮流：顾客对茵泰百货的喜好全部改变		[311011, 400121]	[311011, 311011]	[0, 1]
1102	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	例行扫除	立刻获得{0}氛围值	新潮流：顾客对朵莉烘焙的原料顺序喜好小幅改变		[311021, 400021]	[311021]	[1]
1103	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	特派员力荐	{0}回合内，推荐店铺利润{1}	新潮流：顾客对朵莉烘焙价格的喜好改变		[311031, 400031]	[311031, 311031]	[0, 1]
1104	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	料理特卖	{0}回合内，梵希食品的利润{1}	新潮流：顾客对梵希食品所有配料分量的喜好改变		[311041, 400051]	[311041, 311041]	[0, 1]
1105	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	百货清仓	{0}回合内，茵泰百货的利润{1}	新潮流：顾客对茵泰百货随机两个商品的喜好改变		[311051, 400061]	[311051, 311051]	[0, 1]
1106	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	甜品特卖	{0}回合内，朵莉烘焙的利润{1}	新潮流：顾客对朵莉烘焙的原料顺序喜好大幅改变		[311061, 400011]	[311061, 311061]	[0, 1]
1107	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	熊猫玩偶风潮	{0}回合内，九龙商会的利润{1}	新潮流：顾客对随机一个店铺的喜好完全改变		[311071, 400071]	[311071, 311071]	[0, 1]
1201	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	联盟注资	立刻获得{0}公共储金	新潮流：顾客对梵希食品厨师的喜好改变		[312011, 400041]	[312011]	[1]
1202	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	全场满减	{0}回合内，客流量{1}	新潮流：顾客对茵泰百货随机两个商品的喜好改变		[312021, 400101]	[312021, 312021]	[0, 1]
1203	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	防患未然	{0}回合内，突发事件数量{1}	新潮流：顾客对梵希食品价格的喜好改变		[312031, 400061]	[312031, 312031]	[0, 1]
1204	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	阿迪莱宣传	{0}回合内，会有更多顾客前往阿迪莱商会	新潮流：顾客对随机一个店铺的喜好完全改变		[312041, 400071]	[312041]	[0]
1205	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	工艺改良	本回合内圈店铺升级消耗减少{0}	新潮流：顾客对梵希食品所有配料分量的喜好改变		[312051, 400051]	[312051]	[1]
