Id	Name	Desc	Buff
1001	委员会宣传	为了促进消费，业主委员会开启了对梵希食品的宣传活动，梵希食品可以获得更多收入。	[110011]
1002	基础设施维护	商业区近日加大了各项基础设施的维护投入，露天广场的氛围值也会得到提升。	[110021]
1003	露天广场福利日	商业理事会规划在媒体上加强了福利日的优惠宣传，今天会有更多的客人前来。	[110031]
1004	网红打卡活动	委员会聘请了多位网红到朵莉烘焙打卡，卓有成效，朵莉烘焙可以获得更多收入。	[110041]
1005	青培画展活动	茵泰百货邀请了青少年培育中心的孩子们到店举行画展，形成了一处特色的打卡点，前往茵泰百货的客人增加了。	[110051]
1006	偶像义演	在特派员的邀请下，卡列尼娜在露天广场举办了公益演出，近期的客流大幅提升。	[110061]
1007	纪录片《特派员》	艺术协会近期跟拍特派员日常工作的纪实片走红网络，大大提高了商业露天广场的媒体曝光度。	[110071]
1008	物流标准化	近期特派员优化了开发计划的物料进口渠道，所有店铺的利润都会提高。	[110081]
1009	节日主题长廊	委员会主导修建了“四季花灯长廊”正式完工，商业露天广场的客流量暴涨。	[110091]
1010	艺术联动	艺术协会与茵泰百货合作开展了联动活动，推出了商业露天广场主题的商品，茵泰百货的收入提升。	[110101]
1011	露天广场购物券发放	商业理事会近期集中投放了露天广场的购物优惠券，大幅提升了广场的客流量。	[110111]
1012	绿化工程	商业理事会近期投资改善了商业区整体的绿化生态。	[110121]
1013	店内环境评级	委员会宣布将对露天广场商铺的店内环境进行普查评级，此举促进了店家们积极提升店内环境。	[110131]
1014	辅助机网红	近期一只猫型辅助机在露天广场上站岗的视频爆红网络，提升了广场的知名度。	[110141]
1015	灯光污染限令	特派员对各店铺的霓虹灯亮度提出限制，提升了露天广场环境的美观度。	[110151]
2001	商品配送超负荷	露天广场日益激增的商品配送需求，给商业区的交通秩序造成了负面影响。	[120011]
2002	重力调节器异常	舱体维护导致广场的重力调节器间歇性异常，影响了广场商铺的正常经营。	[120021]
2003	废品回收压力过载	伴随露天广场日益兴隆，当地每日产出的生活废品也在不断增加，这给商业区的公共回收系统带来了巨大压力。	[120031]
2004	瘦身热潮	近期有关饮食健康的视频爆红网络，引发了部分群众的身材焦虑，一定程度上影响了相关店铺的收入。	[120041]
2005	舰体紧急维修	广场某处的舰体内壁检测到了潜在破损危险，工程部队赶到现场进行了紧急维修，长时间的作业影响到了广场店铺的正常经营。	[120051]
2006	虚假宣传	近日，茵泰百货被打假网红指出售卖实物与宣传不符，影响了茵泰百货的舆论形象。	[120061]
2007	环形灯带异常	近日，环形灯带的播放内容出现了异常，相关原因仍在排查之中，这给外圈店铺的商家造成了负面的舆论影响。	[120071]
2008	恶性竞争	两家没有加入委员会的店铺在近日展开了低价竞争，虽然被特派员及时制止，但仍对商业露天广场的店铺经营造成了负面影响。	[120081]
2009	进口延期	受到地面气候影响，从保育区进口的原料订单被迫延期。	[120091]
2010	无端造谣	近期社媒上流传着了广场的商铺普遍存在食品安全问题的谣言，尽管官方及时出面澄清，但仍给露天广场的形象造成了影响。	[120101]
