Id	GroupId	Condition	Weigh	IsRepeat	RepeatWeigh	MoodId	Desc
1	101		1000	1	100	1	改善环境，可以提升人们对露天广场的满意度的熊。
2	101		1000	1	100	7	收集顾客的反馈意见改进经营，争取让每个店铺都达到5星好评吧！
3	101		1000	1	100	5	店铺的评分越高，就会有越多的顾客来店里消费的熊。
4	101		1000	1	100	5	建造客流类店铺，可以增加每次经营时的客人数量的熊！
5	101		1000	1	100	1	建造环境类店铺可以增加露天广场的环境值，并在经营的时候提高顾客满意度。
6	101		1000	1	100	1	每回合只能建造一个内圈店铺，但升级的次数没有限制哦。
7	101		1000	1	100	7	顾客有时候会留下小费，要记得及时收取。
8	102		1000	1	100	1	改善环境，可以提升人们对露天广场的满意度的熊。
9	102		1000	1	100	7	收集顾客的反馈意见改进经营，争取让每个店铺都达到5星好评吧！
10	102		1000	1	100	5	店铺的评分越高，就会有越多的顾客来店里消费的熊。
11	102		1000	1	100	5	建造客流类店铺，可以增加每次经营时的客人数量的熊！
12	102		1000	1	100	1	建造环境类店铺可以增加露天广场的环境值，并在经营的时候提高顾客满意度。
13	102		1000	1	100	1	每回合只能建造一个内圈店铺，但升级的次数没有限制哦。
14	102		1000	1	100	7	顾客有时候会留下小费，要记得及时收取。
15	102		1000	1	100	1	每个外圈店铺在建造后都会提供一个辅助效果，帮助特派员经营露天广场。
16	102		1000	1	100	7	外圈店铺的消费顾客越多，就会越早升级的熊。
17	102		1000	1	100	7	外圈店铺每隔一段时间就会发起促销活动的熊。
18	102		1000	1	100	7	每个外圈店铺在建造时都会举行一次促销活动的熊。
19	102		1000	1	100	7	外圈店铺有时会出现突发事件，要记得及时处理哦！
20	201		1000	1	100	2	顾客的喜好改变了，及时收集反馈，调整经营策略吧。
21	201		1000	1	100	2	潮流风向有变化了，及时收集反馈，调整经营策略吧。
22	201		1000	1	100	4	商业区产生了新潮流，顾客们的喜好改变了，需要重新收集顾客们的反馈。
