Id	FeedbackType	Desc	Desc2	IconGroupId	DiffScope	StarType	Star	IsFull	GoodsId
1	10101	['{0}出品的披萨非常好吃，5星好评！', '即使以一名老饕的品味来说，{0}的披萨也是非常好的。']		1		10101	5	True	
2	10102	['我很喜欢吃<color=#FFA82B>{1}</color>，{0}卖的披萨里，<color=#FFA82B>{1}</color>的配比非常好。']		1		10102	5	True	1
3	10103	['希望{0}的披萨里<color=#FFA82B>{1}</color>能稍微<color=#FFA82B>{2}</color>一些']		1	1	10102	4		1
4	10103	['{0}的披萨做的不太好，<color=#FFA82B>{1}</color>应该要更<color=#FFA82B>{2}</color>一些。']		1	2	10102	3		1
5	10103	['{0}的披萨太不正宗了！披萨的<color=#FFA82B>{1}</color>必须要<color=#FFA82B>{2}</color>！']		1	4	10102	1		1
6	10102	['很喜欢{0}的披萨，尤其是他们对<color=#FFA82B>{1}</color>的量把控得非常好。']		1		10103	5	True	2
7	10103	['我感觉{0}的披萨里<color=#FFA82B>{1}</color>最好能稍微<color=#FFA82B>{2}</color>一些']		1	1	10103	4		2
8	10103	['{0}的披萨有点邪道了，<color=#FFA82B>{1}</color>最好能更<color=#FFA82B>{2}</color>一些']		1	2	10103	3		2
9	10103	['{0}的披萨品味太差了，披萨里的<color=#FFA82B>{1}</color>就该<color=#FFA82B>{2}</color>！']		1	4	10103	1		2
10	10102	['{0}的披萨里<color=#FFA82B>{1}</color>的份量恰到好处。']		1		10104	5	True	3
11	10103	['许愿在{0}的披萨里<color=#FFA82B>{2}</color>加一些<color=#FFA82B>{1}</color>']		1	1	10104	4		3
12	10103	['感觉{0}的披萨做法不太对，我觉得需要让<color=#FFA82B>{1}</color>更<color=#FFA82B>{2}</color>一些。']		1	2	10104	3		3
13	10103	['请{0}好好研究披萨制作，真正的披萨里<color=#FFA82B>{1}</color>是要非常<color=#FFA82B>{2}</color>的！']		1	4	10104	1		3
14	10104	['{0}请的披萨师傅很有实力！']		1		10105	5	True	
15	10105	['{0}的厨师出品不稳，最好<color=#FFA82B>换一个厨师</color>。']		1		10105	3		
16	10106	['{0}的披萨比我想的<color=#FFA82B>稍微便宜一点</color>']		1	1	10106	5	True	
17	10106	['{0}的披萨真是友情价了，<color=#FFA82B>太便宜了</color>！']		1	2	10106	5	True	
18	10106	['{0}会不会要倒闭了，这个<color=#FFA82B>价格</color>感觉连<color=#FFA82B>赚回成本都够呛</color>吧！']		1	4	10106	5	True	
19	10107	['{0}的披萨<color=#FFA82B>价格正好</color>是我能接受的水平。']		1		10106	5	True	
20	10108	['{0}的披萨要是<color=#FFA82B>再稍微便宜点</color>就好了。']		1	1	10106	4		
21	10108	['即使对于钟爱披萨的我来说，{0}的披萨也是<color=#FFA82B>比较贵</color>的了。']		1	2	10106	3		
22	10108	['{0}把快餐的披萨卖的比正餐还<color=#FFA82B>贵一截</color>，这谁吃得起啊！']		1	4	10106	1		
23	10201	['{0}里面都是我喜欢的东西，价格也很合理！', '{0}真是我的梦中情店，想要的东西都有，价格也完全能接受。']		1		10201	5	True	
24	10202	['在{0}买到了所有我想要的所有东西，不错。', '{0}的选品很不错，都是我喜欢的东西。']		1		10202	5	True	
25	10206	['想在{0}里买到能<color=#FFA82B>补充能量</color>的东西，但是没买到。']		1		10202	3		1
26	10206	['构造体朋友让我来{0}帮他带瓶<color=#FFA82B>清洁剂</color>，可惜没买到。']		1		10202	3		2
27	10206	['听说{0}之前有卖过一件很有趣的<color=#FFA82B>绿色外套</color>，可惜买不到了。']		1		10202	3		3
28	10206	['想在{0}买点能让休息室<color=#FFA82B>空气更好闻</color>的东西，但不知道买什么。']		1		10202	3		4
29	10206	['想要能帮助我<color=#FFA82B>记录工作会议</color>的东西，但在{0}里没找到。']		1		10202	3		5
30	10206	['打算在{0}里给亲戚家的孩子买个<color=#FFA82B>玩具</color>作为礼物，可惜没有。']		1		10202	3		6
31	10203	['{0}的能量补给袋<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低一些</color>，每次来都能薅羊毛。']		1	1	10203	5	True	1
32	10203	['{0}的能量补给袋<color=#FFA82B>价</color>格比我想的<color=#FFA82B>低很多</color>，买到就是赚！']		1	2	10203	5	True	1
33	10203	['{0}的能量补给袋<color=#FFA82B>价格</color>便宜到难以置信，<color=#FFA82B>比成本价还低</color>！']		1	4	10203	5	True	1
34	10204	['每次买能量补给袋我都会考虑来{0}买，<color=#FFA82B>价格正合适</color>。']		1		10203	5	True	1
35	10205	['在{0}里买到了能量补给袋，只是<color=#FFA82B>价格稍微有些贵</color>。']		1	1	10203	4		1
36	10205	['在{0}里买到了能量补给袋，但<color=#FFA82B>价格比较贵</color>。']		1	2	10203	3		1
37	10205	['{0}里卖的能量补给袋简直像在抢劫，但<color=#FFA82B>价格太吓人</color>！']		1	4	10203	1		1
38	10203	['{0}的构造体清洁剂<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低一些</color>，每次来都能薅羊毛。']		1	1	10204	5	True	2
39	10203	['{0}的构造体清洁剂<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低很多</color>，买到就是赚！']		1	2	10204	5	True	2
40	10203	['{0}的构造体清洁剂<color=#FFA82B>价格</color>便宜到难以置信，<color=#FFA82B>比成本价还低</color>！']		1	4	10204	5	True	2
41	10204	['每次买构造体清洁剂我都会考虑来{0}买，<color=#FFA82B>价格正合适</color>。']		1		10204	5	True	2
42	10205	['在{0}里买到了构造体清洁剂，只是<color=#FFA82B>价格稍微有些贵</color>。']		1	1	10204	4		2
43	10205	['在{0}里买到了构造体清洁剂，但<color=#FFA82B>价格比较贵</color>。']		1	2	10204	3		2
44	10205	['{0}里卖的构造体清洁剂简直像在抢劫，但<color=#FFA82B>价格太吓人</color>！']		1	4	10204	1		2
45	10203	['{0}的纺织外套<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低一些</color>，每次来都能薅羊毛。']		1	1	10205	5	True	3
46	10203	['{0}的纺织外套<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低很多</color>，买到就是赚！']		1	2	10205	5	True	3
47	10203	['{0}的纺织外套<color=#FFA82B>价格</color>便宜到难以置信，<color=#FFA82B>比成本价还低</color>！']		1	4	10205	5	True	3
48	10204	['每次买纺织外套我都会考虑来{0}买，<color=#FFA82B>价格正合适</color>。']		1		10205	5	True	3
49	10205	['在{0}里买到了纺织外套，只是<color=#FFA82B>价格稍微有些贵</color>。']		1	1	10205	4		3
50	10205	['在{0}里买到了纺织外套，但<color=#FFA82B>价格比较贵</color>。']		1	2	10205	3		3
51	10205	['{0}里卖的纺织外套简直像在抢劫，但<color=#FFA82B>价格太吓人</color>！']		1	4	10205	1		3
52	10203	['{0}的香氛诱发器<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低一些</color>，每次来都能薅羊毛。']		1	1	10206	5	True	4
53	10203	['{0}的香氛诱发器<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低很多</color>，买到就是赚！']		1	2	10206	5	True	4
54	10203	['{0}的香氛诱发器<color=#FFA82B>价格</color>便宜到难以置信，<color=#FFA82B>比成本价还低</color>！']		1	4	10206	5	True	4
55	10204	['每次买香氛诱发器我都会考虑来{0}买，<color=#FFA82B>价格正合适</color>。']		1		10206	5	True	4
56	10205	['在{0}里买到了香氛诱发器，只是<color=#FFA82B>价格稍微有些贵</color>。']		1	1	10206	4		4
57	10205	['在{0}里买到了香氛诱发器，但<color=#FFA82B>价格比较贵</color>。']		1	2	10206	3		4
58	10205	['{0}里卖的香氛诱发器简直像在抢劫，但<color=#FFA82B>价格太吓人</color>！']		1	4	10206	1		4
59	10203	['{0}的全息记录仪<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低一些</color>，每次来都能薅羊毛。']		1	1	10207	5	True	5
60	10203	['{0}的全息记录仪<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低很多</color>，买到就是赚！']		1	2	10207	5	True	5
61	10203	['{0}的全息记录仪<color=#FFA82B>价格</color>便宜到难以置信，<color=#FFA82B>比成本价还低</color>！']		1	4	10207	5	True	5
62	10204	['每次买全息记录仪我都会考虑来{0}买，<color=#FFA82B>价格正合适</color>。']		1		10207	5	True	5
63	10205	['在{0}里买到了全息记录仪，只是<color=#FFA82B>价格稍微有些贵</color>。']		1	1	10207	4		5
64	10205	['在{0}里买到了全息记录仪，但<color=#FFA82B>价格比较贵</color>。']		1	2	10207	3		5
65	10205	['{0}里卖的全息记录仪简直像在抢劫，但<color=#FFA82B>价格太吓人</color>！']		1	4	10207	1		5
66	10203	['{0}的超柔毛绒玩具<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低一些</color>，每次来都能薅羊毛。']		1	1	10208	5	True	6
67	10203	['{0}的超柔毛绒玩具<color=#FFA82B>价格</color>比我想的<color=#FFA82B>低很多</color>，买到就是赚！']		1	2	10208	5	True	6
68	10203	['{0}的超柔毛绒玩具<color=#FFA82B>价格</color>便宜到难以置信，<color=#FFA82B>比成本价还低</color>！']		1	4	10208	5	True	6
69	10204	['每次买超柔毛绒玩具我都会考虑来{0}买，<color=#FFA82B>价格正合适</color>。']		1		10208	5	True	6
70	10205	['在{0}里买到了超柔毛绒玩具，只是<color=#FFA82B>价格稍微有些贵</color>。']		1	1	10208	4		6
71	10205	['在{0}里买到了超柔毛绒玩具，但<color=#FFA82B>价格比较贵</color>。']		1	2	10208	3		6
