Id	EffectId	Name	Desc	Res	TaskId	TaskFinishNeedRemoveBuff	RestrictBuff	RewardBuff
2011	2	打折的G前期促销	一位自称为G的神秘人向委员会提议，让露天广场以全场短期降价50%的形式来提升顾客粘性。	1	2011	True	[220112]	[220111]
2012	2	打折的G中期促销	一位自称为G的神秘人向委员会提议，让露天广场以全场短期降价50%的形式来提升顾客粘性。	1	2012	True	[220112]	[220113]
2013	2	打折的G末期促销	一位自称为G的神秘人向委员会提议，让露天广场以全场短期降价50%的形式来提升顾客粘性。	1	2013	True	[220112]	[220114]
2021	3	友好服务日	我们始终坚持不收取服务费，不过顾客认可我们服务而打赏的些许小费则不在此列。	1	2021			[220211]
2031	6	库洛洛咖啡联名	开启库洛洛咖啡限时联名活动，在指定门店打卡可获得库洛洛咖啡限量咖啡杯套装。	1	2031			[220311]
2032	12	环空影院寄售	环空影院希望在露天广场寄售一些影片周边，如果销售效果好，他们愿意支付一笔推广费用。	1	2032			[220312]
2033	4	露天广场庆典	露天广场启动开业庆典，期间能达到收入KPI，即可获得来自商业理事会的高额回报。	1	2033			[220313, 220314, 220315]
2041	9	小型美食节	探店高手多，真假你来说！做出优秀的料理，征服每个顾客的味蕾！	1	2041			[220411]
2042	9	大型美食节	探店高手多，真假你来说！做出优秀的料理，征服每个顾客的味蕾！	1	2042			[220412]
2051	10	小型百货特惠	茵泰百货CEO莅临露天广场，与他同行的还有茵泰集团的各类特惠商品。	1	2051			[220511]
2052	10	大型百货特惠	茵泰百货CEO莅临露天广场，与他同行的还有茵泰集团的各类特惠商品。	1	2052			[220512]
2061	11	小型甜品鉴赏	甜品鉴赏活动准时开启，谁才是露天广场甜品之王？！	1	2061			[220611]
2062	11	大型甜品鉴赏	甜品鉴赏活动准时开启，谁才是露天广场甜品之王？！	1	2062			[220612]
2071	7	轻级环境美化	创建整洁街道才能招来更多的顾客。	1	2071			[220711]
2072	7	中级环境美化	创建整洁街道才能招来更多的顾客。	1	2072			[220712]
2073	7	高级环境美化	创建整洁街道才能招来更多的顾客。	1	2073			[220713]
2081	5	初级合作	所有外圈店铺互相帮助，共同解决顾客投诉，让每个店铺都能互惠共赢。	1	2081			[220811]
2082	5	深度合作	所有外圈店铺互相帮助，共同解决顾客投诉，让每个店铺都能互惠共赢。	1	2082			[220812]
2091	8	装修升级	定期对露天广场进行维护和升级，从而吸引来更多的顾客。	1	2091	True	[220912]	[220911]
2092	8	全面改造	定期对露天广场进行维护和升级，从而吸引来更多的顾客。	1	2092	True	[220914]	[220913]
