Id	Name	Desc	AccountDesc	ConditionDesc	ConditionSampleDesc	ConditionType	Schedule	ScheduleDiv	ConditionParams
1011	开发目标1	客流量达到8		客流量达到8		1	8		[8, 1]
1012	开发目标2	梵希食品的评分达到3.5		梵希食品的评分达到3.5		4	35000	10000	[35000, 111]
1013	开发目标3	累计收入达到300		累计收入达到300		11	300		[300, 1]
1021	开发目标1	氛围值达到25		氛围值达到25		1	25		[25, 2]
1022	开发目标2	满意度达到50%		满意度达到50%		1	50		[50, 3]
1023	开发目标3	累计收入达到500		累计收入达到500		11	500		[500, 1]
1031	开发目标1	将1个外圈店铺提升到2级		将1个外圈店铺提升到2级		3	1		[1, 2, 2]
1032	开发目标2	满意度达到60%		满意度达到60%		1	60		[60, 3]
1033	开发目标3	累计收入达到1500		累计收入达到1500		11	1500		[1500, 1]
1041	开发目标1	将2个外圈店铺提升到2级		将2个外圈店铺提升到2级		3	2		[2, 2, 2]
1042	开发目标2	满意度达到70%		满意度达到70%		1	70		[70, 3]
1043	开发目标3	累计收入达到3500		累计收入达到3500		11	3500		[3500, 1]
1051	开发目标1	完成2个灯带限时任务		完成2个灯带限时任务		10	2		[2, 2]
1052	开发目标2	满意度达到85%		满意度达到85%		1	85		[85, 3]
1053	开发目标3	累计收入达到5200		累计收入达到5200		11	5200		[5200, 1]
1061	开发目标1	单轮收入达到1200		单轮收入达到1200		9	1200		[1200, 1]
1062	开发目标2	满意度达到100%		满意度达到100%		1	100		[100, 3]
1063	开发目标3	累计收入达到7000		累计收入达到7000		11	7000		[7000, 1]
2011	打折的G前期促销	一位自称为G的神秘人向委员会提议，让露天广场以全场短期降价50%的形式来提升顾客粘性。		单轮收入达到80（%s）	单轮收入：%s	9	80		[80]
2012	打折的G中期促销	一位自称为G的神秘人向委员会提议，让露天广场以全场短期降价50%的形式来提升顾客粘性。		单轮收入达到120（%s）	单轮收入：%s	9	120		[120]
2013	打折的G末期促销	一位自称为G的神秘人向委员会提议，让露天广场以全场短期降价50%的形式来提升顾客粘性。		单轮收入达到500（%s）	单轮收入：%s	9	500		[500]
2021	友好服务日	我们始终坚持不收取服务费，不过顾客认可我们服务而打赏的些许小费则不在此列。		收取5次顾客小费（%s）	顾客小费：%s	6	5		[5]
2031	库洛洛咖啡联名	开启库洛洛咖啡限时联名活动，在指定门店打卡可获得库洛洛咖啡限量咖啡杯套装。		商业露天广场客流量达到8人（%s）	客流量：%s	1	8		[8, 1]
2032	环空影院寄售	环空影院希望在露天广场寄售一些影片周边，如果销售效果好，他们愿意支付一笔推广费用。		商业露天广场客流量达到12人（%s）	客流量：%s	1	12		[12, 1]
2033	露天广场庆典	露天广场启动开业庆典，期间能达到收入KPI，即可获得来自商业理事会的高额回报。		商业露天广场客流量达到30人（%s）	客流量：%s	1	30		[30, 1]
2041	小型美食节	探店高手多，真假你来说！做出优秀的料理，征服每个顾客的味蕾！		梵希食品的评分达到3分（%s）	梵希食品评分：%s	4	30000	10000	[30000, 111]
2042	大型美食节	探店高手多，真假你来说！做出优秀的料理，征服每个顾客的味蕾！		梵希食品的评分达到4.5分（%s）	梵希食品评分：%s	4	45000	10000	[45000, 111]
2051	小型百货特惠	茵泰百货CEO莅临露天广场，与他同行的还有茵泰集团的各类特惠商品。		茵泰百货的评分达到3分（%s）	茵泰百货评分：%s	4	30000	10000	[30000, 112]
2052	大型百货特惠	茵泰百货CEO莅临露天广场，与他同行的还有茵泰集团的各类特惠商品。		茵泰百货的评分达到4.5分（%s）	茵泰百货评分：%s	4	45000	10000	[45000, 112]
2061	小型甜品鉴赏	甜品鉴赏活动准时开启，谁才是露天广场甜品之王？！		朵莉烘焙的评分达到3分（%s）	朵莉烘焙评分：%s	4	30000	10000	[30000, 113]
2062	大型甜品鉴赏	甜品鉴赏活动准时开启，谁才是露天广场甜品之王？！		朵莉烘焙的评分达到4.5分（%s）	朵莉烘焙评分：%s	4	45000	10000	[45000, 113]
2071	轻级环境美化	创建整洁街道才能招来更多的顾客。		氛围值达到25（%s）	氛围值：%s	1	25		[25, 2]
2072	中级环境美化	创建整洁街道才能招来更多的顾客。		氛围值达到40（%s）	氛围值：%s	1	40		[40, 2]
2073	高级环境美化	创建整洁街道才能招来更多的顾客。		氛围值达到75（%s）	氛围值：%s	1	75		[75, 2]
2081	初级合作	所有外圈店铺互相帮助，共同解决顾客投诉，让每个店铺都能互惠共赢。		解决4个突发事件（%s）	解决突发事件：%s	7	4		[4]
2082	深度合作	所有外圈店铺互相帮助，共同解决顾客投诉，让每个店铺都能互惠共赢。		解决8个突发事件（%s）	解决突发事件：%s	7	8		[8]
2091	装修升级	定期对露天广场进行维护和升级，从而吸引来更多的顾客。		进行1次店铺升级（%s）	店铺升级：%s	5	1		[1]
2092	全面改造	定期对露天广场进行维护和升级，从而吸引来更多的顾客。		进行3次店铺升级（%s）	店铺升级：%s	5	3		[3]
