Id	Desc	Icon	OptionDescs	OptionBuffs	SpOptionBuffs
1101	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['九龙人吃面原来用筷子吗？那我不会用筷子，这怎么吃啊？', '顾客您好，请尊重不同饮食文化的差异，如需要提供刀叉请下单一次性刀叉餐具。']	[500041, 500031]	[501041, 501031]
1102	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['点了九个汤圆，结果上了十个。', '第一次见到白送东西给差评的。']	[500051, 500021]	[501051, 501021]
1103	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['菜还行，就是你这米饭怎么煮得这么干啊？', '您点的是锅巴。']	[500091, 500081]	[501091, 501081]
1104	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['我点了辣椒面，面呢？', '您好，九龙料理中的“辣椒面”是一种辣椒制佐料，是不含面的。']	[500091, 500081]	[501091, 501081]
1105	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['在你们家买的瓷碗全是碎痕，跟用胶水粘起来似的。', '顾客您好，这是冰裂纹瓷，是九龙的古典工艺。']	[500051, 500021]	[501051, 501021]
1106	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['哦！我的老天爷！我是说，你们九龙人竟然用生鸡蛋拌饭？我真想用我的靴子狠狠地踢你们厨师的屁股！', '顾客您好，温泉蛋就是五分熟的鸡蛋。']	[500071, 500011]	[501071, 501011]
1107	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['这豆腐也太辣了！！', '您点的是特辣麻婆豆腐，这个辣度没问题。']	[500051, 500021]	[501051, 501021]
1108	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['我就点了一只烤鸭，为什么餐品里有四条腿！', '顾客您好，另外两个小的是鸭翅。']	[500051, 500021]	[501051, 501021]
1109	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['你们这个鸡丁，我都说了不要辣，为什么还给辣？', '顾客您好，您点的是香辣鸡丁，真的没法不加辣。']	[500071, 500011]	[501071, 501011]
1110	九龙商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopJL01.png	['这个什么烧仙草不就是碗糖水吗？我仙草呢？', '烧热的烧仙草就是汤汁。']	[500091, 500081]	[501091, 501081]
1201	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['鹰嘴豆泥都洒了！！', '配送问题请联系无人机配送部门，本店只负责出餐。']	[500021, 500051]	[501021, 501051]
1202	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['香精味太冲了，涂了几滴，整个商业区都能闻到。', '本店香精都是采用阿迪莱古法工艺制作，顾客如果觉得不符合预期，可以考虑观看赠送的终端教程，稀释后使用。']	[500081, 500091]	[501081, 501091]
1203	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['商家故意不送餐，差评。', '顾客您好，单点免费的大饼是不能送餐的。']	[500051, 500021]	[501051, 501021]
1204	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['你们卖的椰枣也太涩了，而且一点也不甜。', '本店的椰枣均产自太空大棚，口感不佳可能是温差调节失误导致的，感谢您的反馈，我们一定尽快改良工艺。']	[500011, 500061]	[501011, 501061]
1205	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['店家没看备注，直接差评好吧。', '顾客要求本店全体员工给他合唱生日祝福，恕本店力有不逮！']	[500091, 500081]	[501091, 501081]
1206	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['我买的骆驼玩偶，怎么只有一只驼峰？', '不是所有骆驼都有两只驼峰，也有一只驼峰的单峰驼。']	[500081, 500091]	[501081, 501091]
1207	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['你们家的烤肉饭一点味没有，肉是除了盐什么都不放吗？', '您下单的“经典烤肉饭”为了还原阿迪莱古典口味，在烹烤时的确没有加入其他佐料，如对口味有特殊需求，请下单其他菜品。']	[500061, 500011]	[501061, 501011]
1208	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['这个什么烤肉泥串造型也太不雅观了，看着就没食欲！', '顾客您好，请尊重不同地区的饮食文化。']	[500051, 500021]	[501051, 501021]
1209	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['我买的奥赛兰姆列车模型怎么跑不起来？', '请您检查是否装配电池。']	[500051, 500021]	[501051, 501021]
1210	阿迪莱商会突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopALD01.png	['缺斤少两！我点的番茄柠檬沙拉没有送柠檬汁，有图有真相！', '顾客您好，柠檬汁在出餐时就已经替您淋上去了，您好好检查下自己拍的照片。']	[500051, 500021]	[501051, 501021]
1301	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['买的构造体用香氛，喷在身上根本没用。', '发货前已确认过您是人类，您知道是构造体专用香喷，那为什么还要给自己用？']	[500091, 500081]	[501091, 501081]
1302	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['披萨不给切？真是无语！我们三个人怎么分呢？', '顾客您好，您点的是卡塔尼亚风味单人餐披萨，一般来说是不切的。']	[500061, 500011]	[501061, 501011]
