Id	Type	ShowType	GetShowType	ConditionId	Name	Desc	Icon	BgColor	Duration	Params
101	1				九龙商会特殊效果：自动收取顾客小费	九龙商会特殊效果：自动收取顾客小费	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopLuoPan.png	AD6600		[301, 1]
102	1				阿迪莱商会特殊效果：自动记录顾客反馈	阿迪莱商会特殊效果：自动记录顾客反馈	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceBarbecue.png	AD6600		[302, 1]
103	1				海洋之心旗舰特殊效果：拆除内圈店铺的返还公共储金提升	海洋之心旗舰特殊效果：拆除内圈店铺的返还公共储金提升	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceFishTank.png	AD6600		[303, 5000]
104	1				雪松商店特殊效果：增加突发事件的收益	雪松商店特殊效果：增加突发事件的收益	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopProjectionn.png	AD6600		[305, 1]
110011	10	1	1		委员会宣传	{0}回合内，梵希食品的利润{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconIncome.png	287B00	1	[3, 4, 111]
110021	1	2			基础设施维护	立刻获得{1}氛围值		287B00		[103, 2]
110031	1	1	1		露天广场福利日	{0}回合内，客流量{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlow.png	287B00	2	[102, 1000]
110041	10	1	1		网红打卡活动	{0}回合内，朵莉烘焙的利润{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconIncome.png	287B00	1	[3, 4, 113]
110051	10	1	1		青培画展活动	{0}回合内，前往茵泰百货消费的客人数量增加	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlow.png	287B00	1	[1, 1000, 112]
110061	1	1	1		偶像义演	{0}回合内，客流量{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlow.png	287B00	2	[101, 1]
110071	1	1	1		纪录片《特派员》	{0}回合内，客流量{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlow.png	287B00	1	[102, 2000]
110081	10	1	1		物流标准化	{0}回合内，所有消费类店铺以及外圈店铺的利润{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconIncome.png	287B00	2	[4, 2000, 111, 112, 113, 211, 221, 231, 241]
110091	1	1	1		节日主题长廊	{0}回合内，客流量{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlow.png	287B00	3	[102, 1000]
110101	10	1	1		艺术联动	{0}回合内，茵泰百货的利润{1}	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconIncome.png	287B00	1	[3, 4, 112]
