Id	ValueType	IsShopAttr	AttrId	BuffCalId	Div	IsSp	HasBubble	FormatStr	BubbleDesc	Desc	Name	InitKey	Icon	IconColor	Color	AttrKey
101	1		101	102						客流	基础客流	CustomerNumFixed	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlowAdd.png	7776D2FF	7776D2FF	
102	2		102		10000					客流	客流倍率	CustomerNumMultiple	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlowPercent.png	7776D2FF	7776D2FF	
103	1		103	104						氛围	基础氛围	EnvironmentFixed	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconEnvironmentAdd.png	8DA955FF	8DA955FF	
104	2		104		10000					氛围	氛围倍率	EnvironmentMultiple	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconEnvironmentPercent.png	8DA955FF	8DA955FF	
105	1		105	106						满意度	基础满意度	SatisfactionFixed	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconFavorabilityLevel.png	C97D99FF	FFD055FF	
106	2		106		10000					满意度	满意度倍率	SatisfactionMultiple	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconFavorabilityLevel.png	C97D99FF	C97D99FF	
201	1										顾客小费数量固定加成					
202	2				10000						顾客小费数量倍率					
203	1										突发事件数量固定加成					
204	2				10000						突发事件数量倍率					
205	1										推荐店铺利润固定加成					
206	2				10000						推荐店铺利润倍率					
207	1										推荐店铺到店系数固定加成					
208	2				10000						推荐店铺到店系数倍率					
301	1										自动处理不满（纯客户端）					
302	1										自动处理反馈（纯客户端）					
303	1										拆除店铺时返还金额加成					
304	1										空花新闻负面新闻权重降低值					
305	1										突发事件启用特殊奖励					
20001	1									消费	消费			FF7200FF		
20002	1									客流	客流			1EBDFFFF		
20003	1									氛围	氛围			45A22FFF		
30001	2	1	1		10000	True	True		星级越高，就会有越多的顾客前来	客流	到店系数固定加成	CustomerFactor	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconStarLevel.png	8DA955FF	A5D449FF	
30002	2	1	2		10000					客流	到店系数万分比加成			C3A453FF	C3A453FF	
30003	1	1	3			True	True	%s/人	增加顾客到店后的人均消费	利润	利润固定加成	AwardGold	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconIncome.png	C3A453FF	C3A453FF	
30004	2	1	4		10000					利润	利润万分比加成			C3A453FF	C3A453FF	
30005	2	1	5		10000					建造消耗	建造消耗加成			C3A453FF	C3A453FF	
30006	2	1	6		10000					升级消耗	升级消耗加成			C3A453FF	C3A453FF	
20101	1									可用于建造与升级店铺	公共储金		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconIncome.png	C3A453FF	C3A453FF	
20102	2				100					由店铺评分与氛围值决定	满意度		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconFavorabilityLevel.png	C97D99FF	FD71A5FF	
20103	1									代表运营阶段的客人总数	客流量		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconPassengerFlow.png	7776D2FF	7B79FFFF	
20104	1									提高氛围值可以提高满意度	氛围值		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Icon/UiSkyGardenShoppingStreetTargetIconEnvironment.png	8DA955FF	A5D449FF	
