Id	GrapevineType	Weight	Name	Desc
1	10101	100	小道消息	最近<color=#ce6e20>{0}</color>做的披萨在商业区受到广泛好评。
2	10101	100	小道消息	最近的顾客都反应，想吃<color=#ce6e20>{0}</color>做的披萨。
3	10102	100	小道消息	随机采访时有人表示，只有放了<color=#ce6e20>{0}份{1}、{2}份{3}、{4}份{5}</color>的披萨才是正宗披萨。
4	10102	100	小道消息	一份海洋之心知名大厨的秘密配方流出，上面记载了广受好评的披萨配方，包括<color=#ce6e20>{0}份{1}、{2}份{3}、{4}份{5}</color>。
5	10103	100	小道消息	问卷调查显示，在披萨里放<color=#ce6e20>{0}份{1}</color>成为了顾客最迫切的要求。
6	10103	100	小道消息	最近露天广场的建议箱收到了许多希望在披萨里放<color=#ce6e20>{0}份{1}</color>的建议，或许可以满足一下他们。
7	10104	100	小道消息	商业分析家表示，梵希食品披萨的单价如果设为<color=#ce6e20>{0}</color>，会更有助于提升收入。
8	10104	100	小道消息	大数据显示，在披萨价格调整为<color=#ce6e20>{0}</color>的时候，销量最高。
9	10201	100	小道消息	露天广场问卷调查显示，人们对<color=#ce6e20>{0}、{1}、{2}</color>的购买欲望上升。
10	10201	100	小道消息	最近<color=#ce6e20>{0}、{1}、{2}</color>的需求量提升明显，可以考虑一下调整茵泰百货的经营策略。
11	10202	100	小道消息	专业分析师表示，将茵泰百货中<color=#ce6e20>{0}</color>的价格调整为<color=#ce6e20>{1}</color>才是最合适的选择。
12	10202	100	小道消息	大数据显示，将茵泰百货的<color=#ce6e20>{0}</color>的定价调整为<color=#ce6e20>{1}</color>，会更有利于提升收入。
13	10301	100	小道消息	之前朵莉烘焙的员工将蛋糕的价格记成<color=#ce6e20>{0}</color>，结果当日的收入显著提升。
14	10301	100	小道消息	大数据显示，将朵莉烘培的蛋糕定价调整为<color=#ce6e20>{0}</color>，会更有利于提升收入。
15	10302	100	小道消息	有顾客表示，如果能把<color=#ce6e20>{0}</color>放在从上往下<color=#ce6e20>第{1}<层</color>，会更符合自己的喜好。
16	10302	100	小道消息	朵莉烘培员工反应，最近有许多顾客都要求把<color=#ce6e20>{0}</color>调整在从上往下<color=#ce6e20>第{1}层</color>，或许我们应该整体调整经营策略。
17	10303	100	小道消息	甜品大师尝试了露天广场的蛋糕后表示，如果从上到下以<color=#ce6e20>{0}、{1}、{2}、{3}</color>的顺序摆盘，会更符合一般顾客喜好。
18	10303	100	小道消息	潮流调查显示，在多家甜品店中，从上到下以<color=#ce6e20>{0}、{1}、{2}、{3}</color>的顺序制作的蛋糕获得了最多人的认可。
