Id	Cost	MainType	SubType	SortType	FuncType	Condition	ShopResId	BuffShowId	Desc	AccountDesc	StrategyDesc	Name	Prefab	SignboardImg	BuildPromotionGroupId	TurnPromotionGroupId	EventEmergencyGroupId
1001	50	1	111	1	101		1001		出售披萨的店，可以提供收入		设置配料的分量以及厨师	梵希食品		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop01.png			
1002	50	1	112	1	102		1002		出售多种商品的店，可以提供收入		设置想要上架的商品	茵泰百货		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop02.png			
1003	50	1	113	1	103		1003		出售蛋糕的店，可以提供收入		调整蛋糕原料的摆放顺序	朵莉烘焙		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop03.png			
1004	50	1	121	2	104		1004		可以吸引顾客，按百分比增加客流量			弈智桌游		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop05.png			
1005	50	1	122	2	104		1005		可以吸引顾客，增加客流量的基础值			辅助机体验		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop04.png			
1006	50	1	131	3	104		1006		可以提高氛围，增加氛围的基础值			蔻屿鲜花		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop06.png			
1007	50	1	132	3	104		1007		可以提高氛围，按百分比增加氛围			心灵之窗		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop07.png			
1008	50	1	111	1	101		1001		出售披萨的店，可以提供收入		设置配料的分量以及厨师	梵希食品		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop02.png			
1009	50	1	121	2	104		1004		可以吸引顾客，按百分比增加客流量			弈智桌游		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop05.png			
1010	50	1	122	2	104		1005		可以吸引顾客，增加客流量的基础值			辅助机体验		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/ShopIcon/UiSkyGardenShoppingStreetInsideBuildShop04.png			
2001		2	211		104		2001	101	九龙商会开设的店铺，，可以提供收入			九龙商会		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	210	110	110
2002		2	221		104		2002	102	阿迪莱商业联盟开设的店铺，可以提供收入			阿迪莱商会		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	220	120	120
2003		2	231		104		2003	103	环大西洋经济共同体开设的店铺，可以提供收入			海洋之心旗舰		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	230	130	130
2004		2	241		104		2004	104	北极航线联合开设的店铺，可以提供收入			雪松商店		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	240	140	140
