Id	Name	MethodName	ParamNames
1	基础售价	GetCommodityPriceBubble	['Id']
2	售价加成	GetCommodityPriceAddBubble	['Id']
3	本季度价格波动	GetCommodityPriceFluctuationBubble	['Id']
4	最终售价增加	GetCommodityPriceAddFixedBubble	['Id']
5	销售暴击概率	GetCommodityPriceCritAddBubble	['Id']
6	销售暴击效果	GetCommodityPriceCritHurtAddBubble	['Id']
7	基础产量	GetCommodityProductionBubble	['Id']
8	生产效率加成	GetCommodityProductionAddBubble	['Id']
9	本季度产量波动	GetCommodityProductionFluctuationBubble	['Id']
10	生产暴击概率	GetCommodityProductionCritAddBubble	['Id']
11	生产暴击效果	GetCommodityProductionCritHurtAddBubble	['Id']
