CharacterId	ModelName	Name	SmallHeadIcon	HalfBodyImage	RoundnessHeadIcon
1011002	QR2LiangMd010011TX	里 异火	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png
1021001	QR1LuxiyaMd010011TX	露西亚 红莲	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png
1031001	QR1LifuMd010011TX	丽芙 蚀暗	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png
1041002	QR2BiankaMd010011TX	比安卡 零度	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png
1051001	QR2YongyechaoMd010011TX	七实 风暴	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoQ.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png
1061002	QR2ShenweiMd010011TX	神威 重能	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png
1071002	QR2KalieninaMd010011TX	卡列尼娜 爆裂	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png
1081002	QR2DubianMd010011TX	渡边 夜刃	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png
1021002	QR2LuxiyaMd010011TX	露西亚 黎明	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png
1031002	QR2LifuMd010011TX	丽芙 流光	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png
