Id	Type	StageId	HandBookSubType	HandBookSubTypeName	StoryType	StoryId	Name	Desc	Icon	UnlockTips
1	3	3	5	尾声	1	HD017104BA	与薇拉同行Ⅳ	人类习惯在夜深人静之时，总结发生过的一切。	Assets/Product/Texture/Image/BgStory/BgStory667.jpg	通关与薇拉同行解锁
2	3	4	5	尾声	1	HD017108BA	与里同行Ⅳ	拂去过往的尘土，向那些熟悉而又陌生的面孔，轻声问好。	Assets/Product/Texture/Image/BgStory/BgStory671.jpg	通关与里同行解锁
3	3	5	5	尾声	1	HD017112BA	与艾拉同行Ⅳ	我们是如此的相似，又是如此的不同。	Assets/Product/Texture/Image/BgStory/BgStory673.jpg	通关与艾拉同行解锁
4	3	6	5	尾声	1	HD017116BA	与卡列同行Ⅳ	后退是为了留出空间，以便相互拥抱，并肩前行。	Assets/Product/Texture/Image/BgStory/BgStory675.jpg	通关与卡列同行解锁
5	3	11	5	尾声	1	HD017118BA	未来序曲Ⅰ结局	真正参与这场战争的方式，也许出乎意料。	Assets/Product/Texture/Image/BgStory/BgStory677.jpg	通关未来序曲Ⅰ解锁
6	3	12	5	尾声	1	HD017120BA	未来序曲Ⅱ结局	只有自身的意志，才足够说服他人。	Assets/Product/Texture/Image/BgStory/BgStory680.jpg	通关未来序曲Ⅱ解锁
7	3	13	5	尾声	1	HD017122BA	未来序曲Ⅲ结局	通往未来的序曲，于尽头掀起帷幕。	Assets/Product/Texture/Image/BgStory/BgStory681.jpg	通关未来序曲Ⅲ解锁
8	3	3	3	序幕	3	HD017101BA	与薇拉同行Ⅰ	早上好，康斯塔雷耶。	Assets/Product/Texture/Image/BgStory/BgStory667.jpg	挑战与薇拉同行解锁
9	3	4	3	序幕	3	HD017105BA	与里同行Ⅰ	康斯塔雷耶的早晨，三人一起在大楼顶部忙碌的背影。	Assets/Product/Texture/Image/BgStory/BgStory671.jpg	挑战与里同行解锁
10	3	5	3	序幕	3	HD017109BA	与艾拉同行Ⅰ	一大清早就陷入到“激战状态”的康斯塔雷耶。	Assets/Product/Texture/Image/BgStory/BgStory673.jpg	挑战与艾拉同行解锁
11	3	6	3	序幕	3	HD017113BA	与卡列同行Ⅰ	晨风拂过康斯塔雷耶之际，备战工作正在热火朝天地展开。	Assets/Product/Texture/Image/BgStory/BgStory675.jpg	挑战与卡列同行解锁
12	3	11	3	序幕	3	HD017117BA	未来序曲Ⅰ序幕	夜幕下，少女从虚拟的幻境之中走出。	Assets/Product/Texture/Image/BgStory/BgStory677.jpg	挑战未来序曲Ⅰ解锁
13	3	12	3	序幕	3	HD017119BA	未来序曲Ⅱ序幕	一字排开的画作，静候管理者的裁决。	Assets/Product/Texture/Image/BgStory/BgStory680.jpg	挑战未来序曲Ⅱ解锁
14	3	13	3	序幕	3	HD017121BA	未来序曲Ⅲ序幕	所有人准备就绪，静候决战的到来。	Assets/Product/Texture/Image/BgStory/BgStory681.jpg	挑战未来序曲Ⅲ解锁
