Key	Params
HelpKey	['ScoreTowerHelp']
TaskShowRewardId	['66199']
ChapterProgressTitle	['提示']
ChapterProgressContent	['当前有进行中的关卡,是否提前结算']
ChapterNotStart	['{0}后解锁']
ChapterAlreadyOver	['已结束']
ChapterPreChapterScoreNotPass	['{0}需要达到{1}积分']
TowerPreTowerNotPass	['{0}未通关']
TowerStoreyGiveUpTitle	['提示']
TowerStoreyGiveUpContent	['是否放弃当前冰场挑战进度，提前进行结算？']
TowerTeamMemberNotEnough	['上阵角色数量满足要求后才可挑战']
PlugPointIcon	['Assets/Product/Texture/Image/IconTools/UiScoreTowerIcon02.png']
StageBossPassDesc	['分数超过<color=#{0}>{1}</color>解锁下一层']
StageBossTargetDesc	['<color=#{0}>{1}</color>秒获得分数<color=#{2}>{3}</color>']
StageBossStarDesc	['<color=#{0}>{1}</color>秒获得分数<color=#{2}>{3}</color>']
StagePassDescColor	['bcf2f7', 'FF7848', 'FF7848']
StageDetailDescColor	['bcf2f7', 'FF7848', 'FF7848']
StageSettlementDescColor	['bcf2f7', 'FF7848', 'FF7848']
TowerStoreySweepTitle	['提示']
TowerStoreySweepContent	['已满足扫荡条件,是否一键扫荡至【{0}】？', '已满足扫荡条件,是否一键扫荡以完成【{0}】的作战？']
EnterStageBossTips	['通关所有点数关卡后可挑战']
SweepConditionDesc	['平均战力≥{0}可扫荡']
SweepConditionNotMeetTip	['未满足扫荡条件']
SweepSuccessTip	['扫荡成功']
CharacterNumNotEnoughTip	['上阵成员不足']
PluginPointNotEnough	['点数不足,可通过点数关获取']
TowerTeamRelatedTips	['当前冰场队伍已满', '当前冰场编队中存在相同的角色']
StageTeamRelatedTips	['关卡队伍已满', '关卡已通关', '当前角色已使用']
StageTeamRoleNumberLimitDesc	['上阵人数限制为：{0}人']
TowerSuggestCharacterEmpty	['没有满足的推荐角色']
PlugPointRollingNumberTime	['1000']
StrengthenChapterUnlockDesc	['通关{0}后解锁']
StrengthenRelatedTips	['解锁', '强化', '已达最大等级', '{0}不足,可通关章节获得', '强化成功', '强化失败', '下次强化成功率提升至', '解锁成功']
RankNotOpen	['排行榜功能将于{0}开启']
ResetStageSecondConfirmTitle	['提示', '提示']
ResetStageSecondConfirmContent	['选中该角色会重置其他已通关关卡的通关状态,是否确认?', '替换该角色会重置本关的通关状态,是否确认?']
AssetDetailPopupTitle	['璨芒点详情']
AssetDetailPopupContent	['1、璨芒点由点数关产出，在点数关填入对应的角色，并成功结算后，即可根据点数要求获得对应的璨芒点。\\n\\n2、在BOSS关卡消耗璨芒点可激活对应插件，获得强力战斗增益。BOSS关卡胜利后，返还消耗的全部璨芒点。\\n\\n3、在同个冰场内，璨芒点可跨层继承。']
StageSettlementTitleEffect	['Assets/Product/Ui/Prefab/UiEffect/UiScoreTower/FxUiScoreTowerSettlementBt.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiScoreTower/FxUiScoreTowerSettlementBtFail.prefab']
GridStageMoveMinX	['-500']
GridStageMoveMaxX	['-300']
GridStageMoveTargetX	['-400']
GridStageMoveDuration	['500']
BuffPowerAddsLabel	['{0}\\n\\n所有成员战力+ {1}']
ChapterEntranceAnimInterval	['50', '10']
GridStrengthenAnimInterval	['50']
GridTaskAnimInterval	['50']
GridRankAnimInterval	['50']
GridSettleStarAnimInterval	['100']
