Id	Desc	Icon
101	需要上阵物理成员	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png
102	需要上阵火属性成员	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png
103	需要上阵冰属性成员	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png
104	需要上阵雷属性成员	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png
105	需要上阵暗属性成员	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png
106	需要上阵空属性成员	Assets/Product/Texture/Image/IconType/IconTypeYsNihilityWhite.png
201	需要上阵真意斩效应成员	Assets/Product/Texture/Image/IconType/IconTypeSwordPowerSkill01A.png
202	需要上阵焚烧效应成员	Assets/Product/Texture/Image/IconType/IconTypeBurnSkill01A.png
203	需要上阵覆冰效应成员	Assets/Product/Texture/Image/IconType/IconTypeFreezeSkill01A.png
204	需要上阵电束效应成员	Assets/Product/Texture/Image/IconType/IconTypeThunderShieldSkill01A.png
205	需要上阵黯衍效应成员	Assets/Product/Texture/Image/IconType/IconTypeRadiateSkill01A.png
206	需要上阵紊乱效应成员	Assets/Product/Texture/Image/IconType/IconTypeGeneralSkill01A.png
301	需要上阵进攻型/湮灭型/先锋型成员	Assets/Product/Texture/Image/IconType/IconZY1.png
302	需要上阵进攻型/湮灭型/先锋型成员	Assets/Product/Texture/Image/IconType/IconZY11.png
303	需要上阵进攻型/湮灭型/先锋型成员	Assets/Product/Texture/Image/IconType/IconZY9.png
311	需要上阵装甲型/观测者成员	Assets/Product/Texture/Image/IconType/IconZY3.png
312	需要上阵装甲型/观测者成员	Assets/Product/Texture/Image/IconType/IconZY13.png
321	需要上阵辅助型/增幅型成员	Assets/Product/Texture/Image/IconType/IconZY5.png
322	需要上阵辅助型/增幅型成员	Assets/Product/Texture/Image/IconType/IconZY7.png
401	需要上阵洁塔薇	Assets/Product/Texture/Image/UiScoreTower/UiScoreTowerAffixJietawei.png
