Id	Desc	IsQualityColor
1	通关可获取{0}随机插件	
2	攻击力<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color>力量)	
3	消除信号球时，有{0}的概率不消耗虚赝值。	
4	消除信号球时，额外获得{0}点必杀能量。	
5	消除焚烈球时，对敌人造成伤害时，灼烧敌人，每秒造成攻击力{0}的火属性伤害，持续4秒。	
6	触发核心-永昼颂歌时有{0}概率造成额外效果：释放纯挚宣誓时，聚集周围敌人；释放纷乱宣誓时对拥有纯白圣言的敌人，额外伤害提升{1}。	
7	触发核心-永昼颂歌后，获得{0}点祷告值，自身额外伤害加成提升{1}，持续5秒，重复触发刷新持续时间。	
8	处于必杀-伽蓝之海的极昼祷告状态时，三消信号球有{0}概率额外获得4层增幅。	
9	每次触碰到回旋龙厄时，自身额外伤害提升{0}，最多叠加2层，重复触发刷新持续时间。	
10	释放核心-龙劲连击时，额外恢复{0}点必杀能量。	
11	普攻额外获得{0}点龙劲点数。	
12	自身攻击时可触发导弹协助攻击；每次触发核心-“简直完美！”时，对范围内敌人造成攻击力{0}的火属性伤害。	
13	释放必杀-王牌之星的万兆创星击后，有{0}概率留在核心-“轰隆隆”状态。	
14	每拥有一枚信号球，遥星之座火属性伤害提升{0}。	
15	释放必杀-霜流淬刀·亚温后，处于武器附魔状态时，每次攻击额外造成攻击力{0}的冰属性伤害。	
16	每秒额外获得{0}点必杀能量。	
17	闪避值恢复速度提升{0}。	
18	释放必杀-星碎地平线后，获得生命值{0}的护盾，护盾存在期间角色霸体并获得{1}的伤害减免。	
19	辉晓入场时触发超算空间，并额外获得1枚信号球；释放任意信号球技能时，自身暗属性伤害提升{0}，最多叠加6层，持续15秒，重复触发刷新持续时间。	
20	释放必杀-星碎地平线后触发超算空间，额外获得{0}枚蓝色信号球，每次释放曳星轨迹时，返还消耗的信号球，持续{1}秒。	
21	每次提升档位时，有{0}的概率额外提升一档。	
22	每次提升档位时，有{0}的概率额外提升二档。	
23	释放核心-强袭升华击时，额外恢复{0}点必杀能量。	
24	释放必杀-寒夜尽灭后，获得{0}枚同色信号球。	
25	释放普攻-灯影剑舞时，自身额外伤害提升{0}，深痕滞空时间延长{1}秒。	
26	释放普攻-灯影剑舞时，自身额外伤害提升{0}，深痕永久滞空。	
27	普攻-灯影剑舞及普攻-残光剑影每次造成伤害时，使敌人额外伤害减免降低{0}，最多叠加15层，持续10秒，重复触发刷新持续时间。	
28	普攻-残光剑影造成伤害时会恢复{0}点残光值。	
29	每次释放流星球时重奏·双星额外伤害加成提升{0}并激活未冷却的QTE，最高可叠加5层，释放重奏·双星后清零。	
30	消除流星球时，全队会恢复{0}攻击力的生命值。	
31	消除流星球时，额外恢复{0}点必杀能量。	
32	核心-控弹火属性伤害提升{0}，且触发核心-控弹后4秒内普通攻击也会附带爆炎效果。	
33	释放热场射击时，吸引周围怪物，恢复3枚红色信号球和{0}点闪避值。	
34	释放精准连射时，恢复3枚黄色信号球。闪避后2秒内，自身火属性伤害提升{0}，重复触发刷新持续时间。	
35	处于核心-双刀术状态时，攻击额外恢复5点必杀能量，核心-红莲-双刀术基础伤害提升{0}。	
36	核心-双刀术持续时间延长{0}秒。	
37	核心-双刀术持续时间结束后，触发超算空间，并获得{0}枚红色信号球。	
38	核心-激光束群基础伤害伤害提升{0}。	
39	释放必杀-苍穹星降后触发超算空间，并立即获得{0}枚红色信号球。	
40	释放任意三消时，额外恢复{0}点必杀能量。	
41	能量箭物理伤害提升{0}，触发核心-饶恕箭筒时，每消耗1支能量箭，额外派生1支能量箭。	
42	释放必杀-天命之雨后触发超算空间，自身额外伤害加成提升{0}，持续6秒，重复触发刷新持续时间。	
43	进入必杀-琉晶壁垒范围内的友方角色，暴击伤害提升{0}，持续15秒，重复触发刷新持续时间。	
44	释放必杀-琉晶壁垒后触发超算空间，并获得{0}枚黄色信号球。	
45	逆流反击格挡成功时，根据消球数，额外造成{0}/{1}/{2}的物理伤害。	
46	释放必杀-绝杀重压后触发超算空间，并获得{0}枚黄色信号球。	
47	逆流反击格挡成功时，额外恢复{0}点必杀能量。	
48	使用两次任意三消即可触发核心-炮斗战术，核心-炮斗战术的爆发状态持续时间延长{0}秒，物理伤害提升{1}。	
49	释放旋火弹时，恢复{0}点必杀能量。	
50	核心-炮斗战术结束后触发超算空间，并获得{0}枚蓝色信号球。	
51	核心-疾驰幻影的能量分身攻击物理伤害提升{0}。	
52	释放必杀-黑夜刀锋后触发超算空间，并获得{0}点必杀能量	
53	释放必杀-红莲剑开启红莲剑时，黎明周身生成巨大雷电区域并聚集怪物，在此区域内黎明雷属性伤害提升{0}。	
54	红莲-雷域造成伤害时，恢复{0}点必杀能量。	
55	释放必杀-红莲剑后触发超算空间，并获得{0}枚黄色信号球。	
56	受到流光治疗效果的其他角色，普通攻击也可以标记敌人并召唤引雷，造成流光生命值{0}的雷属性伤害，持续8秒，重复触发刷新持续时间。	
57	释放必杀-导电波后触发超算空间，并获得{0}枚黄色信号球。	
58	释放豁免空间后，额外恢复{0}点必杀能量	
59	每次触发核心-空间领主时将额外发射一枚炮弹，核心被动-空间领主物理伤害提升{0}。	
60	释放后跳射击后，获得{0}枚蓝色信号球。	
61	核心-空间领主额外伤害加成提升{0}；释放电力感应后，获得3枚红色信号球。	
62	转移充能持续时间延长5秒，在此期间武器自动攻击敌人，每次造成{0}物理伤害。	
63	不在必杀-阿卡迪亚之门期间释放光罚造成伤害时，获得{0}点必杀能量。	
64	释放必杀-阿卡迪亚之门后触发超算空间，获得{0}枚蓝色信号球。	
65	处于必杀-一体双心的暗影状态下时，每有20%能量，暗能额外伤害加成提升{0}。	
66	暗能释放1/2/3消时，额外获得{0}/{1}/{2}点必杀能量。	
67	暗能在后台时，每秒恢复{0}点必杀能量。	
68	必杀-大地伤痕额外喷射6道激光，激光命中后会标记敌人，被标记单位受到伤害时，对附近的敌人造成攻击力{0}的火属性伤害，持续10秒，每秒最多触发1次。	
69	处于核心-强化状态时，每消除一个球，额外获得{0}点必杀能量。	
70	释放必杀-大地伤痕后触发超算空间，获得{0}枚蓝色信号球。	
71	释放必杀-脉冲后，处于超频状态时，脉冲额外伤害加成提升{0}，最多叠加3次。	
72	释放必杀-脉冲后，超频状态持续时间延长{0}秒。	
73	释放必杀-脉冲后触发超算空间，获得{0}枚红色信号球。	
74	消除剑意球释放剑气时，对第一个目标5米内的单位额外造成攻击力340%物理伤害；剑意球暴击伤害提升{0}；	
75	释放必杀-渊裂之术后触发超算空间，获得一枚蓝色信号球，自身暴击率提升{0}，持续8秒，重复触发刷新持续时间。	
76	剑意球物理伤害提升{0}；核心-剑意状态下每消耗一枚剑意球，有{1}的概率额外获得一枚剑意球。	
77	敌人身上每把影刃额外造成攻击力{0}暗属性伤害，每秒触发一次。	
78	释放必杀-超星爆发后触发超算空间，获得{0}枚红色信号球，自身额外伤害加成提升{1}，持续{2}秒，重复触发刷新持续时间。	
79	触发核心-寰宇震荡后，恢复15点必杀能量，自身暗属性伤害提升{0}，持续10秒。	
80	释放核心-矢量色块时会在前方生成黑洞，对黑洞范围内的敌人造成总计攻击力{0}的物理伤害。	
81	释放核心-矢量色块的蓄力重击后触发超算空间，并获得{0}点必杀能量	
82	处于核心-狙击状态下时，每次射击有{0}的概率额外发射2支箭矢，真理额外伤害加成提升{1}	
83	进入核心-狙击状态时，获得{0}枚红色信号球。	
84	处于核心-狙击状态下时，每支雷电箭矢额外造成1次伤害，并有{0}概率获得一枚蓝色信号球。	
85	拾取能量球时，对范围内敌人造成攻击力{0}的火属性伤害。	
86	释放必杀-聚合爆破时，额外掉落{0}枚能量球。	
87	拾取能量球时，额外恢复{0}点必杀能量。	
88	触发核心-弧光之盾时，有{0}的概率获得3枚蓝色信号球。	
89	核心-弧光之盾的护盾存在时，每秒恢复{0}点必杀能量。	
90	必杀-雷霆充能结束后触发超算空间，获得{0}枚蓝色信号球。	
91	释放普攻-灯影剑舞时，自身额外伤害提升{0}，深痕滞空时间延长{1}秒。	
92	在核心-极寒形态中消球时，有{0}的概率额外获得3枚同色信号球，且每次消球使必杀-刹那冰华基础伤害提升{1}，持续8秒，最多叠加4层，重复触发刷新持续时间。	
93	在核心-极寒形态中消球时，恢复{0}的被动能量值。	
94	释放必杀-刹那冰华后，有{0}的概率直接进入满能量极寒形态，且信号球将按照3消规则重新排列。	
95	自身受到治疗效果时，恢复12点超频值。释放核心-质量残像的核心攻击时，额外伤害加成提升{0}。	
96	释放必杀-暗域力场后，每秒恢复全队瑰丽生命值{0}的生命值，持续10秒。	
97	释放核心-质量残像的核心攻击时，恢复{0}点必杀能量。	
98	释放必杀-本能解放时，清空所有信号球，每清空一个，自身暗属性伤害提升{0}。	
99	非狂嗜状态下，每{0}秒获得一层狂气和一组三消信号球。	
100	非狂嗜状态下，每{0}秒获得25点必杀能量和一组三消信号球。	
101	释放任意三消和必杀时，额外消耗1个能量点；每消耗1个能量点，凛冽额外伤害加成提升{0}，持续10秒，重复触发刷新持续时间。	
102	释放核心-广域电磁炮时，获得{0}点必杀能量。	
103	释放必杀-涤罪之枪后，获得{0}组随机信号球。	
104	处于核心-意识凝结状态下，消除信号球造成伤害时使敌人进入凝结状态，处于凝结状态的敌人受到普通攻击时额外承受攻击力{0}的物理伤害，并解除凝结状态。	
105	处于核心-意识凝结状态下，消除信号球额外获得{0}点必杀能量。	
106	处于核心-意识凝结状态下，消除信号球同调值消耗降低{0}点。	
107	必杀-无形之式期间普攻即可触发必杀-流转之潮，在此期间，必杀-流转之潮伤害额外伤害加成提升{0}。	
108	不处于必杀-无形之式时，每秒恢复{0}点必杀能量。	
109	必杀-无形之式期间，释放追击球时，额外恢复{0}点必杀能量。	
110	释放必杀-终焉降临时，有{0}的概率直接进入满湮灭值的核心-湮灭状态，并恢复50点必杀能量。	
111	进入核心-湮灭状态时，每次释放湮灭球有{0}概率获得1枚湮灭球。	
112	释放必杀-终焉降临后触发超算空间，获得{0}枚同色信号球。	
113	战斗姿态下附带的额外剑气伤害提升<color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color>力量)	
114	队伍中的2B，9S，A2的攻击力提升{0}	
115	队伍中的2B，9S，A2暴击率提高{0}	
116	点击超频指示器召唤pod辅助机造成的伤害提升<color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color>力量)	
117	队伍中的2B，9S，A2的额外伤害减免提升{0}	
118	队伍中的2B，9S，A2的受治疗量提升{0}	
119	POD机发射的追踪弹伤害提升<color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color>力量)	
120	队伍中的2B，9S，A2的闪避上限提高{0}点	
121	队伍中的2B，9S，A2的物理伤害提升{0}	
122	普攻-战术射击造成伤害后会叠加层数，至多5层，核心-绽放射击造成伤害时会消耗层数，每层额外造成攻击力{0}的冰属性伤害。	
123	若核心-绽放射击触发超算空间，则额外恢复{0}点必杀能量。	
124	释放必杀-零点绽放后，冰属性伤害提升{0}，持续10秒，重复触发刷新持续时间。	
125	处于必杀-意识海混乱形态时，断奏球基础伤害提升{0}；消除断奏球有{1}的概率额外获得一枚断奏球。	
126	退出必杀-意识海混乱形态时，获得{0}组三消信号球。	
127	处于必杀-意识海混乱形态时，每次消除断奏球有{0}概率获得1枚断奏球。	
128	荣光之盾存在时，荣光普攻造成伤害时会额外造成攻击力{0}的冰属性伤害。	
129	退出核心-寒魄状态时，立即获得{0}的荣光之盾。	
130	处于核心-寒魄状态时，寒魄侵蚀持续吸引周围敌人 且每秒额外造成一次攻击力{0}的冰属性伤害。	
131	普攻-灯影剑舞及普攻-残光剑影每次造成伤害时，使敌人额外伤害减免降低{0}，最多叠加15层，持续10秒，重复触发刷新持续时间。	
132	触发核心共鸣脉冲时，额外伤害加成提升{0}，持续5秒，重复触发刷新持续时间；协助子机造成伤害时，附加在场角色{1}攻击的暗属性伤害。	
133	触发核心-强制闪避时，恢复{0}点必杀能量。	
134	释放必杀-影棱坍缩后，获得{0}组三消信号球。	
135	核心-降雷坠会在原地留下旗帜，每秒对范围内的所有目标造成攻击力{0}的雷属性伤害，持续6秒。	
136	释放核心-降雷坠时，恢复{0}点必杀能量。	
137	释放必杀-耀枪贯闪时，获得{0}组随机信号球。	
138	释放任意三消后，必杀-无线牢笼冰属性伤害提升{0}，持续10秒，最多可叠加4层，重复触发刷新持续时间。	
139	每次遗忘信号球时，额外获得{0}枚信号球。	
140	释放必杀-无线牢笼时，获得{0}枚随机信号球。	
141	进入核心-超维空间时，超刻火属性伤害提升{0}，持续8秒	
142	释放必杀-时序终焉后，核心-超维空间冷却时间缩短{0}。	
143	释放必杀-界域崩解或必杀-时序终焉后，获得1组信号球。	
144	装备插件的角色解锁角色S-2S技能，并获得1组信号球。	
145	解锁角色S-2S技能，并获得{0}组信号球。	
146	场上角色死亡后将会原地复活，冷却{0}秒。	
147	其他角色的生命值上限会提升携带插件角色最大生命值{0}。	
148	其他角色的攻击力会提升携带插件角色攻击力{0}。	
149	装甲型角色穿戴时QTE上场会为场上角色添加自身生命值{0}的护盾，重复触发刷新护盾，护盾存在期间角色获得霸体。	
150	辅助与增幅型角色穿戴时QTE为场上角色增加场上角色攻击力{0}的攻击力，持续8秒。	
151	进攻与先锋型角色穿戴时QTE入场对周围单位额外造成自身攻击力{0}的伤害。	
152	装备角色按住普通攻击键时，每{0}秒获得{1}颗信号球。	
153	装备角色按住闪避键后每秒消耗100点闪避值获得{0}额外伤害加成，最多可叠加5层，持续15秒。	
