Id	Chapter	Condition	Name	AvgId	Bg	Words
1	1	1031001		HD03701BA		出发之前
2	1	1031002			Assets/Product/Texture/Image/BgStory/BgStory39.jpg	你们降落在了一个营地，营地内已经很久没有人居住，弥漫着腐烂和灰尘的味道，人类似乎早已经消失在了这个世界。\n七实并不记得这里是哪里，她已经旅行过太久太久，推演也可能会随机进入不同的区域。不过没关系，好在，你们两个仍然在一起。只要有你在，七实就能够寻找到返回推演终端的锚点。\n继续前进吧。
3	1	1031003		HD03701EA		行至终点
4	2	1031004		HD03702BA		出发之前
5	2	1031005			Assets/Product/Texture/Image/BgStory/Bgstory217.png	永恒的冬天凝固住了这里的所有时光，乌云覆盖着天际线，终日不见阳光。\n七实她匆匆带着你离开，好像想要逃离弥天亘地的大雪和风霜。\n“怎么又是这里……七实不喜欢这里”。她嘟囔着什么，快步朝前跑去。\n跟上她的脚步吧。
6	2	1031006		HD03702EA		行至终点
7	3	1031007		HD03703BA		出发之前
8	3	1031008				一片赤红死寂之地，像是无数时空的裂缝在这里凝聚重组。\n你们大概是误入了时空罅隙，赶快离开这里。
9	3	1031009		HD03703EA		行至终点
10	4	1031010		HD03704BA		出发之前
11	4	1031011			Assets/Product/Texture/Image/BgStory/BgStory719.jpg	你们来到了一座九龙风格的破败小镇，视野之内，尽是苍凉断垣，看不出来任何人类生活的痕迹。清风簌簌，无数落枫如蝶，在四下翩翩飞舞。\n“喂——有人吗——”七实大喊着，但回应她的只有荡漾在残垣中的回声。\n继续向前，寻找答案吧。
12	4	1031012			Assets/Product/Texture/Image/BgStory/BgStory729.jpg	一尊破败的古刹矗立在烟云缭绕之间，在它下方，古松挺立在栈桥左右，青柏荫蔽着颓圮的庙墟，荒无人烟的古道上，自然万物呈现出一派竞发的状态。七实努力地在山间搜寻着文明遗存的痕迹，但那漫长的岁月仿佛剥蚀年轮的蟲虫，抹去了人类存在过的所有证明。\n继续向前，寻找答案吧。
13	4	1031013		HD03704EA		行至终点
14	5	1031014		HD03705BA		出发之前
15	5	1031015			Assets/Product/Texture/Image/BgStory/BgStory645.png	转瞬之间，视线便坠入了一片深蓝，你们竟然出现在了升格网络的具象世界里，翻涌的异色浓雾包裹着怪诞的建筑，一切都显得了无生机。好在眼前的一切都只是场推演，并没有对你的身心造成过多负担，七实握紧了你的手，指了指不远处的光斑——她似乎找到了出口。\n赶快离开吧。
16	5	1031016			Assets/Product/Texture/Image/BgStory/Bgstory341.jpg	天寒地冻间，地下城市的入口半掩着，一株巨大异合生物从室外探入其中，将整个城市吞入花蕾，曾几何时，可以容纳数十万人口的地下空间，如今已经沦为了它臃肿的子房。战车与机械体的残骸埋葬在皑皑大雪之中，七实拉着你的手，默默地继续向前走去……\n继续前进。
17	5	1031017		HD03705EA		行至终点
18	6	1031018		HD03706BA		出发之前
19	6	1031019			Assets/Product/Texture/Image/BgStory/Bgstory243.png	曾经恢弘的九龙环城，如今已成为了一片破败的废墟，无数异合生物的残骸横七竖八地挂在城门上，看到这些，仿佛有无数场震撼人心的战役在你眼前闪过：成千上万的士兵整齐列阵，与帕弥什展开殊死一搏，而后又被一阵轻风吹散，一齐化为葬在无名坟茔中的齑粉——可叹岁月无情，只留下了萧索的战场，供幸存之人凭吊。\n去其他地方看看吧。
20	6	1031020				你们缓缓推开艺术馆的大门，映入眼帘的空间就像是繁育帕弥什的温室，墙壁、地面都攀满了异合植物，扭曲的生命恣意生长，一点点蚕食着这里。大理石柱两侧，瘫倒着许多破损的机械体，此处似乎曾爆发过激烈的战斗。\n继续前进吧。
21	6	1031021		HD03706EA		行至终点
22	7	1031022		HD03707BA		出发之前
23	7	1031023			Assets/Product/Texture/Image/BgStory/Bgstory157.png	九龙的港口中，报废的机械体堆成了一座座小山，卧立在各条要道上，四处的阁楼破败不堪，显然是经历过一场残酷的大战。\n去其他地方看看吧。
24	7	1031024			Assets/Product/Texture/Image/BgStory/Bgstory160.png	机械体的残骸环绕着一座坍倒的大殿，像是信徒汇集在圣地前顶礼膜拜。\n七实在很远的地方发现了弹片与阁门的残骸，或许，危机爆发时，幸存者们曾于此处负险固守，并在最后时刻选择玉石俱焚，炸毁了这座古老的殿堂。\n去其他地方看看吧。
25	7	1031025		HD03707EA		行至终点
26	8	1031026		HD03708BA		出发之前
27	8	1031027			Assets/Product/Texture/Image/BgStory/BgStory583.jpg	你们置身于一艘处于巡航状态的护卫舰上，舰体内部的走廊上布满弹痕，动力室的外壁被炸出了一个大洞，看起来像是爆发过一场激烈的战斗。你从舷窗遥望，发现地球的表面笼罩着一层黯淡的红光，近地轨道上，正飘荡着许多遍体鳞伤的战舰，七实探测过后，确定其中没有任何生命存在。\n换个地方继续探索吧。
28	8	1031028			Assets/Product/Texture/Image/BgStory/BgStory594.jpg	月球的表面，就像是一片白色的荒漠，在推演世界，你不用穿着宇航服，也能安然漫游其中，七实开着月球车，载着你一路飞驰，来到了宏伟的月面基地中。基地内的各种设施都被炸的七零八碎，在某个封闭的实验室内，七实还回收到了一份研究人员的记录：\n“……在（字迹不清）影响下，很多人都疯了，我把自己关在了隔离室内，希望这场（字迹不清）……”\n换个地方继续探索吧。
29	8	1031029		HD03708EA		行至终点
30	9	1031030		HD03709BA		出发之前
31	9	1031031			Assets/Product/Texture/Image/BgStory/BgStory698.jpg	残酷的永冬再次浮现在七实的眼前，呼啸的寒风卷杂着漫天霜雪，像锋刃一样剜打着她的身躯……七实昂着头，琥珀色的眼瞳只顾凝视着远方的终点，坚毅向前，全速疾驰。\n必须继续向前，回到指挥官身边！
32	9	1031032			Assets/Product/Texture/Image/BgStory/BgStory765.jpg	七实降落在了一座空中堡垒上，视线远方的海洋被红潮覆盖，正翻涌着赤色的巨浪。突然，许多感染体从舰体内部爬出，将七实团团包围。\n“现在没时间陪你们，七实要去找指挥官！”少女转动着手中的盾斧，向着敌人发起了冲锋。\n指挥官……七实马上就来！
33	9	1031033			Assets/Product/Texture/Image/BgStory/Bgstory358.png	阴郁凌乱的荒原被异合森林的阴翳遮蔽着，无数的异合生物穿越在战壕之间，撕咬收割着战场的残骸，七实飞驰而过，引来了它们凶暴的目光。\n“闪开闪开闪开——七实现在没空陪你们打架！”\n指挥官就在前面——
34	9	1031034		HD03709EA		行至终点
