Id	ShowConditionId	ShowAct	ShowTalk	UiVfx
1	1001	Love01	小羊们都归位啦~	
2	1002	Talk01	这种感觉，好像指挥官的手？好温柔~	
3	1003	Victory01	下次不准偷懒了呦~	
4	1004	Love01	小羊们都归位啦~	
5	1005	Talk01	这种感觉，好像指挥官的手？好温柔~	
6	1006	Victory01	下次不准偷懒了呦~	
7	1007	Love01	小羊们都归位啦~	
8	1008	Talk01	这种感觉，好像指挥官的手？好温柔~	
9	1009	Victory01	下次不准偷懒了呦~	
10	1010	Love01	小羊们都归位啦~	
11	1011	Talk01	这种感觉，好像指挥官的手？好温柔~	
12	1012	Victory01	下次不准偷懒了呦~	
13	1013	Love01	小羊们都归位啦~	
14	1014	Talk01	这种感觉，好像指挥官的手？好温柔~	
15	1015	Victory01	下次不准偷懒了呦~	
16	1016	Love01	小羊们都归位啦~	
17	1017	Talk01	这种感觉，好像指挥官的手？好温柔~	
18	1018	Victory01	下次不准偷懒了呦~	
19	1019	Love01	小羊们都归位啦~	
20	1020	Talk01	这种感觉，好像指挥官的手？好温柔~	
21	1021	Victory01	下次不准偷懒了呦~	
22	1022	Love01	小羊们都归位啦~	
23	1023	Talk01	这种感觉，好像指挥官的手？好温柔~	
