Key	Type	Value
MinFullChainLevel	int	2
MaxFullChainLevel	int	3
FullChainShowDurationTime	float	4.1
FullChainNpcShowMoment	float	0.3
FullChainShowFadeInScreenEffectId	int	1200000
FullChainShowFadeOutScreenEffectId	int	1200001
FullChainShowTempPrefabPath	string	Assets/Product/Scene/DlcDynamicRes/RelinkFullChain/Prefabs/FullChainShowTemplate.prefab
FullChainShowTempPrefabDownDis	int	100
FullChainScreenEffectLv1	int	1200010
FullChainScreenEffectLv2	int	1200020
FullChainScreenEffectLv3	int	1200030
RelinkTeachLevelId	int	9001
RelinkTeachAINpcIdsStr	string	1602|1603
TwoChainEffect1DelayTime	float	2.57
TwoChainEffect2DelayTime	float	3.5
