ModelId	Comment	Combo	ComboActionLimit
R2YongyechaoMd010011	菜菜实	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2LiangMd010011	里	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2DubianMd010011	渡边	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R4LuxiyaMd010011	露西亚	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R3WeilaMd010011	薇拉	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R2AilaMd010011	艾拉	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2WanshiMd010011	万事	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R3YongyechaoMd010011	脉冲	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2KalieninaMd010011	卡列	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R3KalieninaMd010011	烬燃	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2PulaoMd010011	蒲牢	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R3KuluomuMd010011	冰库	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R3BiankaMd010011	真理	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2NuoanMd010011	诺安	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[1, 2, 3, 4, 5, 6, 7, 8, 9]
R2TwentyoneMd010011	21号	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R2BangbinataMd010011	邦比那塔	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R4LiangMd010011	里超刻	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R4KalieninaMd010011	超卡列	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R4BiankaMd010011	超比	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R3LuxiyaMd010011	白毛	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[2, 3, 5, 7, 9]
R3LunaMd010011	露娜	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R3LamiyaMd010011	拉弥亚	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R4LifuMd010011	丽芙极昼	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R3AilaMd010011	艾拉万华	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R3YalishaMd010011	回音	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R2BuouxiongMd010021	布偶熊	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
R3QuMd010021	曲	['NormalAttack', 'BlueAttack', 'YellowAttack', 'RedAttack']	[3, 5, 7, 9]
