Id	Text
1	Toward Undiscovered Beauty
2	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
3	
4	
5	Commandant's Lounge
6	
7	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
8	Return to the Commandant's lounge to check the terminal
9	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
10	Return to the Commandant's lounge to check the terminal
11	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
12	Check the mysterious text message
13	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
14	
15	Babylonia - Commercial District A
16	Go to the location indicated by the text message
17	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
18	Go to the location indicated by the text message
19	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
20	Go to Commercial District B
21	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
22	
23	Babylonia - Commercial District B
24	Talk to Selena
25	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
26	Go to the event venue with Selena
27	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
28	Talk to Selena
29	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
30	
31	An iris-purple invitation lies quietly in your terminal. What kind of journey will it lead you to?
