Id	Text
1	Mechanoid Carnival
2	
3	
4	
5	Babylonia - Commercial District A
6	Search for the strange signal source
7	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
8	
9	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
10	Read the message from the staff member
11	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
12	Go to Galaxy Fashion
13	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
14	Talk to Narcissistic Kuroro
15	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
16	Photo Narcissistic Kuroro
17	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
18	Give the photo to Narcissistic Kuroro
19	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
20	
21	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
22	Go to lounge check-in point
23	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
24	
25	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
26	Go to Commercial Square
27	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
28	
29	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
30	Complete Space Leap
31	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
32	Talk to Competitive Kuroro
33	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
34	
35	Due to a factory detection system failure, a batch of defective Kuroros was deployed for use in various locations. To prevent accidents, the Gray Raven Commandant is commissioned to recycle the defective Kuroros.
