Id	Type	StoryId	Desc	Icon	CharacterIcon	StoryDescSimple	StoryDesc	StoryTitle
101	1	HD03603BA	路过料理摊...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	八咫所喜爱的	庆典期间，路过了八咫喜爱的御园料理摊……	八咫所喜爱的
102	1	HD03605BA	路过娃娃机...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya1Q.png	露西亚所喜爱的	庆典期间，路过了露西亚喜爱的娃娃机……	露西亚所喜爱的
103	1	HD03607BA	路过拼装店...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li1Q.png	里所喜爱的	庆典期间，路过了里喜爱的四驱车拼装……	里所喜爱的
104	1	HD03609BA	路过钢琴...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	赛琳娜所喜爱的	庆典期间，路过了赛琳娜喜爱的钢琴……	赛琳娜所喜爱的
105	1	HD03611BA	路过花卉店...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	丽芙所喜爱的	庆典期间，路过了丽芙喜爱的花卉店……	丽芙所喜爱的
106	1	HD03613BA	路过《诺曼英雄》！	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR5YongyechaoQ.png	七实所喜爱的	庆典期间，路过了七实喜爱的诺曼英雄……	七实所喜爱的
107	1	HD03615BA	路过电影海报...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR4BiankaQ.png	比安卡所喜爱的	庆典期间，路过了比安卡喜爱的电影海报……	比安卡所喜爱的
108	1	HD03617BA	路过射击摊...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi1Q.png	万事所喜爱的	庆典期间，路过了万事喜爱的气球射击摊……	万事所喜爱的
109	1	HD03619BA	路过西装店...	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	库洛姆所喜爱的	庆典期间，路过了库洛姆喜爱的西装店……	库洛姆所喜爱的
201	1	HD03604BA	与八咫完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	来自八咫的褒奖	陪八咫度过了一次难忘的庆典。	来自八咫的褒奖
202	1	HD03606BA	与露西亚完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya1Q.png	来自露西亚的褒奖	陪露西亚度过了一次难忘的庆典。	来自露西亚的褒奖
203	1	HD03608BA	与里完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li1Q.png	来自里的褒奖	陪里度过了一次难忘的庆典。	来自里的褒奖
204	1	HD03610BA	与赛琳娜完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	来自赛琳娜的褒奖	陪赛琳娜度过了一次难忘的庆典。	来自赛琳娜的褒奖
205	1	HD03612BA	与丽芙完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	来自丽芙的褒奖	陪丽芙度过了一次难忘的庆典。	来自丽芙的褒奖
206	1	HD03614BA	与七实完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR5YongyechaoQ.png	来自七实的褒奖	陪七实度过了一次难忘的庆典。	来自七实的褒奖
207	1	HD03616BA	与比安卡完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR4BiankaQ.png	来自比安卡的褒奖	陪比安卡度过了一次难忘的庆典。	来自比安卡的褒奖
208	1	HD03618BA	与万事完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi1Q.png	来自万事的褒奖	陪万事度过了一次难忘的庆典。	来自万事的褒奖
209	1	HD03620BA	与库洛姆完成游园	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Happy.png	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	来自库洛姆的褒奖	陪库洛姆度过了一次难忘的庆典。	来自库洛姆的褒奖
301	2		御园料理摊	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	八咫所喜爱的	庆典期间，路过了八咫喜爱的御园料理摊……	八咫所喜爱的
302	2		娃娃机	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya1Q.png			
303	2		四驱车拼装	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li1Q.png			
304	2		钢琴	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png			
305	2		花卉店	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png			
306	2		诺曼英雄	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR5YongyechaoQ.png			
307	2		电影海报	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR4BiankaQ.png			
308	2		气球射击摊	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi1Q.png			
309	2		西装店	Assets/Product/Texture/Atlas/UiTemple2/UiTemple2Love.png	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png			
401	1	HD03601BA	花见伊始		Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	花见伊始	闲暇之际，休息室内突然闯入了一位不速之客……	花见伊始
402	1	HD03602BA	夕月未罄		Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	夕月未罄	孤舟远眺，正是红霞尽染，花火焰明时。	夕月未罄
