Id	SkillId	Level	Desc	Name	Icon
101	1001	1	POD会投射能量块，当场给敌人致命一击，造成10000的物理伤害并晕眩敌人3秒，冷却时间18秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
102	1001	2	POD会投射能量块，当场给敌人致命一击，造成12500的物理伤害并晕眩敌人3秒，冷却时间18秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
103	1001	3	POD会投射能量块，当场给敌人致命一击，造成15000的物理伤害并晕眩敌人3秒，冷却时间18秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
104	1001	4	POD会投射能量块，当场给敌人致命一击，造成17500的物理伤害并晕眩敌人3秒，冷却时间16秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
105	1001	5	POD会投射能量块，当场给敌人致命一击，造成20000的物理伤害并晕眩敌人3秒，冷却时间16秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
106	1001	6	POD会投射能量块，当场给敌人致命一击，造成22500的物理伤害并晕眩敌人3秒，冷却时间16秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
107	1001	7	POD会投射能量块，当场给敌人致命一击，造成25000的物理伤害并晕眩敌人3秒，冷却时间14秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
108	1001	8	POD会投射能量块，当场给敌人致命一击，造成27500的物理伤害并晕眩敌人3秒，冷却时间14秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
109	1001	9	POD会投射能量块，当场给敌人致命一击，造成30000的物理伤害并晕眩敌人3秒，冷却时间14秒	R030：榔头	Assets/Product/Texture/Image/IconSkill/Skill001.png
201	1002	1	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成300的物理伤害，冷却时间20秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
202	1002	2	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成315的物理伤害，冷却时间20秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
203	1002	3	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成330的物理伤害，冷却时间20秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
204	1002	4	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成345的物理伤害，冷却时间18秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
205	1002	5	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成360的物理伤害，冷却时间18秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
206	1002	6	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成375的物理伤害，冷却时间18秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
207	1002	7	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成390的物理伤害，冷却时间16秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
208	1002	8	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成405的物理伤害，冷却时间16秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
209	1002	9	POD于角色周遭转绕，持续10秒，每次对其触及的敌人造成420的物理伤害，冷却时间16秒	R040：剑	Assets/Product/Texture/Image/IconSkill/Skill002.png
301	1003	1	POD在3秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成800的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
