Id	GroupId	Type	ShowBullet	Desc	BtnExStr	BtnStr	BtnTag
10101	1			一切也许都不会有结果，应该放弃吗？			[10102]
10102	1			就算获得胜利，也许也无法改变什么，真的要这么做吗？		['否', '是']	[10201, 10301]
10201	1			如果你依然要坚持你的选择……		['选择放弃', '继续战斗']	[10202, 10301]
10202	1	1					
10301	1	2					
20101	2			即使努力了……到最后也未必可以对抗命运。			[20102]
20102	2		1	即使不甘心，即使愤怒，一切最终也许也不会有任何结果。			[20103]
20103	2			这真的值得你如此坚持吗？		['否', '是']	[20201, 20301]
20201	2			好吧，如果这确实是你的希望的话。		['是', '否']	[20202, 20301]
20202	2	1					
20301	2			如果你依然要坚持你的选择……		['否', '是']	[20201, 20302]
20302	2	2				['否', '是']	[20201]
30101	3			居然在不可能之中，依靠众人的力量创造出了可能吗……			[30102]
30102	3			如果是‘指挥官’的话……似乎也不是那么不能理解。			[30103]
30103	3			在网络的某处，也许还有其他正在奋战的指挥官在努力着。			[30104]
30104	3			就像刚才一样，你也可以做出同样的‘牺牲’去帮助他们。		['不愿意', '愿意']	[30201, 30301]
30201	3			嗯，退缩和软弱都是会发生的，如果这是你的希望的话。		['离开', '做出牺牲']	[30202, 30301]
30202	3	1					
30301	3			作出这样的‘牺牲’意味着永远改变一些东西，你接受吗？		['不接受', '接受']	[30201, 30302]
30302	3			而你也无权决定‘牺牲’会让什么样的人得利，这你也接受吗？		['不接受', '接受']	[30201, 30303]
30303	3			那么，在最后，还有什么想说的吗？		['编辑留言']	[30304]
30304	3	2					
40101	4			你的牺牲和意志已被承认。	按任意区域退出		[40102]
40102	4	2					
