Id	TalentGroupId	Name	TalentId	AssistFlag	SummaryTab
1	101	攻击共振	10101		2
2	101	生命共振	10102		2
3	102	爆燃弹药	10201		1
4	103	攻击共振	10301		2
5	103	闪避共振	10302		2
6	103	会心共振	10303		2
7	104	涡轮增速	10401		1
8	104	闪盾充能	10402		1
9	105	攻击共振	10501		2
10	105	生命共振	10502		2
11	106	旋转涡轮	10601		1
12	106	焰能增幅	10602		1
13	106	强击弹药	10603		1
14	107	攻击共振	10701		2
15	107	闪避共振	10702		2
16	107	会心共振	10703		2
17	108	熟能生巧	10801		1
18	108	超频驱动	10802		1
19	109	攻击共振	10901		2
20	109	生命共振	10902		2
21	110	必杀进化	11001		1
22	111	攻击共振	11101		2
23	111	闪避共振	11102		2
24	111	会心共振	11103		2
25	112	数据备份	11201		1
26	112	火场怪力	11202		1
27	201	攻击共振	20101		2
28	201	生命共振	20102		2
29	202	散弹改良	20201		1
30	203	暴击共振	20301		2
31	203	闪避共振	20302		2
32	203	会心共振	20303		2
33	204	反应立场	20401		1
34	204	近点爆发	20402		1
35	205	攻击共振	20501		2
36	205	生命共振	20502		2
37	206	过载炮击	20601		1
38	206	猛击爆破	20602		1
39	206	牵引立场	20603		1
40	207	暴击共振	20701		2
41	207	闪避共振	20702		2
42	207	会心共振	20703		2
43	208	阻力弹	20801		1
44	208	蓄电池	20802		1
45	209	攻击共振	20901		2
46	209	生命共振	20902		2
47	210	必杀进化	21001		1
48	211	暴击共振	21101		2
49	211	闪避共振	21102		2
50	211	会心共振	21103		2
51	212	蓄能转换	21201		1
52	212	极限蓄能	21202		1
53	301	攻击共振	30101		2
54	301	生命共振	30102		2
55	302	枪电振谐	30201		1
56	303	暴击共振	30301		2
57	303	闪避共振	30302		2
58	303	会心共振	30303		2
59	304	过载电流	30401		1
60	304	反应护盾	30402		1
61	305	攻击共振	30501		2
62	305	生命共振	30502		2
63	306	过载斩击	30601		1
64	306	高速撞击	30602		1
65	306	强力投掷	30603		1
66	307	暴击共振	30701		2
67	307	闪避共振	30702		2
68	307	会心共振	30703		2
69	308	集中电击	30801		1
70	308	能源汲取	30802		1
71	309	攻击共振	30901		2
72	309	生命共振	30902		2
73	310	必杀进化	31001		1
74	311	暴击共振	31101		2
75	311	闪避共振	31102		2
76	311	会心共振	31103		2
77	312	逆刃枪体	31201		1
78	312	轻量运行	31202		1
79	401	攻击共振	40101		2
80	401	生命共振	40102		2
81	402	高压电流	40201		1
82	403	防御共振	40301		2
83	403	闪避共振	40302		2
84	403	会心共振	40303		2
85	404	应急防护	40401		1
86	404	谐振盈能	40402		1
87	405	攻击共振	40501		2
88	405	生命共振	40502		2
89	406	闪电风暴	40601		1
90	406	引力线圈	40602		1
91	406	电击屏障	40603		1
92	407	防御共振	40701		2
93	407	闪避共振	40702		2
94	407	会心共振	40703		2
95	408	集电功能	40801		1
96	408	引雷	40802		1
97	409	攻击共振	40901		2
98	409	生命共振	40902		2
99	410	必杀进化	41001		1
100	411	防御共振	41101		2
101	411	闪避共振	41102		2
102	411	会心共振	41103		2
103	412	强能闪击	41201		1
104	412	能源汲取	41202		1
105	900	简单治疗	90001	1	
106	900	霸体护盾	90002	1	
107	900	空中支援	90003	1	
108	900	兴奋剂	90004	1	
109	900	冰冻	90005	1	
110	900	超算	90006	1	
