ChapterId	Name	ActivityId	OpenTime	PreStageId	DailyStageCount	Background	BackgroundEffect	Bgm	IfFlag	Map	MapBg	MapEffect	ShopBg
1	序章	1				Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg01.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle/FxUiActivityBossSingle02.prefab	119		1	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg01.png		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg01.png
2	第一章	1	86400	30161442	1	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg02.png	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiActivityBossSingleLinshiBanner002.prefab	119		2	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg02.png		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg02.png
3	第二章	1	86400	30161450	1	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg03.png	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiActivityBossSingleLinshiBanner001.prefab	119		3	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg03.png		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg03.png
4	第三章	1	86400	30161458	1	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg04.png	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiActivityBossSingleLinshiBanner003.prefab	119		4	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg04.png		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg04.png
5	第四章	1	86400	30161464	1	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg05.png	Assets/Product/Effect/Prefab/FxUi/FxUiMaverick2MainPrefab/FxUiMaverick2ExploreEffect.prefab	119		5	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg05.png	Assets/Product/Effect/Prefab/FxUi/FxUiMaverick2MainPrefab/FxUiMaverick2MainLightEffect.prefab	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg05.png
6	第五章	1	86400	30161469	1	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg06.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBriefShop/FxUiActivityBriefShopSmoke02.prefab	119		6	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg06.png		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg06.png
7	第四章IF	1	86400	30161472		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg05.png	Assets/Product/Effect/Prefab/FxUi/FxUiMaverick2MainPrefab/FxUiMaverick2ExploreEffect.prefab	119	1	5	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg05.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc01.prefab	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg05.png
8	第三章IF	1	86400	30161473		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg04.png	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiActivityBossSingleLinshiBanner003.prefab	119	1	4	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg04.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc01.prefab	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg04.png
9	第二章IF	1	86400	30161474		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg03.png	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiActivityBossSingleLinshiBanner001.prefab	119	1	3	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg03.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc01.prefab	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg03.png
10	第一章IF	1	86400	30161475		Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg02.png	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiActivityBossSingleLinshiBanner002.prefab	119	1	2	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2Bg02.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc01.prefab	Assets/Product/Texture/Image/UiMaverick2/UiMaverick2MainBg02.png
