StageId	ChapterId	Name	Desc	StageType	PreStageId	FirstRewardId	RewardUnit	FightEventId	FightEventLevel	RecommendMentalLv	MainlineTips	IconPos	RewardParam	ForbidRobot
30161441	1	流落-1	幽暗的空间中，名为森的构造体逐渐苏醒	1		17835		[2230600, 2230601]	[1, 1]	1	寻找异空间的出口	1		
30161442	1	流落-Fin	在BN-02的指引下，森开始寻找离开空间的出口	1	30161441	17836	80	[2230600, 2230601]	[1, 2]	2	离开异空间	2		
30161443	2	异乡-1	离开异空间后，森来到一片城市废墟	1		17837	80	[2230600, 2230601]	[1, 3]	2	查看城市废墟	1		
30161444	2	异乡-2	熟悉的场景让森产生疑惑	1	30161443	17838	80	[2230600, 2230601]	[1, 4]	3	向城市的终端区域前进	2		
30161445	2	异乡-3	前往终端的路被红潮阻挡，通过BN-02的扫描，森确定了防护设备的位置	1	30161444	17839	80	[2230600, 2230601]	[1, 5]	3	向城市的终端区域前进	4		
30161446	2	异乡-4	森启程前往附近基地获取防护设备	1	30161445	17840	80	[2230600, 2230601]	[1, 6]	5	前往附近基地获取防护设备	5		
30161447	2	异乡-5	基地处于封锁状态，森掩护着BN-02进行门禁破解	1	30161446	17841	80	[2230600, 2230601]	[1, 7]	5	破解基地门禁	6		
30161448	2	异乡-6	进入基地内，不明巨型机械体突然袭来	1	30161447	17842	80	[2230600, 2230601]	[1, 8]	5	进入基地获取防护设备	8		
30161449	2	异乡-7	森与DL-427和解后，一起同行穿过红潮区域	1	30161448	17843	80	[2230600, 2230601]	[1, 9]	5	穿过红潮区域	9		
30161450	2	异乡-Fin	告别DL-427，来到终端，等待BN-02采集终端数据	2	30161449	17844	100	[2230600, 2230601]	[1, 10]	5	采集区域终端	11		
30161488	2	区域清理I	完成区域目标，获取对应奖励	5			240	[2230600, 2230609, 2230601]	[1, 1, 3]	5		12		
30161489	2	区域清理II	完成区域目标，获取对应奖励	5			240	[2230600, 2230609, 2230601]	[1, 1, 3]	5		13		
30161490	2	区域清理III	完成区域目标，获取对应奖励	5			240	[2230600, 2230609, 2230601]	[1, 1, 3]	5		14		
30161451	3	夺取-1	BN-02受损后需要进行维修，为此森来到了维修区	1		17845	100	[2230600, 2230601]	[1, 11]	5	前往维修区修复BN-02	1		
30161452	3	夺取-2	森与BN-02前往附近高能设施获取线索	1	30161451	17846	100	[2230600, 2230601]	[1, 12]	5	前往维修区修复BN-02	2		
30161453	3	夺取-3	在供给室内，BN-02发现了新线索	1	30161452	17847	100	[2230600, 2230601]	[1, 13]	5	前往能源供给室	4		
30161454	3	夺取-4	确定修理区核心位置后，森与BN-02即刻出发	1	30161453	17848	100	[2230600, 2230601]	[1, 14]	5	前往能源供给室	5		
30161455	3	夺取-5	进入修理区核心，这里危机四伏	1	30161454	17849	100	[2230600, 2230601]	[1, 15]	5	前往维修区的终端	6		
30161456	3	夺取-6	森和BN-02启动了前往核心上层的电梯	1	30161455	17850	100	[2230600, 2230601]	[1, 16]	5	前往维修区的终端	8		
30161457	3	夺取-7	抵达维修区的终端，BN-02开始采集终端并进行自我修复	1	30161456	17851	100	[2230600, 2230601]	[1, 17]	5	采集维修区终端数据	9		
30161458	3	夺取-Fin	在停机坪，区域首领拦下正在破解战机的森和BN-02	2	30161457	17852	120	[2230600, 2230601]	[1, 18]	5	离开维修区	11		
30161491	3	区域清理I	完成区域目标，获取对应奖励	5			300	[2230600, 2230609, 2230601]	[1, 1, 11]	5		12		
30161492	3	区域清理II	完成区域目标，获取对应奖励	5			300	[2230600, 2230609, 2230601]	[1, 1, 11]	5		13		
30161493	3	区域清理III	完成区域目标，获取对应奖励	5			300	[2230600, 2230609, 2230601]	[1, 1, 11]	5		14		
30161459	4	理智-1	战斗后，战机能源缺损，森与BN-02迫降来到红潮海边的荒原上	1		17853	120	[2230600, 2230601]	[1, 19]	5	前往荒原	1		
30161460	4	理智-2	在荒原上，BN-02在附近扫描到了一座信号塔的位置	1	30161459	17854	120	[2230600, 2230601]	[1, 20]	5	探索周边情况	2		
30161461	4	理智-3	在信号塔，森营救并结实了Ks-321，为了获取红潮生物的情报，森决定前往Ks-321所在的营地	1	30161460	17855	120	[2230600, 2230601]	[1, 21]	5	前往信号塔	4		
30161462	4	理智-4	来到机械体的营地，红潮生物突然成群袭来，营地陷入危机	1	30161461	17856	120	[2230600, 2230601]	[1, 22]	5	前往机械营地	5		
30161463	4	理智-5	离开营地，来到海边，这里的红潮生物异常稀少，诡异的气氛让森感到不安	1	30161462	17857	120	[2230600, 2230601]	[1, 23]	5	前往位于红潮中的终端位置	6		
30161464	4	理智-Fin	在DL-427的掩护下，森和BN-02突入红潮中心	2	30161463	17858	150	[2230600, 2230601]	[1, 24]	5	前往红潮中心	8		
30161494	4	区域清理I	完成区域目标，获取对应奖励	5			360	[2230600, 2230609, 2230601]	[1, 1, 19]	5		12		
30161495	4	区域清理II	完成区域目标，获取对应奖励	5			360	[2230600, 2230609, 2230601]	[1, 1, 19]	5		13		
30161496	4	区域清理III	完成区域目标，获取对应奖励	5			360	[2230600, 2230609, 2230601]	[1, 1, 19]	5		14		
30161465	5	愿望-1	在Ks-321帮助下，战机完成了补给，森与BN-02踏上前往海上基地的旅程	1		17859	150	[2230600, 2230601]	[1, 25]	5	前往海上基地	1		
30161466	5	愿望-2	基地入口被高能屏障阻挡，通过BN-02扫描，森在附近找到了干扰设备	1	30161465	17860	150	[2230600, 2230601]	[1, 26]	5	寻找进入基地的办法	3		
30161467	5	愿望-3	摸索进入基地后，BN-02突然的静默，让森感到不安	1	30161466	17861	150	[2230600, 2230601]	[1, 27]	5	进入基地内部	5		
30161468	5	愿望-4	森来到终端后，突然收到BN-02的紧急通讯，随后便失去了意识	1	30161467	17862	150	[2230600, 2230601]	[1, 28]	5	前往基地终端所在位置	7		
30161469	5	愿望-Fin	在意识空间中，森击败了过去回忆的残像，场景随之崩塌	2	30161468	17863	150	[2230600, 2230601]	[1, 29]	5	前往基地终端所在位置	9		
30161497	5	区域清理I	完成区域目标，获取对应奖励	5		17871	450	[2230600, 2230609, 2230601]	[1, 1, 25]	5		13		
30161498	5	区域清理II	完成区域目标，获取对应奖励	5		17871	450	[2230600, 2230609, 2230601]	[1, 1, 25]	5		14		
