Id	StageId	Star	Reward	StepCount	MonsterCount	MonsterBossCount	ConditionDesc	DropType	DropCount
1	1101	1	25	10			在 10 回合内通关		
2	1101	1	25	7			在 7 回合内通关		
3	1101	1	25	4			在 4 回合内通关		
4	1102	1	25		2		消除所有库洛洛		
5	1102	1	25	10			在 10 回合内通关		
6	1102	1	25	7			在 7 回合内通关		
7	1103	1	25		3		消除所有库洛洛		
8	1103	1	25	15			在 15 回合内通关		
9	1103	1	25	8			在 8 回合内通关		
10	1104	1	25		2		消除所有库洛洛		
11	1104	1	25	15			在 15 回合内通关		
12	1104	1	25	8			在 8 回合内通关		
13	1105	1	25	15			在 15 回合内通关		
14	1105	1	25		2	2	通关时消除所有敌人		
15	1105	1	25	9			在 9 回合内通关		
16	1106	1	25			4	通关时消除所有敌人		
17	1106	1	25	20			在 20 回合内通关		
18	1106	1	25	11			在 11 回合内通关		
19	1107	1	25			2	通关时消除所有敌人		
20	1107	1	25		2		消除所有库洛洛		
21	1107	1	25	9			在 9 回合内通关		
22	1108	1	25		2		消除所有库洛洛		
23	1108	1	25	20			在 20 回合内通关		
24	1108	1	25	13			在 13 回合内通关		
25	1109	1	25		3		消除所有库洛洛		
26	1109	1	25	15			在 15 回合内通关		
27	1109	1	25	12			在 12 回合内通关		
28	1110	1	25			2	通关时消除所有敌人		
29	1110	1	25		2		消除所有库洛洛		
30	1110	1	25	14			在 14 回合内通关		
31	1201	1	25		4		消除所有库洛洛		
32	1201	1	25	9			在 9 回合内通关		
33	1201	1	25	7			在 7 回合内通关		
34	1202	1	25	10			在 10 回合内通关		
35	1202	1	25		2		消除所有库洛洛		
36	1202	1	25	6			在 6 回合内通关		
37	1203	1	25		3		消除所有库洛洛		
38	1203	1	25	10			在 10 回合内通关		
39	1203	1	25	7			在 7 回合内通关		
40	1204	1	25		4		消除所有库洛洛		
41	1204	1	25	20			在 20 回合内通关		
42	1204	1	25	11			在 11 回合内通关		
43	1205	1	25		4		消除所有库洛洛		
44	1205	1	25	16			在 16 回合内通关		
45	1205	1	25	11			在 11 回合内通关		
46	1206	1	25	15			在 15 回合内通关		
47	1206	1	25		2		消除所有库洛洛		
48	1206	1	25	9			在 9 回合内通关		
49	1207	1	25			1	通关时消除所有敌人		
50	1207	1	25		2		消除所有库洛洛		
51	1207	1	25	7			在 7 回合内通关		
52	1208	1	25	18			在 18 回合内通关		
53	1208	1	25		3		消除所有库洛洛		
54	1208	1	25	13			在 13 回合内通关		
55	1209	1	25	15			在 15 回合内通关		
56	1209	1	25		4		消除所有库洛洛		
57	1209	1	25	11			在 11 回合内通关		
58	1210	1	25			1	通关时消除所有敌人		
59	1210	1	25		4		消除所有库洛洛		
60	1210	1	25	9			在 9 回合内通关		
61	1301	1	25	10			在 10 回合内通关		
