Id	Name	UnlockChapterId	Style	SkillTypes	RoleType	ModelAssetPath	RoleOrder	Info	InfoName	HeadPath	LockTipsDesc	SkillTypeDescs	SkillTypeIconBefores	SkillTypeIconAfters
1	里		乱数		1	QR3LiangMd010011DW	1	孤身一人来到这里。尽管没有其他特殊能力傍身，但库洛洛和秘宝，仍然躲不过他的子弹。	无言的杀手	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png		['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon24.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon25.png']
2	库洛姆		荣光	[1]	1	QR3KuluomuMd010011DW	2	战士强大的气场足以冻结流水，使原本的陷阱成为坦途，一路通向秘宝所在之处。	冷静的战士	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	通关【刀光剑影】解锁	['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon26.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon27.png']
3	丽芙		极昼	[2]	1	QR4LifuMd010011DW	3	当医生来到这里，火焰随之听召而来，融化冰雪，烧毁拦路的杂草，帮助医生更快寻得秘宝。	温柔的医者	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	通关【傲雪凌霜】解锁	['描述第一个属性', '描述第二个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon28.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon30.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon29.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon31.png']
4	薇拉		绯耀	[3]	1	QR3WeilaMd010011DW	4	在优秀的刺客手中，雷霆即为工具，既可以催生草木，也可以让刺客适时停驻，不错过关键的线索。	凌厉的刺客	Assets/Product/Texture/Image/Role/RoleHeadR3WeilaQ.png	通关【火树银花】解锁	['描述第一个属性', '描述第二个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon32.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon34.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon33.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon35.png']
5	赛琳娜		幻奏	[4]	1	QR4SailinnaMd010011DW	5	被舞台吸引而来的演奏者，她的乐声似乎可以与迷雾共鸣，帮助她传送到另一个位置。	优雅的演奏者	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	通关【雷霆万钧】解锁	['描述第一个属性', '描述第二个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon36.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon38.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon37.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon39.png']
6	里影子		乱数		2	QR3LiangMd010011DW	1	孤身一人来到这里。尽管没有其他特殊能力傍身，但库洛洛和秘宝，仍然躲不过他的子弹。	无言的杀手	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png		['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon24.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon25.png']
7	库洛姆影子		荣光	[1]	2	QR3KuluomuMd010011DW	2	战士强大的气场足以冻结流水，使原本的陷阱成为坦途，一路通向秘宝所在之处。	冷静的战士	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	通关【刀光剑影】解锁	['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon26.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon27.png']
8	丽芙影子		极昼	[2]	2	QR4LifuMd010011DW	3	当医生来到这里，火焰随之听召而来，融化冰雪，烧毁拦路的杂草，帮助医生更快寻得秘宝。	温柔的医者	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	通关【傲雪凌霜】解锁	['描述第一个属性', '描述第二个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon28.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon30.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon29.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon31.png']
9	薇拉影子		绯耀	[3]	2	QR3WeilaMd010011DW	4	在优秀的刺客手中，雷霆即为工具，既可以催生草木，也可以让刺客适时停驻，不错过关键的线索。	凌厉的刺客	Assets/Product/Texture/Image/Role/RoleHeadR3WeilaQ.png	通关【火树银花】解锁	['描述第一个属性', '描述第二个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon32.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon34.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon33.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon35.png']
10	赛琳娜影子		幻奏	[4]	2	QR4SailinnaMd010011DW	5	被舞台吸引而来的演奏者，她的乐声似乎可以与迷雾共鸣，帮助她传送到另一个位置。	优雅的演奏者	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	通关【雷霆万钧】解锁	['描述第一个属性', '描述第二个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon36.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon38.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon37.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon39.png']
