Id	Group	Name	Describe	IconType	Icon	Icon2	IconCustom	TimeOut	OnlyTrue	IsMySelf	AndOr	ForbidMoveType	MoveType	EffectType	EffectButton	SkillId	MissileId
1	1101	普攻1	普攻教学	1	1			-1								[103201, 103224]	
2	1101	普攻2	普攻教学	1	1			2800	True							[103202]	
3	1101	普攻3	普攻教学	1	1			2100	True							[103203, 103225]	
4	1101	普攻4	普攻教学	1	1			2700	True							[103204]	
5	1101	普攻5	普攻教学	1	1			3100	True							[103205]	
6	1102	红球	消球教学-红球	1	101			-1								[103208, 103207, 103206]	
7	1103	蓝球	消球教学-蓝球	1	103			-1								[103211, 103210, 103209]	
8	1104	黄球	消球教学-黄球	1	102			-1								[103214, 103213, 103212]	
9	1105	闪避	闪避教学	1	2			-1								[103216]	
10	1106	闪避	闪避普攻教学	1	2			-1								[103216]	
11	1106	普攻3	闪避普攻教学	1	1			2100	True							[103203, 103225]	
12	1106	普攻4	闪避普攻教学	1	1			2700	True							[103204]	
13	1106	普攻5	闪避普攻教学	1	1			3100	True							[103205]	
14	1107	大招	大招教学	1	3			-1								[103218]	
15	1108	任意三消	核心被动进入教学	3	99			-1								[103208, 103211, 103214]	
16	1108	任意三消	核心被动进入教学	3	99			-1								[103208, 103211, 103214]	
17	1108	大招	核心被动进入教学	1	3			-1								[103218]	
18	1109	大招	核心被动普攻教学	1	1			-1								[103218]	
19	1109	大招普攻1	核心被动普攻教学	1	1			-1	True							[103251, 103269]	
20	1109	大招普攻2	核心被动普攻教学	1	1			2800	True							[103252]	
21	1109	大招普攻3	核心被动普攻教学	1	1			2100	True							[103253, 103277]	
22	1109	大招普攻4	核心被动普攻教学	1	1			2700	True							[103254]	
23	1109	大招普攻5	核心被动普攻教学	1	1			3100	True							[103255]	
24	1110	大招	核心被动消球教学	1	3			-1								[103218]	
25	1110	任意三消	核心被动消球教学	3	99			-1								[103258, 103261, 103264]	
26	1110	任意三消	核心被动消球教学	3	99			-1								[103258, 103261, 103264]	
27	1111	任意三消	核心被动大招教学	3	99			-1								[103208, 103211, 103214]	
28	1111	任意三消	核心被动大招教学	3	99			-1								[103208, 103211, 103214]	
29	1111	大招	核心被动大招教学	1	3			-1								[103218]	
30	1111	任意三消	核心被动大招教学	3	99			-1								[103258, 103261, 103264]	
31	1111	任意三消	核心被动大招教学	3	99			-1								[103258, 103261, 103264]	
32	1111	大招	核心被动大招教学	1	3			-1								[103267]	
33	1201	普攻1	白毛-普攻教学	1	1			-1								[102201, 102206]	
34	1201	普攻2	白毛-普攻教学	1	1			2800								[102202]	
35	1201	普攻3	白毛-普攻教学	1	1			2100								[102203]	
36	1201	普攻4	白毛-普攻教学	1	1			2700								[102204]	
37	1201	普攻5	白毛-普攻教学	1	1			3100								[102205]	
38	1202	红球	白毛-消球教学-红球	3	101			-1								[102209, 102208, 102207]	
39	1203	蓝球	白毛-消球教学-蓝球	3	103			-1								[102212, 102211, 102210]	
40	1204	黄球	白毛-消球教学-黄球	3	102			-1								[102215, 102214, 102213]	
41	1205	闪避	白毛-闪避教学	1	2			-1								[103216]	
42	1206	大招	白毛-大招教学	1	3			-1								[102217]	
43	1208	蓝色三消	白毛-核心被动	3	103			-1								[102212]	
44	1208	任意三消	白毛-核心被动	3	99			-1								[102209, 102212, 102215]	
45	1208	单消	白毛-核心被动	1	14			6000								[102224]	
46	110811	普攻	露娜-普攻教学	1	1			-1						[1]	[15]	[110801, 110831]	
47	110811	普攻	露娜-普攻教学	1	1			600	True					[1]	[15]	[110802]	
48	110811	普攻	露娜-普攻教学	1	1			800	True					[1]	[15]	[110803]	
49	110811	普攻	露娜-普攻教学	1	1			800	True					[1]	[15]	[110804]	
50	110811	普攻	露娜-普攻教学	1	1			1000	True					[1]	[15]	[110805]	
51	110811	普攻	露娜-普攻教学	1	1			900	True					[1]	[15]	[110806]	
52	110812	闪避	露娜-闪避普攻教学	1	2			-1						[1]	[16]	[110817, 110818]	
53	110812	普攻	露娜-闪避普攻教学	1	1			800	True					[1]	[15]	[110832]	
54	110812	普攻	露娜-闪避普攻教学	1	1			800	True					[1]	[15]	[110804]	
55	110812	普攻	露娜-闪避普攻教学	1	1			1000	True					[1]	[15]	[110805]	
56	110812	普攻	露娜-闪避普攻教学	1	1			900	True					[1]	[15]	[110806]	
57	110813	红球	露娜-消球教学-红球	1	101			-1						[1]	[1]	[110807]	
58	110814	蓝球	露娜-消球教学-蓝球	1	102			-1						[1]	[1]	[110810]	
59	110815	黄球	露娜-消球教学-黄球	1	103			-1						[1]	[1]	[110813]	
60	110816	必杀技	露娜-大招教学	1	3			-1						[1]	[17]	[110819]	
61	110821	红球三消	露娜-消球教学-红球	3	101			-1						[1, 1, 1]	[1, 2, 3]	[110809]	
62	110821	红球三消	露娜-消球教学-红球	1	101			-1						[1]	[1]	[110809]	
63	110822	长按进入湮灭	露娜-被动教学-长按	4	1			-1						[2]	[15]	[110830]	
64	110823	普攻	露娜-被动教学-普攻	1	1			-1						[1]	[15]	[110826]	
65	110823	普攻	露娜-被动教学-普攻	1	1			600	True					[1]	[15]	[110827]	
66	110823	普攻	露娜-被动教学-普攻	1	1			600	True					[1]	[15]	[110828]	
67	110823	普攻	露娜-被动教学-普攻	1	1			850	True					[1]	[15]	[110829]	
68	110823	普攻	露娜-被动教学-普攻	1	1			600	True					[1]	[15]	[110835]	
69	110823	普攻	露娜-被动教学-普攻	1	1			900	True					[1]	[15]	[110836]	
70	110824	闪避	露娜-被动教学-闪避普攻	1	2			-1	True					[1]	[16]	[110817, 110818]	
