StageId	DescDetail	ShowFightEventIds	RobotId	CharacterType
30160503	塞壬每15秒进行一次鲸叫呼唤红潮，期间大幅提升其攻击力但获得易伤效果	[110274, 110267, 110271, 110270]	[9083]	
30160502	塞壬每15秒进行一次鲸叫呼唤红潮，期间大幅提升其攻击力但获得易伤效果	[110280, 110273, 110267, 110271, 110270]	[9083]	
30160501	塞壬每15秒进行一次鲸叫呼唤红潮，期间大幅提升其攻击力但获得易伤效果\n180秒后塞壬会进入狂暴状态	[110280, 110266, 110273, 110268, 110267, 110271, 110270, 110277]	[9083]	
30160500	塞壬每15秒进行一次鲸叫呼唤红潮，期间大幅提升其攻击力但获得易伤效果\n180秒后塞壬会进入狂暴状态	[110281, 110279, 110272, 110268, 110267, 110271, 110270, 110278]	[9083]	
30160504	巫毒每15秒呼唤4只医疗机助战并进入无敌状态，全部医疗机击破后巫毒将瘫痪10秒，期间且所受雷伤提高	[760015]	[9089]	
30160505	巫毒获得特殊强化效果，大幅提高攻击欲望并降低受伤，在受到单次40000点以上伤害时将失去特殊强化效果，并在15秒后恢复	[760015, 845057]	[9089]	
30160507	枢蛉后每30秒会出现随机畏球色弱点（持续15秒），弱点期间受到大量伤害后，会定身并获得易伤（每次触发阈值提高，最多4次）	[780693, 780694, 780695, 780696, 780697]	[9094]	
30160506	加百列每30秒会出现随机畏球色弱点（持续15秒），对应颜色球的免伤降低60%	[780693, 780694, 780695, 780698, 780699]	[9094]	
30160508	怪物有最大生命值10%的护盾，伤害增加10%，每15秒刷新护盾值。护盾打破后，怪物免伤-30%，15秒后出现新的护盾	[780003, 780313, 780263]	[9099]	
30160509	暴动切换形态后，会召唤自律警卫。消灭所有自律警卫会使暴动提前落地，结束激光雨	[780003, 110213]	[9099]	
30160510	注意躲避酸液工蚁的攻击	[780033]	[9104]	
30160511	怪物会随机在一个方向刷新出弱点，在该方向击破弱点后可以对怪物造成大量真实伤害	[780033, 746057, 110213]	[9104]	
30160512	怪物会出现4个弱点，4.5秒后消失，2秒后刷新。击破所有弱点后怪物免伤减少20%，持续20秒。角色在场时间过长会受流血伤害	[780033, 746074, 746072]	[9104]	
30160513	战胜树怪和精灵	[780043]	[2215]	
30160514	蒲牢每成功进行一次龙劲连击可以获得20%增伤效果，持续20秒，最多叠加10层	[780043]	[2215]	
30160515	分别挑战斩仙、诛魔、杀神（灵活使用独域机体、闪袭可以更快削减怪物的终结槽，终结槽清空后可以进行终结）	[780043]	[2215]	
30160516	敌人获得高额的冰、雷、暗属性抗性，但火属性抗性大幅降低；使用七实作战，或许会有一些不同？	[780693]	[2218]	1
30160517	遥星之座释放必杀技后，每次长按普攻触发“哎呀可惜~”可获得20%额外伤害加成，触发“简直完美！”可获得40%额外伤害加成，最多叠加200%，持续10秒，重复触发刷新持续时间	[780693]	[2218]	1
30160518	每次成员入场时，获得一组随机信号球，并且普通攻击火属性伤害加成提高50%，持续10s	[780693]	[2218]	1
30160519	战胜齿轮与命运之轮	[780023]	[2222]	2
30160520	哈卡玛成功处决怪物后，20秒内提升100%冰属性伤害并回复30必杀能量，重复触发时增伤效果会刷新持续时间	[780023]	[2222]	2
30160521	哈卡玛成功触发闪袭技能后，回复所有闪避值并随机获得一组同色信号球	[780023]	[2222]	2
30160522	释放黄球技能后，获得一颗蓝色信号球；释放蓝球技能后，获得一颗黄色信号球	[780033]	[2229]	1
30160523	释放【辉耀旋击】后，下一次【辉耀旋击】伤害提升10%，持续10秒，最多叠加10层	[780033]	[2229]	1
30160524	3消后，普攻的额外伤害加成提升100%，持续3秒	[780033]	[2229]	1
30160525	战胜浪人肆型	[780013]	[9115]	2
30160526	诺安每次升档，获得随机颜色三消球	[780013]	[9115]	2
30160527	诺安每触发一次三档派生伤害增加30%，上限300%	[780013]	[9115]	2
30160528	战胜强敌！	[780043]	[9120]	1
30160529	深痕开启照域后消除残光球或必杀技二段后，获得一组三消球	[780043]	[9120]	1
30160530	释放终焉剑闪后，深痕额外伤害提高 ，可无限叠加，不限时	[780043]	[9120]	1
30160531	战胜强敌！	[110274]	[9132]	1
30160532	独幕跃痕时<color=#FF6347>成功闪避</color>攻击后获得一组三消球	[110274]	[9132]	1
30160533	独幕跃痕时<color=#FF6347>成功闪避</color>攻击后获得一组三消球	[110274, 760221]	[9132]	1
30160534	战胜强敌！	[780693]	[2241]	1
30160535	怪物有最大生命值10%的护盾，伤害增加10%，每15秒刷新护盾值。护盾打破后，怪物免伤-30%，15秒后出现新的护盾	[780003, 780313, 780263]	[2241]	1
30160536	满超维点触发界域崩解时，超刻额外伤害提高 ，可无限叠加，不限时	[780693]	[2241]	1
30160537	战胜强敌！	[780023]	[9147]	1
30160538	万华触发<color=#FF6347>底色渲染</color>后敌人获得4个方向的弱点，使用幻彩笔触触发弱点<color=#FF6347>全队</color>获得额外伤害提高	[780023]	[9147]	1
30160539	万华触发<color=#FF6347>底色渲染</color>时，若同时存在<color=#FF6347>混色·概念碰撞和纯色·主体强调</color>的增伤效果，则<color=#FF6347>点墨成绘与幻彩笔触</color>获得额外增益效果，多次触发可叠加	[780023]	[9147]	1
30160540	战胜强敌！	[780013]	[9161]	1
30160541	深红囚影<color=#FF6347>满剑势值</color>释放<color=#FF6347>无念刹那</color>后，获得10%额外伤害提高	[780013]	[9161]	1
30160542	1.<color=#FF6347>满无光值释放不灭殛华</color>时，<color=#FF6347>深红囚影</color>额外伤害加成永久提升20%\n2.<color=#FF6347>深红之渊</color>释放剑气时，<color=#FF6347>深红囚影</color>的剑气基础伤害提升500%	[780013]	[9161]	1
30160543	战胜强敌！	[780043]	[127101]	1
30160544	1.每次触发<color=#FF6347>流耀连舞</color>（三消后闪避跳舞）全体获得25%增伤\n2.<color=#FF6347>九龙势力</color>的队友获得100%额外伤害提升	[780043]	[127101]	1
30160545	1.每消耗<color=#FF6347>4点曼舞点数</color>，全体获得持续<color=#FF6347>15秒</color>的200%增伤\n2.<color=#FF6347>九龙势力</color>的队友获得100%额外伤害提升	[780043]	[127101]	1
30160546	战胜强敌！	[780013]	[9172]	1
30160547	1.森息触发<color=#FF6347>紧急追击或完美追击</color>时将获得任意两个同色信号球\n2.森息<color=#FF6347>触发完美追击时将获得10%的额外伤害提升</color>，可无限叠加	[780013]	[9172]	1
30160548	1.森息触发<color=#FF6347>完美追击</color>时将获得一组三消球\n2.森息<color=#FF6347>在满临界弧光时使用必杀，将获得20%的额外伤害提升</color>，可无限叠加	[780013]	[9172]	1
30160549	战胜强敌！	[780013]	[127420]	1
30160550	1.诺克提成功触发臂挡或完美臂挡时，获得1组三消球\n2.诺克提每次使用电掣徊身、跃能燃烧、惯力扫踢时，永久获得20%攻击力加成	[780013]	[127420]	1
30160551	1.诺克提进行普攻蓄力时，每秒获得2颗异色信号球\n2.诺克提在3层动擎值时使用必杀，将永久获得80%攻击力加成	[780013]	[127420]	1
30160552	战胜强敌！	[780043]	[127617]	1
30160553	1.回音每次进入审判领域时，都将获得20%的额外伤害加成\n2.每当回音释放灵动射术，将获得一组随机三消球	[780043]	[127617]	1
30160554	1.每当成功触发合击·锁魂裁定，亚里莎的额外伤害永久提升20%\n2.进入审判领域后，回音获得两组三消球	[780043]	[127617]	1
30160555	战胜强敌！	[780033]	[2249]	1
30160556	1.消除潮涌球后，返还一组三消球、消除溯汐球，返还两组三消球、消除沧浪溯汐球，返还三组三消球\n2.每当消除潮涌球、溯汐球、沧浪溯汐球后、拉弥亚获得20%的额外伤害加成。	[780033]	[2249]	1
30160557	1.拉弥亚获得潮涌球、溯汐球、沧浪溯汐球后，立刻获得两组三消球\n2.每当拉弥亚切换形态，拉弥亚获得50%的额外伤害加成。	[780033]	[2249]	1
30160558	战胜强敌！	[780693]	[2252]	1
30160559	1.释放必杀后，获得两组随机三消球\n2.红/黄三消将使BRS获得20%额外伤害加成	[780693]	[2252]	1
30160560	1.释放必杀后，获得两组随机三消球\n2.红/黄三消将使BRS获得20%额外伤害加成	[780693]	[2252]	1
30160561	战胜强敌！	[780693]	[2254]	1
30160562	1.每当渡边·尘铭消耗一颗炽能球，超算冷却时间减少50%\n2.渡边·尘铭招架成功时永久获得30%额外伤害加成，同时因招架获得的护盾将额外提供霸体效果	[780693]	[2254]	1
30160563	1.每当渡边·尘铭获得一颗实弹，将随机获得一组三消球\n2.渡边·尘铭每消耗一颗实弹，永久获得30%的额外伤害加成	[780693]	[2254]	1
30160564	战胜强敌！	[780023]	[2257]	1
30160565	1.曲入阵时，获得两组随机三消球\n2.曲释放启星册魂后，永久获得30%的额外伤害加成	[780023]	[2257]	1
30160566	1.曲在践阼期间每释放一次三消，在君临镇魄后将返还对应三消球\n2.当曲释放凝决时，获得两组三消球。释放唤岳时，永久获得50%额外伤害加成	[780023]	[2257]	1
30100028	战胜强敌！	[780033]	[2260]	1
