Id	GroupId	TimeId	Priority	RefreshType	RefreshInterval	NpcGroupIds	NpcGroupWeights	Desc
991	99	99900	1	1		[3901]	[50]	测试配置：春节公会，指定时间内，角色随配置的时间刷新
992	99	99906	2	2	1	[3902, 3903, 3904, 3905, 3906]	[50, 50, 50, 50, 50]	测试配置：春节公会，每隔 1 天，随机 1 组角色
993	99		3	3	1	[3907, 3908, 3909, 3910, 3911]	[50, 50, 50, 50, 50]	测试配置：每隔1天，固定切换角色
301	3	15410	1	1		[3101]	[50]	春节配置：指定时间（初一~初七，每天出现一个NPC）
302	3		2	1		[3001]	[50]	春节配置：场景时间过后，固定NPC（赛利卡）
401	4	20021	1	1		[4101]	[50]	空岛夏活配置：指定时间（版本五周），每周 2 个NPC
402	4		2	1		[4001]	[50]	空岛夏活配置：场景时间过后，固定NPC（赛利卡）
501	5	99900	1	1		[5001]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
502	5	99900	2	1		[5002]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
503	5	99900	3	1		[5003]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
504	5	99900	4	1		[5004]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
505	5	99900	5	1		[5005]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
506	5	99900	6	1		[5006]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
507	5	99900	7	1		[5007]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
508	5	99900	8	1		[5008]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
509	5	99900	9	1		[5009]	[50]	2024春节配置：指定时间（初一~初七，每天出现一组NPC）
