Id	NeedMark	ShowButtonNames	InteractionText	ReplyTexts	ReplyRewardIds	CameraDistance	CameraAngleYOffset	CameraAngleXOffset	FocusGameObjectPath
5005	True	['???', '黄士尼']	我不想洗澡，我喜欢垃圾温暖的味道。啊啊啊，不要用高压水枪给我洗澡！	['（捂住鼻子走远）', '好垃圾桶就要乖乖洗澡。']	[7395, 7395]			4.3	interaction
5006	True	['???', '加倍吃']	咩噗茶，香蕉皮，苹果核，剩一半的汉堡，你不吃，我爱吃。干饭桶，干饭魂！	['我也有点饿了。']	[7395]			4.3	interaction
5007	True	['???', '立刻喝']	努力喝垃圾，努力站岗，终有一天，我一定能升职成为空中花园的垃圾桶！快把垃圾扔我嘴里。	['真是上进的垃圾桶呀。']	[7395]			4.3	interaction
5008	True	['???', '灰螺丝']	灰！螺！丝！垃圾桶中的垃圾桶，垃圾的支配者，垃圾之主，王！大师！垃圾桶建模史上永垂不朽的巅峰！	['巅！峰！']	[7395]			4.3	interaction
5009	True	['???', '巨大的鲨士碧儿']	脚好麻呀，一直摆着同一个姿势，碧儿好想跳下底座和大家一起逛花园呀。	['一定是幻听。']	[7395]		6.0	-5.3	interaction
5010	True	['???', '馋嘴的雕像']	看到那边桌子上的芭菲和蛋糕了吗？好饿呀，碧儿想吃甜点了，那一定是留给碧儿的甜点吧。	['走到桌椅旁，吃下甜点。']	[7395]			-8.6999	interaction
5011	True	['???', '可爱的雕像']	阿嚏！这些花好漂亮，好香，闻一闻，阿嚏！为什么会打喷嚏呢？再闻闻，阿嚏！你也一起闻闻吧。	['你这可能是花粉过敏。', '我也闻闻，阿嚏！']	[7395, 7395]			-8.6999	interaction
5012	True	['???', '碧儿执事']	指挥官，It's time to go to bed，又在玩游戏呀，皮肤会变坏的，最后的警告，再不睡的话……	['放下手机，打断施法。', '自顾自地扭了起来。']	[7395, 7395]			-8.6999	interaction
5013	True	['???', '正经的雕像']	好想去池塘边钓鱼呀，不想在这里站岗了，好想钓鱼呀。	['我今天钓到一条三斤的大鱼哦。', '我不空军。']	[7395, 7395]			-8.6999	interaction
5024	True	['???', '想让你吃的茶桌']	好吃的芝士巴斯克和巧克力芭菲哟，吃一口吧，吃一口吧！（桌上永不融化的芭菲和永不腐坏的蛋糕散发着甜腻迷人的香气，谁都不知道它们已经被摆放了多久）	['吃一口！', '忍住诱惑，闭眼走开。']	[7395, 7395]			1.62	interaction
5025	True	['???', '让你想开的荷花']	我想开了，你想开了吗？	['我自闭了。', '我没想开。']	[7395, 7395]			-3.48	interaction
6017	True	['???', '让你睡觉的花束']	如果感觉到疲累，闭上眼睛静下心来，聆听《52Hz》吧，它会给你带来好梦。（蓝紫色花束中夹着一张纸，不知道是谁留下的便签条）	['......', '原地睡觉。']	[7395, 7395]		-180.0	4.3	interaction
