Id	NpcId	ThemeId	InitPos	RefreshTimeId	ActionGroupId	InteractName	IdleBehaviorId	TalkBehaviorId	PatrolBehaviorId	AnimControllerPath	ColliderRadius	InteractCdTime	InteractMaxTime
1	10201	2	NpcPosLuxiya			露西亚	SummerNpc_Luxiya_Idle	SummerNpc_Luxiya_Talk		Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8	3	60
2	10202	2	NpcPosLifu			丽芙	SummerNpc_Lifu_Idle	SummerNpc_Lifu_Talk		Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8	3	60
3	10203	2	NpcPosNuoan			诺安	SummerNpc_Nuoan_Idle	SummerNpc_Nuoan_Talk		Assets/Product/Role/Room/Animation/QR2NuoanMd010011/QR2NuoanMd010011/QR2NuoanMd010011GuildDormNpc.controller	0.8	3	60
4	10204	2	NpcPosWanshi			万事	SummerNpc_Wanshi_Idle	SummerNpc_Wanshi_Talk		Assets/Product/Role/Room/Animation/QR2WanshiMd010011/QR2WanshiMd010011/QR2WanshiMd010011GuildDormNpc.controller	0.8	3	60
5	10205	2	NpcPosBianka			比安卡	SummerNpc_Bianka_Idle	SummerNpc_Bianka_Talk		Assets/Product/Role/Room/Animation/QR3BiankaMd010011/QR3BiankaMd010011/QR3BiankaMd010011GuildDormNpc.controller	0.8	3	60
6	10206	2	NpcPosPulao			蒲牢	SummerNpc_Pulao_Idle	SummerNpc_Pulao_Talk		Assets/Product/Role/Room/Animation/QR2PulaoMd010011/QR2PulaoMd010011/QR2PulaoMd010011GuildDormNpc.controller	0.8	3	60
7	10207	2	NpcPosWeila			薇拉	SummerNpc_Weila_Idle	SummerNpc_Weila_Talk		Assets/Product/Role/Room/Animation/QR3WeilaMd010011/QR3WeilaMd010011/QR3WeilaMd010011GuildDormNpc.controller	0.8	3	60
8	10208	2	NpcPosSailinna			赛琳娜	SummerNpc_Sailinna_Idle	SummerNpc_Sailinna_Talk		Assets/Product/Role/Room/Animation/QR3SailinnaMd010011/QR3SailinnaMd010011/QR3SailinnaMd010011GuildDormNpc.controller	0.8	3	60
9	10209	2	NpcPosKuluomu			库洛姆	SummerNpc_Kuluomu_Idle	SummerNpc_Kuluomu_Talk		Assets/Product/Role/Room/Animation/QR3KuluomuMd010011/QR3KuluomuMd010011/QR3KuluomuMd010011GuildDormNpc.controller	0.8	3	60
10	10210	2	NpcPosLi			里	SummerNpc_Li_Idle	SummerNpc_Li_Talk		Assets/Product/Role/Room/Animation/QR3LiangMd010011/QR3LiangMd010011/QR3LiangMd010011GuildDorm.controller	0.8	3	60
11	10201	3	NpcPosLuxiya1	99901		露西亚	SummerNpc_Luxiya_Idle	SummerNpc_Luxiya_Talk		Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8	3	60
12	10202	3	NpcPosLifu1	99901		丽芙	SummerNpc_Lifu_Idle	SummerNpc_Lifu_Talk		Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8	3	60
13	10203	3	NpcPosNuoan1	99902		诺安	SummerNpc_Nuoan_Idle	SummerNpc_Nuoan_Talk		Assets/Product/Role/Room/Animation/QR2NuoanMd010011/QR2NuoanMd010011/QR2NuoanMd010011GuildDormNpc.controller	0.8	3	60
14	10204	3	NpcPosWanshi1	99902		万事	SummerNpc_Wanshi_Idle	SummerNpc_Wanshi_Talk		Assets/Product/Role/Room/Animation/QR2WanshiMd010011/QR2WanshiMd010011/QR2WanshiMd010011GuildDormNpc.controller	0.8	3	60
15	10205	3	NpcPosBianka1	99903		比安卡	SummerNpc_Bianka_Idle	SummerNpc_Bianka_Talk		Assets/Product/Role/Room/Animation/QR3BiankaMd010011/QR3BiankaMd010011/QR3BiankaMd010011GuildDormNpc.controller	0.8	3	60
16	10206	3	NpcPosPulao1	99903		蒲牢	SummerNpc_Pulao_Idle	SummerNpc_Pulao_Talk		Assets/Product/Role/Room/Animation/QR2PulaoMd010011/QR2PulaoMd010011/QR2PulaoMd010011GuildDormNpc.controller	0.8	3	60
17	10207	3	NpcPosWeila1	99904		薇拉	SummerNpc_Weila_Idle	SummerNpc_Weila_Talk		Assets/Product/Role/Room/Animation/QR3WeilaMd010011/QR3WeilaMd010011/QR3WeilaMd010011GuildDormNpc.controller	0.8	3	60
18	10208	3	NpcPosSailinna1	99904		赛琳娜	SummerNpc_Sailinna_Idle	SummerNpc_Sailinna_Talk		Assets/Product/Role/Room/Animation/QR3SailinnaMd010011/QR3SailinnaMd010011/QR3SailinnaMd010011GuildDormNpc.controller	0.8	3	60
19	10209	3	NpcPosKuluomu1	99905		库洛姆	SummerNpc_Kuluomu_Idle	SummerNpc_Kuluomu_Talk		Assets/Product/Role/Room/Animation/QR3KuluomuMd010011/QR3KuluomuMd010011/QR3KuluomuMd010011GuildDormNpc.controller	0.8	3	60
20	10210	3	NpcPosLi1	99905		里	SummerNpc_Li_Idle	SummerNpc_Li_Talk		Assets/Product/Role/Room/Animation/QR3LiangMd010011/QR3LiangMd010011/QR3LiangMd010011GuildDorm.controller	0.8	3	60
21	10201	3	NpcPosLuxiya1			露西亚	SummerNpc_Luxiya_Idle	SummerNpc_Luxiya_Talk		Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8	3	60
22	10202	3	NpcPosLifu1			丽芙	SummerNpc_Lifu_Idle	SummerNpc_Lifu_Talk		Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8	3	60
23	10203	3	NpcPosNuoan1			诺安	SummerNpc_Nuoan_Idle	SummerNpc_Nuoan_Talk		Assets/Product/Role/Room/Animation/QR2NuoanMd010011/QR2NuoanMd010011/QR2NuoanMd010011GuildDormNpc.controller	0.8	3	60
24	10204	3	NpcPosWanshi1			万事	SummerNpc_Wanshi_Idle	SummerNpc_Wanshi_Talk		Assets/Product/Role/Room/Animation/QR2WanshiMd010011/QR2WanshiMd010011/QR2WanshiMd010011GuildDormNpc.controller	0.8	3	60
