Id	TimeId	Width	Height	Name	IsShowName	NameHeightOffset	IsGetReward	RewardHeightOffset	IsNeedLoad	FurnitureType	PrefabName	DontAutoCreateCollider	Model	InteractPos	AnimationType	AnimationArg	AnimationName	SpecialUiNames	UiNameProxyPaths	SpecialUiNameHeightOffset	UiShowDistance	EnvironmentSound	RedPointCondition	ShowButtonGroupId	EffectGroupId
1				地板						1	GuildFloor001	1													
2				墙1号						3	GuildWall001														
3				墙2号						3	GuildWall002														
4				墙3号						3	GuildWall003														
5				墙4号						3	GuildWall004														
6				监控器1号						3	GuildCamera001														
7				监控器2号						3	GuildCamera001_1														
8				监控器3号						3	GuildCamera002														
9				监控器4号						3	GuildCamera002_1														
10				大门1号						3	GuildDoor001														
11				大门2号						3	GuildDoor001_1														
12				窗户1号						3	GuildWindow001														
13				窗户2号						3	GuildWindow001 _1														
14				墙挂器材						3	GuildPackage001														
15				墙挂器材						3	GuildPackage001_1														
16				天花板						3	GuildCeiling001														
17				战术长桌						2	GuildTable001	1													
18				播放器	True	1.25				2	GuildConsole001	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	4.0			200	
19				信息板						2	GuildConsole001_1														
20				战术小桌						2	GuildConsole002														
21				战术小桌						2	GuildConsole002_1														
22				信息板						2	GuildBlackboard001										4.0				
23				战术终端						2	GuildCommand001	1		1		Test	['Setup', 'Exit']							100	
24				睡眠舱1号			True	1.75		2	GuildCockpit001	1		1										1	
25				睡眠舱2号			True	1.75		2	GuildCockpit001_1	1		1										1	
26				战术椅1号			True	1.25		2	GuildChair001	1		1										3	
27				战术椅2号			True	1.25		2	GuildChair001_1	1		1										3	
28				战术椅3号			True	1.25		2	GuildChair001_2	1		1										3	
29				战术椅4号			True	1.25		2	GuildChair001_3	1		1										3	
30				战术椅5号			True	1.25		2	GuildChair001_4	1		1										3	
31				战术椅6号			True	1.25		2	GuildChair001_5	1		1										3	
32				战术椅7号			True	1.25		2	GuildChair001_6	1		1										3	
33				战术椅8号			True	1.25		2	GuildChair001_7	1		1										3	
34				售货机1号			True	2.0		2	GuildCabinet001	1		1										4	
35				售货机2号			True	2.0		2	GuildCabinet003	1		1										4	
36				售货机3号			True	2.0		2	GuildCabinet003_1	1		1										4	
