Id	CharacterId	Name
10201	1021004	<color=#50F1FF>露西亚 鸦羽</color>
10202	1031001	<color=#50F1FF>丽芙 蚀暗</color>
10203	1571003	<color=#50F1FF>诺安 逆旅</color>
10204	1211002	<color=#50F1FF>万事 明觉</color>
10205	1041003	<color=#50F1FF>比安卡 真理</color>
10206	1551003	<color=#50F1FF>蒲牢 华钟</color>
10207	1131003	<color=#50F1FF>薇拉 绯耀</color>
10208	1531003	<color=#50F1FF>赛琳娜 岚音</color>
10209	1121003	<color=#50F1FF>库洛姆 荣光</color>
10210	1011003	<color=#50F1FF>里 乱数</color>
10300	1000000	<color=#50F1FF>赛利卡</color>
10301	1021004	<color=#50F1FF>露西亚 鸦羽</color>
10302	1011004	<color=#50F1FF>里 超刻</color>
10303	1031001	<color=#50F1FF>丽芙 蚀暗</color>
10304	1021005	<color=#50F1FF>露西亚 深红囚影</color>
10305	1041003	<color=#50F1FF>比安卡 真理</color>
10306	1551003	<color=#50F1FF>蒲牢 华钟</color>
10307	1111002	<color=#50F1FF>苏菲亚 银牙</color>
10400	1000000	<color=#50F1FF>赛利卡</color>
10401	1021004	<color=#50F1FF>露西亚 鸦羽</color>
10402	1031001	<color=#50F1FF>丽芙 蚀暗</color>
10403	1011004	<color=#50F1FF>里 超刻</color>
10404	1211002	<color=#50F1FF>万事 明觉</color>
10405	1071004	<color=#50F1FF>卡列尼娜 辉晓</color>
10406	1051004	<color=#50F1FF>七实 遥星之座 </color>
10407	1271003	<color=#50F1FF>拉弥亚 深谣 </color>
10408	1111002	<color=#50F1FF>苏菲亚 银牙</color>
10409	1141003	<color=#50F1FF>罗塞塔 凛冽 </color>
10410	1221003	<color=#50F1FF>21号 森息 </color>
10501	1111002	<color=#50F1FF>苏菲亚 银牙</color>
10502	1161002	<color=#50F1FF>常羽 游麟</color>
10503	1261003	<color=#50F1FF>亚里莎 回音</color>
10504	1171004	<color=#50F1FF>露娜 终焉</color>
10505	1021005	<color=#50F1FF>露西亚 深红囚影</color>
10506	1541003	<color=#50F1FF>罗兰 戏炎</color>
10507	1271003	<color=#50F1FF>拉弥亚 深谣</color>
10508	1021004	<color=#50F1FF>露西亚 鸦羽</color>
10509	1011004	<color=#50F1FF>里 超刻</color>
10510	1031001	<color=#50F1FF>丽芙 蚀暗</color>
10511	1521004	<color=#50F1FF>曲 启明</color>
10512	1551003	<color=#50F1FF>蒲牢 华钟</color>
10513	1241002	<color=#50F1FF>含英 清商</color>
10514	1121003	<color=#50F1FF>库洛姆 荣光</color>
10515	1061002	<color=#50F1FF>神威 重能</color>
10516	1211002	<color=#50F1FF>万事 明觉</color>
10517	1511003	<color=#50F1FF>卡穆 狂犬</color>
10518	1051003	<color=#50F1FF>七实 脉冲</color>
10519	1561003	<color=#50F1FF>哈卡玛 隐星</color>
10520	1131003	<color=#50F1FF>薇拉 绯耀</color>
10521	1251002	<color=#50F1FF>诺克提 擎驱</color>
10522	1221003	<color=#50F1FF>21号 森息</color>
10523	1231002	<color=#50F1FF>邦比娜塔 琉璃</color>
10524	1041003	<color=#50F1FF>比安卡 真理</color>
10525	1141003	<color=#50F1FF>罗塞塔 凛冽</color>
10526	1291002	<color=#50F1FF>布偶熊 觅语</color>
10527	1071004	<color=#50F1FF>卡列尼娜 辉晓</color>
10528	1091003	<color=#50F1FF>艾拉 万华</color>
10529	1531003	<color=#50F1FF>赛琳娜 岚音</color>
10530	1081004	<color=#50F1FF>渡边 尘铭</color>
10531	1571003	<color=#50F1FF>诺安 逆旅</color>
