Id	Content	BehaviorId	OptionShowTime	EmptySkipId	RepeatId	Options	SkipIds
10101	指挥官，我在这里。	Talk_Idle	1500			['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10102	夏天吗？我很喜欢这种暖融融的感觉……不过只要和灰鸦的大家在一起，无论是哪个季节，这种温暖都一直存在。指挥官呢，也会这样想吗？		1500		10103	['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10103	有点热？嗯……我记得在那边还有冰镇西瓜和冷饮，丽芙那里应该也准备了降暑的东西。不，不行，如果我来降温的话，指挥官会被冻伤的！		1500		10104	['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10104	呼……也许可以吃点冰淇淋降温……		1500			['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10105	那边好像还有烧烤架，这种户外假期应该会比较适合做野餐吧？不过丽芙嘱咐我要谨慎对待这个烧烤架，不知道是什么意思……		1500		10106	['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10106	指挥官，不知道你注意到了没有，我们刚刚踏上这座小岛在沙滩上留下的脚印，现在都已经被大海冲刷抹去了……但大海会记得，我也会记得。		1500		10107	['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10107	已经规划好我们的假期该如何度过了吗，指挥官。		1500			['关于夏天', '关于海岛', '再见']	[10102, 10105, 10108]
10108	最近我会一直在这儿的，指挥官。	SummerNpc_Luxiya_Endtalk					
10201	指挥官，有什么需要我帮忙的吗？	Talk_Idle	1500			['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10202	在抵达这座海岛之前，我已经全方位扫描侦测过了，没有任何问题，岛上唯一可能发生危险的地方是……那边的烧烤架。		1500		10203	['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10203	指挥官也注意到那个舞台了吗？上面还有乐器，据说那是专门提供给游客的，指挥官想要去试试吗？		1500		10204	['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10204	即便是孤岛，这里也足够温暖了。		1500			['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10205	我吗？如果可以的话，我想带一颗椰子回去试种一下，不知道在太空里椰子树会变成什么样子……不，当然不会直接种在我们的准备室里的！		1500		10206	['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10206	我觉得……很安心。海风、阳光，还有温热的沙滩，会让我觉得很放松……指挥官也有这样的感觉吗？		1500		10207	['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10207	和指挥官共同度过的这段假期，我会牢记在心。		1500			['关于海岛', '关于丽芙', '再见']	[10202, 10205, 10208]
10208	再见，指挥官，我一直都在这里。	SummerNpc_Lifu_Endtalk					
10301	你好啊，指挥官。	Talk_Idle	1500			['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10302	我记忆中的夏季要么无时无刻飘荡着足够让人窒息的灰尘，要么是几十天也下不完的一场雨，都不如这里宽敞明亮，最重要的是，这里很舒服。		1500		10303	['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10303	你看过《盛夏大乱斗》吗？这是一部黄金时代的动画，感觉很适合在这种放松热闹的时候看一看。		1500		10304	['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10304	像这样能安稳地度过一个夏天，我就已经很高兴了。		1500			['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10305	那边！那是海鸥吧。虽说同样只是见过插画，但还是能一眼就认出来。多好啊，能自由地在蓝天和大海间飞翔……当然，这也是我的愿望之一。		1500		10306	['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10306	其实我关于大海的第一印象还是挺糟糕的，不过现在终于有机会像这样安静地看看大海了……不知道大海的那一边是什么呢？		1500		10307	['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10307	去看看吧，你眼中的风景，想必也是我想看的。		1500			['关于夏天', '关于大海', '再见']	[10302, 10305, 10308]
10308	再见，指挥官。	SummerNpc_Nuoan_Endtalk					
10401	唔……有什么事吗，指挥官？	Talk_Idle	1500			['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10402	春困夏乏，秋盹冬眠，你看，不存在不适合睡觉的季节……唔，你也这么觉得么？		1500		10403	['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10403	你喜欢这个季节么？这样的季节就是容易让人提不起精神啊……嗯？不必了，我不太想再去其他地方了，这里很舒服，你替我去吧……		1500		10404	['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10404	至少这里阳光还不错，不是吗？		1500			['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10405	之前倒是也做过海岸线的侦查工作，不过像今天这样放松还是第一次……嗯？假期吗？那我先去睡一会……		1500		10406	['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10406	说起这个，这种沙滩椅睡觉很舒服，尤其是在有海风的时候……你要不要也试一下？		1500		10407	['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10407	唔，神威一直缠着我，要我陪他去海里玩……什么，你没看到神威在哪儿？谢天谢地……		1500			['关于夏天', '关于海岛', '再见']	[10402, 10405, 10408]
10408	晚安……哦不是，回见。	SummerNpc_Wanshi_Endtalk					
10501	您好，指挥官阁下。	Talk_Idle	1500			['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10502	在我的回忆里，大海意味着更危险的任务，但信仰和使命如同礁石，不可动摇……		1500		10503	['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10503	您是怎样看待大海的呢？毕竟大海也不会一直像这样风平浪静，也会有惊涛骇浪令人恐惧的一面……对于那时的大海，您还会抱有和今天一样的心情吗？		1500		10504	['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10504	这样的大海，还真是令人怀念。		1500			['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10505	关于机体……您会在意这个吗？她们都是我的一部分，但我想用更轻松的样子度过闲暇时光。		1500		10506	['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10506	对清理部队而言，待命的片刻歇息就相当于假期了……执行部队呢？指挥官阁下平时也很少休假吧？		1500		10507	['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10507	我会在这儿的看着的，指挥官阁下，无论是大海还是您。		1500			['关于大海', '关于比安卡', '再见']	[10502, 10505, 10508]
10508	回见，指挥官阁下。	SummerNpc_Bianka_Endtalk					
10601	啊！指挥官！又见面了！	Talk_Idle	1500			['关于小吃', '关于大海', '再见']	[10602, 10605, 10608]
10602	指挥官？那个，你看到那边的小吃摊了吗？对，那个叫汉堡的东西……啊，是叫快餐吗？闻起来好香……不知道味道怎么样。		1500		10603	['关于小吃', '关于大海', '再见']	[10602, 10605, 10608]
