Key	Desc	Values
SkipLimit	下限|上限	['1', '2']
SkipItemId	扫荡券id	['97075']
RewardLimit	救援奖励上限	['2']
BackParam	点赞系数	['0.8']
DailyBattleNum	刷新战斗+被救援关卡数目	['3']
DailyHelpNum	每次刷新的求救信号数目	['2']
RobotHeadPortraits	机器人可选头像列表	['9000001']
RobotHeadHeadFrames	机器人可选头像框列表	['9090008']
RefreshNum	求救信号刷新次数	['3']
RaceFlag	珍藏标记	['4', '5']
RaceRateAddByManualPass	手动通关增加有珍稀标记随即组概率	['1000']
RaceRateAddByPhysicalCost	每消耗{参数1}体力提升对应{参数3}品质标记掉落组{参数2}概率(万分比)	['30', '200', '5']
AuctionCoin	拍卖行货币	['10']
ItemRoomLimit	藏品室限制	['1000000']
AuctionRefreshFactor	拍卖行数量刷新系数(万分比)	['5000']
PriceFreshMinNum	价格刷新个数范围(左闭区间)	['5']
PriceFreshMaxNum	价格刷新个数范围(右闭区间)	['10']
PutOnNewItemFreshMin	新上架刷新时间范围(左闭区间)	['300']
PutOnNewItemFreshMax	新上架刷新时间范围(右闭区间)	['600']
SupplementItemFreshMin	补货刷新时间范围(左闭区间)	['300']
SupplementItemFreshMax	补货刷新时间范围(右闭区间)	['600']
PriceFreshMin	价格刷新时间范围(左闭区间)	['300']
PriceFreshMax	价格刷新时间范围(右闭区间)	['600']
MaxAutoSellTime	最大出售时间(秒)	['86400']
AuctionSellRate	出售手续费万分比，配置1000则为10%	['500']
