Level	Name	Buff	Exp	Icon	SkipNum
1	新进I			Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon00.png	1
2	新进II	301	100	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon00.png	1
3	新进III	302	100	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon00.png	1
4	新进IV	303	100	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon00.png	1
5	新进V	304	250	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon00.png	1
6	资深I	305	250	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon01.png	1
7	资深II	306	250	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon01.png	1
8	资深III	307	300	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon01.png	1
9	资深IV	309	300	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon01.png	1
10	资深V	308	300	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon01.png	2
11	精英I	310	400	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon02.png	2
12	精英II	311	400	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon02.png	2
13	精英III	313	400	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon02.png	2
14	精英IV	314	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon02.png	2
15	精英V	312	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon02.png	4
16	专家I	315	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon03.png	4
17	专家II	317	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon03.png	4
18	专家III	318	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon03.png	4
19	专家IV	319	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon03.png	4
20	专家V	316	500	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarIcon03.png	8
