Id	Name	NameEn	ChapterId	Type	ShowType	MovieId	OpenHour	PreBlockId	FightBasicPurification	FightFactor	CleanNeed	AutoGrow	StageId	PurificationExp	MailId	ShowRewardId	RewardId	ActionPoint	DetachActionPoint	DetachBasicPurification	DetachExtraPurification	DetachBasicRewardId	DetachExtraRewardId	WorldBossStartHour	WorldBossEndHour	RepeatChallengeActionPoint	DetachRepeatChallengeActionPoint	RepeatChallengeRewardId	DetachRepeatChallengeRewardId	LevelType	LevelDesc	SideBlockId	AuctionCionReward	DetachAuctionCionReward
1	初始区	GM1-0	1	1	1																													
2	角色区	GM1-1	1	2	6			['1']	120	10	4125000		30061745		21023	67425	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
3	基站区	GM1-2	1	2	8			['1']	120	10	300000000		30061758			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
4	物资区	GM1-3	1	2	5			['2']	120	10	300000000		30061784			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:跑酷冲刺		5000	5000
5	角色区	GM1-4	1	2	6			['4']	120	10	300000000		30061689			67426	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:飞行库洛洛		5000	5000
6	战略区	GM1-5	1	2	2			['4']	120	10	300000000		30061759			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
7	物资区	GM1-6	1	2	5			['5']	120	10	300000000		30061721			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:限时生存		5000	5000
8	角色区	GM1-7	1	2	6			['5']	120	10	300000000		30061753			67427	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
9	物资区	GM1-8	1	2	5			['7']	120	10	300000000		30061760			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
10	物资区	GM1-9	1	2	5			['8']	120	10	300000000		30061746			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
11	角色区	GM1-10	1	2	6			['9']	120	10	300000000		30061725			67428	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:弓箭射击		5000	5000
12	角色区	GM2-1	2	2	6			['56']	120	10	300000000		30061747			67429	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
13	物资区	GM2-2	2	2	5			['12']	120	10	300000000		30061738			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:找相同		5000	5000
14	物资区	GM2-3	2	2	5			['12']	120	10	300000000		30061761			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
15	基站区	GM2-4	2	2	8			['13']	120	10	300000000		30061692			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
16	角色区	GM2-5	2	2	6			['13']	120	10	300000000		30061723		21024	67430	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:拾取螺母		5000	5000
17	战略区	GM2-6	2	2	2			['15']	120	10	300000000		30061762			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
18	物资区	GM2-7	2	2	5			['16']	120	10	300000000		30061724			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:飞行库洛洛		5000	5000
19	角色区	GM2-8	2	2	6			['16']	120	10	300000000		30061748			67431	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
20	物资区	GM2-9	2	2	5			['17']	120	10	300000000		30061763			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
21	角色区	GM2-10	2	2	6			['18']	120	10	300000000		30061785			67432	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:跑酷冲刺		5000	5000
