Id	GroupId	Priority	UnlockBlockId	UnlockBlockProgress	Author	Title	Content	StoryId	Background
1	1	1	3		猎商行会	墟市交易即将开启	欢迎各位猎人来到墟市，在这里，你可以凭借你的实力，得到和交易你想要的一切。\n但请谨记，猎商行会也有其神圣不可侵犯的规则，为规避不愉快的冲突发生，请猎人们遵守以下三条交易规则：\n（一）从战场上得到的道具，必须顺利带回墟市后才可进行交易。\n（二）每样物品均有其独特价值，每位猎人可自行定价。\n（三）只有双方均同意进行的交易，方可算为顺利完成。\n各位猎人，准备好之后马上出发吧，宝藏和幸运女神的护佑均在前方等待着你们。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
2	1	2	7	100	猎商行会	交易板块开启通知	为方便各位猎人交流，猎商行会现已开启交易留言板块，以供交易需求的客人使用。\n警告：该板块严禁广告刷屏，水楼，发布钓鱼链接，一经违反，猎商行会有权对账号进行永久封禁！\n警告2：刚刚某位试图黑进交易终端的工程部队猎人，请不要再进行尝试了，后台真的没有可以提升获得稀有道具掉率的GM指令。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
3	1	3	54	100	猎人1488	谁来帮我砍一刀？	有谁是【拼好一下】仓库的新会员吗？来帮我点一下链接，买到这个9.9特价的“赤钢之剑”之后给你返现0.05黑卡。\n二楼：9.9的赤钢剑你也敢用？不要命啦？\n楼主：用特价装备怎么了？又没逼你拿这个和我一起堵塔。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory03.png
4	1	4	56	100	猎人2855	集合啦，堵塔行动队	八点有人一起去堵塔吗，堵塔来！\n二楼：公屏招募小心被反杀。\n三楼：刚刚！！是谁！！在我快到脱离点的时候扔了个炸弹！！！给我出来，老子跟你，没完！！！！		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory04.png
5	2	1	12	100	猎人0089	图真的太大了	如题，猎商行会为什么不多设置一点脱离点呢？\n二楼：运输车不要钱是吧。\n三楼：哎我有一个主意……我们是不是可以做几个假的路牌，冒充脱离点？		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory05.png
6	2	2	17	100	猎人1500	挂人，避雷！！	避雷猎人代号2050，刚刚在交易论坛上他同意我用五个“黄金臂环”交易一幅《赛利卡的微笑》，交易成功之后才发现，那只是《天空霸主赛利卡》的单行本封面镶了个画框！无良，猎商行会必须追责到底！\n二楼：AA猎商客服002号：您好，您的投诉我们已经登记备案，稍后会有专人来联系您逮捕这位不良猎人。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory06.png
7	2	3	20	100	猎人3423	谁组队时候睡着了？	刚刚组了把自由区，有个从别的部队进来的人打到一半睡着了，麦还开着呢，我都听到了！\n二楼：是谁？扩散希望。\n三楼：KKK扩散。\n四楼：我的麦很炸吗？		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory07.png
8	2	4	24	100	猎人1376	碰到大金主了……	刚刚来了一位应该是九龙服务器的猎人，出手太阔绰了，把我整个仓库里的提神热茶都买走了。\n二楼：九龙服务器据说是一个每个猎人都有专属客服的地方。\n三楼：怎么可能，也太扯了吧ww。\n四楼：华胥，专属客服是什么？		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory08.png
9	2	5	57	50	猎商行会	请各位猎人注意！	请各位参与墟市交易的猎人注意，根据行会的动态监测系统显示，战区内的强敌BOSS血量已不足50%，这意味着，奖池内剩余的奖励道具也在逐步减少中！\n为取得最佳的战果，请各位猎人继续英勇奋战，在敌人被彻底击退前，夺得更多的奖励吧！\n注意：本次活动暂不设置动态补血机制。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory09.png
10	2	6	57	100	猎人7029	接下来的对策	刚刚我们终于协力击破了第一个战区大怪，各位不如来交流一下接下来的BOSS我们要怎么应对？\n二楼：兵来将挡水来土掩。\n三楼：我跟在你们后面暗度陈仓。\n四楼：有人想组固定队吗？可以私我ID3378XXXX		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory02.png
11	3	1	26	100	猎人2788	有个好猛的医疗兵	本来只是刚好爆了进攻型武器，就借给她使用，结果她说着什么“不能给大家拖后腿”什么的就把整个战区的怪扫荡完了……。\n二楼：大佬的ID能给一下吗？\n三楼：同求。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
12	3	2	31	100	猎人6784	看到龙了！	不是，哥们，行会是什么时候开放机械龙作为召唤物的啊？刚刚好帅一条装甲龙飞过去，酷毙了。\n二楼：我也看到了，感觉不像召唤物，是谁的坐骑吧？\n三楼：帕瓦特是七实的朋友啦！！		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory04.png
13	3	3	34	100	猎人4655	不知名的猎人谢谢你	刚刚运输车掉到了山沟沟里面，本来以为这局完蛋了，结果有个路过的猎人过来踹了一脚，不知道为啥，动作虽然看着很粗暴，但真把车踹了上去。是谁没看清，只记得是个红发的猎人，挺帅的。\n二楼：你说的是不是就是我们区有名的都市传说之一——红发的女武神啊？		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory05.png
14	3	4	38	100	猎人2799	有人在送食材	有在沙漠战区的猎人吗？现在有个老猎人在带新，来就送新手食材包，大家不要错过了。\n二楼：沙漠战区是怎么能产出黄瓜番茄的？？？		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory06.png
15	3	5	58	50	猎人4588	大怪这就没半血了？	说实话，完全还没摸爽……\n二楼：我已经躺平了。\n三楼：别说丧气话，真正的决斗现在才要开始！\n四楼：楼上是不是热血小说看多了www		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory07.png
16	3	6	58	100	猎商行会	新战区开启通知	为回应各位猎人的热情，全新战区现已正式开启，并全新上线点卡付费模式……\n（字段突兀地停住了，后面的内容似乎被强行删改过）\n好了，终于黑进去处理好了，没有什么点卡付费模式，各位请继续游戏吧。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory08.png
17	4	1	40	100	猎人6746	猎商行会被黑了？	刚刚我明明收到了点卡付费模式的推销信，但是再刷新一下，那封邮件就找不到了。我断定刚刚肯定不是我看错了，这是真实发出过的邮件！\n二楼：加一，我也看到了。\n三楼：加二。\n四楼：战区都市传说+1。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory09.png
18	4	2	45	100	猎人6238	哪来的帕弥什？	我刚刚可能真的是遇到鬼故事了，本来好好地在战区摸货呢，突然身边的帕弥什浓度监测仪疯狂尖叫了起来，但我玩的是墟市啊？怎么可能会有帕弥什？\n二楼：有升格者偷偷混进来玩游戏了吧ww  \n三楼：你这才是真正的鬼故事。\n四楼：嗯……以猎人的身份进行博弈，没想到比意外中的有趣呢。在这场游戏结束之前，让我见证一下你们会选择押上什么吧。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory02.png
19	4	3	48	100	猎人5783	真心急售，抛货	活动进程快结束了，急用黑卡，低价售，懂的来，上【拼好一下】，不懂行的别来。\n二楼：这么贵你割新手韭菜呢？\n三楼：@AA猎商客服002号，管不管倒卖啊ww \n四楼：借楼为工程部队特制“土木锤子”打广告，良心好价，空中花园人不骗空中花园人。		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory06.png
20	4	4	51	100	猎人2457	活动快结束了	最后一个战区的BOSS也快开启了，大伙有没有什么想说的？\n二楼：诶？我们怎么就成苟到最后的小队了？		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
