Id	FightEventId	Name	Icon	Desc	Bg
1	233001	氮气	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33131.png	在运送目标关卡中，角色和运送目标的移速将得到提升	
2	233002	冲刺	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png	在极地机兵雪地冲刺的关卡中，极地机兵的冲刺距离更远	
3	233003	吸附	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	在占领据点的关卡中，将间歇性对大范围敌人进行一次牵引	
4	233004	迅捷	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31071.png	在水上乐园拾取物品的关卡中，角色移动速度将提升	
5	233005	库洛洛	Assets/Product/Texture/Image/IconSkill/R1luxiyadazhao1.png	在追击库洛洛的关卡中，角色将获得获得自控按钮，使用后可对库洛洛造成范围牵引	
6	233007	连连看	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	在甄别相同怪物的关卡中，将得到额外提示	
7	233009	高危特攻	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	在第四区域高危暗区中，数据聚集体的免伤将降低	
8	233008	碰碰车	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	在极地机兵冲撞怪物的关卡中，极地机兵将获得霸体效果	
9	233006	地鼠	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	在武藏玖型追击怪物的关卡中，移动速度将提升	
101	2270256	伤害强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	所有角色的额外伤害加成增加30%	
102	2270257	极速	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png	在拾取螺母的关卡中，角色移动速度将提升	
103	2270258	零死角	Assets/Product/Texture/Image/IconSkill/R2lidazhao1.png	在里·异火的限时生存关卡中，角色可以释放必杀	
104	2270259	倍增	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png	在捉迷藏关卡中，增加伙伴的数量	
