Id	BlockId	TargetPurification	TimeStr
1	2	500000	2025/12/23 17:25
2	2	1057708	2025/12/23 17:30
3	2	1688787	2025/12/23 17:35
4	2	2328652	2025/12/23 17:40
5	2	2951421	2025/12/23 17:45
6	2	3504521	2025/12/23 17:50
7	2	4125000	2025/12/23 17:55
8	3	15000000	2025/12/23 18:00
9	3	16207686	2025/12/23 18:05
10	3	17387637	2025/12/23 18:10
11	3	18483370	2025/12/23 18:15
12	3	19764558	2025/12/23 18:20
13	3	20985410	2025/12/23 18:25
14	3	22061396	2025/12/23 18:30
15	3	23149590	2025/12/23 18:35
16	3	24367459	2025/12/23 18:40
17	3	25601842	2025/12/23 18:45
18	3	26862966	2025/12/23 18:50
19	3	27952829	2025/12/23 18:55
20	3	29167597	2025/12/23 19:00
21	3	30236134	2025/12/23 19:05
22	3	31545941	2025/12/23 19:10
23	3	32668389	2025/12/23 19:15
24	3	33823192	2025/12/23 19:20
25	3	34920659	2025/12/23 19:25
26	3	36254286	2025/12/23 19:30
27	3	37523192	2025/12/23 19:35
28	3	38827746	2025/12/23 19:40
29	3	40080575	2025/12/23 19:45
30	3	41344416	2025/12/23 19:50
31	3	42648959	2025/12/23 19:55
32	3	43821801	2025/12/23 20:00
33	3	44885766	2025/12/23 20:05
34	3	45977789	2025/12/23 20:10
35	3	47180741	2025/12/23 20:15
36	3	48313169	2025/12/23 20:20
37	3	49553068	2025/12/23 20:25
38	3	50695670	2025/12/23 20:30
39	3	52002045	2025/12/23 20:35
40	3	53157518	2025/12/23 20:40
41	3	54447171	2025/12/23 20:45
42	3	55796595	2025/12/23 20:50
43	3	57026571	2025/12/23 20:55
44	3	59160440	2025/12/23 21:00
45	3	61218570	2025/12/23 21:05
46	3	63242316	2025/12/23 21:10
47	3	65265275	2025/12/23 21:15
48	3	67229280	2025/12/23 21:20
49	3	69407008	2025/12/23 21:25
50	3	71500812	2025/12/23 21:30
51	3	73544045	2025/12/23 21:35
52	3	75605803	2025/12/23 21:40
53	3	77574158	2025/12/23 21:45
54	3	79507175	2025/12/23 21:50
55	3	81559730	2025/12/23 21:55
56	3	83738003	2025/12/23 22:00
57	3	85753204	2025/12/23 22:05
58	3	87881748	2025/12/23 22:10
59	3	90021248	2025/12/23 22:15
60	3	91973647	2025/12/23 22:20
61	3	94179724	2025/12/23 22:25
62	3	96387374	2025/12/23 22:30
63	3	98480895	2025/12/23 22:35
64	3	100524820	2025/12/23 22:40
65	3	102517751	2025/12/23 22:45
66	3	104653037	2025/12/23 22:50
67	3	106773519	2025/12/23 22:55
68	3	108484370	2025/12/23 23:00
69	3	110275257	2025/12/23 23:05
70	3	111906368	2025/12/23 23:10
71	3	113538497	2025/12/23 23:15
72	3	115395037	2025/12/23 23:20
73	3	117088507	2025/12/23 23:25
74	3	118743825	2025/12/23 23:30
75	3	120529487	2025/12/24 8:50
76	3	122140582	2025/12/24 8:55
77	3	123285800	2025/12/24 9:00
78	3	124472313	2025/12/24 9:05
79	3	125771975	2025/12/24 9:10
80	3	127111339	2025/12/24 9:15
81	3	128194384	2025/12/24 9:20
82	3	129378446	2025/12/24 9:25
83	3	130690317	2025/12/24 9:30
84	3	131898328	2025/12/24 9:35
85	3	132987216	2025/12/24 9:40
86	3	134227605	2025/12/24 9:45
87	3	135377923	2025/12/24 9:50
88	3	136701407	2025/12/24 9:55
89	3	137831226	2025/12/24 10:00
90	3	138969841	2025/12/24 10:05
91	3	140227188	2025/12/24 10:10
92	3	141499786	2025/12/24 10:15
93	3	142639381	2025/12/24 10:20
94	3	143833868	2025/12/24 10:25
95	3	145098864	2025/12/24 10:30
96	3	146296271	2025/12/24 10:35
97	3	147604025	2025/12/24 10:40
98	3	148918194	2025/12/24 10:45
99	3	150104489	2025/12/24 10:50
100	3	151420380	2025/12/24 10:55
101	3	152543914	2025/12/24 11:00
102	3	153705729	2025/12/24 11:05
103	3	154869581	2025/12/24 11:10
104	3	156092405	2025/12/24 11:15
105	3	157227098	2025/12/24 11:20
106	3	158531942	2025/12/24 11:25
107	3	159638846	2025/12/24 11:30
108	3	160913406	2025/12/24 11:35
109	3	162060761	2025/12/24 11:40
110	3	163224021	2025/12/24 11:45
111	3	164533814	2025/12/24 11:50
112	3	165859452	2025/12/24 11:55
113	3	167961280	2025/12/24 12:00
114	3	170102955	2025/12/24 12:05
115	3	172256199	2025/12/24 12:10
116	3	174226985	2025/12/24 12:15
117	3	176431578	2025/12/24 12:20
118	3	178362807	2025/12/24 12:25
119	3	180483441	2025/12/24 12:30
120	3	182415500	2025/12/24 12:35
121	3	184509607	2025/12/24 12:40
122	3	186676872	2025/12/24 12:45
123	3	188780856	2025/12/24 12:50
124	3	190908409	2025/12/24 12:55
125	3	192869874	2025/12/24 13:00
126	3	194801800	2025/12/24 13:05
127	3	197011765	2025/12/24 13:10
128	3	199140537	2025/12/24 13:15
129	3	201219920	2025/12/24 13:20
130	3	203331408	2025/12/24 13:25
131	3	205535719	2025/12/24 13:30
132	3	207632529	2025/12/24 13:35
133	3	209589745	2025/12/24 13:40
134	3	211776447	2025/12/24 13:45
135	3	213837157	2025/12/24 13:50
136	3	215859047	2025/12/24 13:55
137	3	217911997	2025/12/24 14:00
138	3	220057260	2025/12/24 14:05
139	3	222114156	2025/12/24 14:10
140	3	224130318	2025/12/24 14:15
141	3	226088986	2025/12/24 14:20
142	3	228017588	2025/12/24 14:25
143	3	230108706	2025/12/24 14:30
144	3	232163028	2025/12/24 14:35
145	3	234238360	2025/12/24 14:40
146	3	236241363	2025/12/24 14:45
147	3	238446555	2025/12/24 14:50
148	3	240570613	2025/12/24 14:55
